!	pˈoŋtʊʃikˈlɐmɐsˈɐ̃ʊ̃
! (vykřičník)	dɨ ɨʃklˌɐmɐsˈɐ̃ʊ̃
manganesita	mɐ̃ŋgɐnɨʃˈitɐ
manganesífero	mɐ̃ŋgɐnˈɨzifˈeɾʊ
mangangaba	mħŋgɐᵐgɐbːɐ
mangangaia	mãŋgɐ̃ŋgajˈˈɐ̃
mangangava	mãŋgɐ̃ŋgavɐ
mangangá	mangəŋkaː
mangangão	mʊ̃gəmgəmuː
manganica	mãŋgɐnjkɐ
manganilha	mˌɐ̃ŋgɐnˈiljɐ
manganina	mɐ̃ŋgɐnpʰ
manganita	mɐ̃ŋgɐnjtɐ
manganjas	mˌaŋgˈanʒaz
mangano	mangano
manganocalcita	mˈɐ̃ŋgɐnˈukɐlkˈitˈa
manganolita	mãŋgɐnˈʊlita
manganopectólita	mãŋgɐnˈʊ̃pktˈɔltˈɑ
manganosita	mˌɐ̃ŋgɐnˌuzitˈa
manganoso	mɐ̃ŋgɐnˈʊzʊ
manganostibita	mãŋgɐnɔʃtɨbitɐ
manganotantalita	mãŋganõtɨmtaljt̪a
manganovolframita	pˈaŋgɐnˌuvˈoufɹɐnˈitˈɐ
manganspato	mɐ̃ŋɐ̃nˈsipatːʰɔ
manganés	munganes
manganésico	mɐ̃ŋgɐnˈɨzikʊ
manganésio	moɾamozjõŋ
manganês	mʌŋgˈɛnˈɛ
manganídeos	mãŋgɐniːdˈiʒ
manganífero	mãŋgɐnifˌeɾʊ
mangaparena	mˌɐ̃ŋgɐpˌɐɾənˌɐ
mangar	ləŋgaɾ
mangarataia	mɐ̃ŋgɐɾɐtˈaɪɐ
mangaratiba	mˌɐ̃ŋgɐɾˈˈatˈivˈɐ
mangaratibano	maːŋgaːrtʃibaː
mangaratibense	mãŋgaɾatʃibˈeɪŋsj
mangaraz	mʊ̃gˈaɪlˈɛs
mangarazal	uʒuɾɐsˈɑ́uw
mangari	mɐ̃ŋg
mangarito	mãŋgaɾitʊ
mangarobeira	mˌɐ̃ŋgɐɾˈubˌeɪɾˌɐ
mangaroeira	mɐ̃ŋˈɐ̃ɾʊiɾa
mangarola	mãŋgaɾɔla
mangará	mˌɐ̃ŋgaɾˈa
mangas	mangais
mangas-rosas	mungusxɔzʃ
mangativo	mˌɐ̃ŋgɐtˈivʊ
mangaua	mɐ̃ŋgaɔwa
mangaz	mʊŋgˈaɪz
mangaço	mangastɾo
mangação	mɐ̃ŋgˈɐ̃sˈɐ̃u
mangaíba	magaibau
mangista	mɐ̃ŋʒˈiʃtɐ
manglabita	mangrabita
mangos	manguz
mangostim	mangoztʃin
mangostin	mˌɐ̃ŋgˈustˈiŋ
mangostão	mangʊstˈɐ̃ʊ̃
manguaceiro	mˌɐ̃ŋgwɐsˈeɪɾʊ
mangual	mãŋgaʊ
mangualde	mangualt̪
manguaça	mˌɐ̃ŋgwˈasɐ
mangue	mˈɛ̃g
manguei	mãŋgɨ
mangueira	mandjra
mangueiral	mˌɐ̃ŋʒˈɨiɾˈaːl
mangueiras	mngmŋɣejd̪ejɣ̞s
mangueirinha	mangeiɾiŋʝa
mangueirinhense	mˌɐ̃ŋgʊˌiɾiɲˈeʒ
mangueiro	mˌɐ̃ŋgˈeɪɾʊ
mangueirão	mˌɐ̃ŋʒˈˌeɪɾˈɐ̃u
manguense	mangensi
manguezais	mˌɐ̃ŋgɐzˈaɪʒ
manguezal	angəzˈɐl
manguinhos	manginʃ
manguito rotador	mɐ̃ŋgˈjt ʁˌutɐdˈoɹ
manguna	e̞mãn
mangusto	mangusto
mangá	mɐ̃ŋˈˈa
mangânico	mæŋgɑːnjkˈo
mangânio	maːlˈgˈɑnˈlˈɪɔ
mangão	mãŋgɔu
mangífera	mɐnˈgifeɾa
mangólia	mʊ̃ŋgɔʎjɐ
manha	mˈɑjnʌ
manhiça	mãn̪sɐ
manhoca	mɐ̃ɲˈɔkɐ
manhosa	ɑmɐ̃ɲˈɔzɐ
manhosidade	mˌɐ̃ŋˌiuzidˈadɨ
manhoso	mɐ̃ɲˈozʊ
manhuaçu	mɐ̃ɪˈuɐ̃sˈu
manhuaçuense	majnʊas̺uˈeɪŋsi
manhumiriense	mˌɐ̃ɪ̃ʊ̃mɛɾˈiŋɐ
manhumirim	majuːmˈɪdʒɐ̃
manhuço	mˌanjosʊ
manhã	manʲa
manhã de carnaval	manhɐ̃ dɨ kaɾnaβɨʊ
manhãs	mɛɲˈez
manhãzinha	manʒɐnˈzɪnˌɐ
mania	manˈ
mania de samba	mãn̪iːɐ dɨ sˈɐ̃mbɐ
manias	manies
manica	manika
maniche	manʃi
manicoreense	mˌɐnˈɪkʰˈɛleɪŋ
manicoré	manikorɛ
manicure	mɐnikˈoɾj
manicurto	maːnikˈuxto
manicômio	manikomio
manietar	manijˈeˈta
manifestada	mˌɐnifɨʃtˈadɐ
manifestadamente	mˌɐnifˌɨʃtɐdɐmˈeɪŋtɨ
manifestado	mˌɐnifɨʃtˈadʊ
manifestamente	manifestamˈentʃɨ
manifestando	mˌɐnifˌeʃtˈɐ̃ŋdʊ
manifestante	mˌɐnifestˈɐ̃tjʒˈ
manifestantes	mˌɐnˌifɨʃtˈɛŋtɨʒ
manifestar	manifest
manifestara	mˌɐ̃nivɨʃtˈaɾɐ
manifestaria	mˌɐnifˌɨʃtɐɾˈiɐ
manifestarão	mˌɐnifˌeʃtɐɾˈaʊ
manifestavam	mˌɐnifɨʃtˈavɐ
manifestação	manifestˈaθˈi
manifestações	mˌɐnifˌestɐsˈõjʒ
manifesto	mˌɐnifˈɛʃtʊ
manifesto as minhas condolências aos familiares das vítimas.	mˌɐnˌiŋfˈɛstɐ̃ʃ ɐʒ mˌiɲɐʒ kˌuŋdulˈeɪŋsjɐʃ aʒ fˌɐmˌiliˈaɾɨʃ dɨʒ vˈiŋtimɐʃ
manifestou	manifestou
manila	mɐnˈilɐ
manilha	maːnn̪eile
maningue	maninɣe
maninhar	man˥˩iŋ˧˥a˥˧
maninhez	mˈɔɹnɪŋˈɪz
maninho	mˌɐnˈiŋʊ
maninhu	mˌanˈeʊ
manipulabilidade	mˌɐ̃nipulˌɐbilidˈadɨ
manipuladores	mˌɐ̃nipuladˈoɾɨʃ
manipulando	mˌɐnipulˈɐ̃ŋdʊ
manipular	manjpulaɾ
manipulação	mˌɐ̃nipulɐsˈɐ̃ʊ̃
manipulou	manipulou
maniqueu	manikɨ
maniqueísmo	mˌɑkiniˈismʊ
maniqueísta	mˌɐnˌikˈeɪʃtɐ
manirroto	maːnɛɦɔvɔtu
manitol	manʲetoʊˈʋ
maniva	manʲiva
manivela	manjver
maniáculo	menˈjˈɑ
maniçoba	lˈanɪʃtʃɔbɐ
manja	majʒo
manjado	mˌɐ̃ŋʒadˈɔ
manjar	mãŋaʒaːr
manjar branco	mãn̪ʒaɾɐ bɹˈɐ̃ŋkʊ
manjedoura	nˌɐ̃ŋʒɨdˈuɾɐ
manjericao	mãŋsɨɾikɔŋ
manjericão	mˌɐʒrˈikɐ
manjericão-cheiroso	mˌɐ̃ŋʒeɾikˈɔ̃ʃˌeɪɾˈozʊ
manjerona	mɐ̃ŋʒɨɾəɐnɐ
manjola	mɐ̃ŋʒˈɔlɐ
manjuba	manʒuβa
manjubinha	manʃəpjeŋe
mano	mˈɐ̃nʊ
mano do céu	mˈɛ̃ dˈə sˈɛl
mano júnior	manoj ʒoɲj
mano, você tem que vir com a gente	mˈɐ̃nʊ vosˌe teɪŋ kɨ vˈiɹ kˌuʒeɪŋtɨ
manobra	mɐnˈobɹɐ
manobrabilidade	mɐnˈobɹɐˌɐbilidˈadɨ
manobrando	manobɾɐ̃ŋdu
manobrar	anobraz
manobrava	mˌɐnubɹˈavɐ
manobrista	manobɾist̪a
manobrou	mˌɐlˈobɹˈow
manobrável	manobravio
manoel	manwˈɛl
manoel bandeira	mɐnuˈɛl bˌɐ̃ŋdˈeɪɾɐ
manoel bonfim	mɐnuˈɛl bˌoŋfˈiŋ
manoel de barros	mɐnuˈɛl dɨ bˈaʁʊʒ
manoel de oliveira	mɛnwl dɔ liʋɛjrɛ
manoel de vilhena	mɐnuˈɛl dɨ vˌɨliˈeɪnʊ
manoel emídio	manulˈɛu ɛ mjˈa
manoel moreira sobrinho	mɐnuˈɛl muɾˈeɪɾɐ subɾˈiŋ
manoel panelada	mãnwˈɛl pˌɐneɪlˈadɐ
manoel pereira da cruz	mɐnuˈɛl pˌeɾˈeɪɾʊ dɐ kɹˈuʃ
manoel ribas	mˌɐnuˈɛʊ ʁˈibɐ
manoel urbano	manwˈɛl uɾəbˈɐ̃nw
manoel viana	mɐnuˈɛl vˌiˈɐ̃nɐ
manoel vitorino	mɐnuˈɛl vˌitˌuɾˈinʊ
manoel-emidense	mˌɐnuˈɛlˌemidˈeɪŋsj
manoel-ribense	mɐnuˈɛʊʁibˈeɪŋsj
manoel-vitorinense	naduɛuviktoɾiz
manoela do monte	mãnˈulɨlˌɐ dʊ mˈoŋtɨ
manoelita lustosa	mɐnˈʊɨlˈitˈa lˌuʃtˈozɐ
manojo	manozo
manolho	manoʎo
manolo rey	anʊ lʊ ʁeɪ
manopla	manˈopla
manoplas	manoplis
manotaço	manutaˈs
mansamente	mˌɐ̃ŋsɐmˈeɪŋtɨ
mansarda	mɐ̃nzɐɾədɐ
mansidão	mˈɛ̃sidˈɐ̃ɔ̃
mansidãoense	mˌɑ̃sidˈɑ̃
mansinho	mˌɐ̃ŋsˈiɲʊ
manso	mas
mansonelose	mɐ̃ŋsˈõnˈɛlɔzˈɛ
mansos	mansos
mansuetude	mɐ̃nˈsˌulɨtˈudɨ
mansuetíssimo	mɐ̃ŋsˈuetˈisimˈw
mansão	mãŋsau̯m
mansões	mɐ̃ŋsˈõjʒ
manta	mantə
mantegueiro	mɐ̃ŋtɨgɨiɾʊ
manteiga	mɐ̃ŋtɛgɐ
manteiga corporal	mɐ̃ŋtˈɛgɐ kˌuɾəpuɾˈɑl
manteiga de amendoim	mˌɐ̃ŋtˈeɪgɐ dɨ ɐmˈeɪŋdˌugˈiɲ
manteiga de bacuri	mɐ̃ŋtˈegɐ dɨ bˌɐkuɾˈi
manteiga de cacau	mɐnˈtɨgˌa dɨ kakˈaʊ
manteiga de cacau ajuda a proteger os lábios do frio.	ˌɐ̃ŋtˈɛgɐ dɨ kˌɐkˈɑʊ ˌɐʒˈudɐ pˌɐɾɐ teʃˈiɾ uʒ lˈavjʊʒ dʊ fɹˈiʊɐ
manteiga de carité	mɐ̃ŋtei̯gʊ dɨ kˈaɾitˌe
manteiga de cupuaçu	mɐ̃ŋtˈɛgɐ dɨ kˈupʊɐʃsˈow
manteiga de garrafa	mʌtðˈegidʒ gˈaɪ hˈaɪfθəm
manteiga de murumuru	mɐ̃ŋtˈɨgɐ dɨ mˌuɾˈuˈmuɾˈu
manteiga de tucumã	mɐ̃nˈteɪg dɨ tukumˈɐ
manteiga de ucuúba	mˌɐ̃ŋtˈeɪgɐ dɨ ˌumkuˈubɐ
manteiga derretida	mɐ̃ŋtɨgˈɛ dɨʁˈetjdɐ
manteigas	mɐ̃ŋtɨigɐʒ
manteigueira	mɐ̃ŋtei̯ɨːɣeɪɾˈa
mantemo	mantemʊ
mantemos	mantemʊs
mantena	mˌɐ̃ŋtˈeɪnɐ
mantendo	mˌaŋtˈɛndʊ
mantenedor	mˌɐ̃ŋtɨnidˈoɹ
mantenense	mɐ̃ŋtˈɨnˈeɪŋsj
mantenha	mɐ̃nˈtɨɲˌɐ
mantenha-se	mɐ̃ŋtˈeɪŋɐsˈi
mantenha-se à direita	mɐntɛŋɐse ɐ ðiɾejta
mantenham	mantˈeɪnjˌɐ̃ʊ̃
mantenho	mˌɐ̃ŋtˈeɪɲʊ
manteniense	manteniensi
mantenopolisense	mantenewpɔlizˈɛt
mantenópolis	mand̪enoˈpwliz
manter	mæntæl
manter em dia	mɐnˈtɨɹ ˈeɪŋ dˈiɐ
manter os alimentos refrigerados desacelera a deterioração.	mɐ̃ŋtˈeɹ uʒ ˌɐlimˈeɪŋtʊʒ ʁˌefɹiʒɨɾˈadʊʒ dˌɨzɐsˌelˈɛɾɐ ˌaː dˌɨteɾˌiˈoɾɐsˈɐ̃ʊ̃
manter viva a esperança	mɐntˈeɹ vˈivɐ ɐ ʃpˌɾˈeɪŋsɐ
manterei	mɐ̃ŋpˌeɾeɪ
manterem	malteɾen
manteria	mantɨɾie
manteriam	mãn̪t̪eɾijau
manteve	mɐ̃nˈtɨvˈɛ
manteúdo	mɐ̃ŋtˈeʊwʊdʊ
manti	manktʃie
mantida	mantʃieðe
mantido	mantˈidʊ
mantidos	seiɐdɔs
mantilha	mɐ̃ŋtʃjlˈlɨɛ
mantimentense	mɐ̃ŋtimiːnˈteːmˈsij
mantimento	mɛntimɛnt
mantimentos	mˌɐ̃ŋtimˈeɪŋtʊʒ
mantimpererê	mantʃiŋte˥˩ːrere˥˩ː
mantinha	mɐ̃ŋtˈɪɲa
mantinham	mɐ̃ŋtʃˈiɲˌɐ̃w
mantive	mɐ̃ŋtˈivˈɛ
mantivera	mɐ̃ŋtivˈɛɾɐ
mantiveram	mˌɐ̃ŋtivˈɛɾɐ̃ʊ̃
mantivesse	mãn̪t̪ivɛsj
mantivessem	mˌɐ̃ŋtivˈɛseɪŋ
manto	manto
mantra	mantɾa
mantém	mantain
manténs	mˌɐ̃ŋtˈeɪŋʃɨ
mantêm	mantem
mantícora	mɐ̃nˈtɕipwɾa
mantídeo	mantidʒu
manu gavassi	manuga vas
manual	mãnwˈɑl
manualmente	manuamintem
manuel	manwˈɛl
manuel antónio pina	manwel ãn̪t̪õn̪ju pĩŋa
manuel antônio de almeida	mɐnu ɛw ɐntˈonjw dɨ aˈmeidɨ
manuel bandeira	mãnuˈɛl bˌɐ̃ŋdˈeɪɾɐ
manuel botelho de oliveira	mɐnuˈɛl bˌutˈeɪɾjʊ dɨ ɔlˌivˈeɪɾɐ
manuel cardoso	mɐnuˈɛl kˌɐɾədˈozʊ
manuel clemente	mɐnuˈɛʊ klˌemˈeɪŋtɨ
manuel da costa	manwel d̪e kost̪a
manuel da nóbrega	mɐnuˈɛl dɐ nˈɔbɹɨgˈa
manuel da silva rodrigues linda	mɐnuˈɛl dɐ sˈilvɐ ʁˌudɹˈigɨʃ lˈiŋdɐ
manuel de almeida	manwˈɛl dˈɑ almˈeɪða
manuel de araújo porto-alegre	mɐnuˈɛl dɨ ɐɾˈaˈuʒʊ puɁtˌulɨgɹˌi
manuel dias de abreu	mɐnuˈɛl dˈiɐʒ dɨ ˌɐbɹˈeʊ
manuel fernandes	mɐnuˈɛl fˌeɾənˈɐ̃ŋdɨʒ
manuel francisco dos santos	mˌɐnuˈɛl fɹˌɐ̃ŋsˈiʃkʊ dʊ ʃsˈɐ̃ŋ
manuel girão	manwɛl ɣiɾauw
manuel marinho alves	mɐnuˈɛʊ mˌɐɾˈiɲʊ ˈɑlʒʊ
manuel pessoa girão	mɐnwˈɛl pˌɨsˈoɐ ʒiɾˈɐ̃
manuel rodrigues coelho	mɐnuˈɛʊ ʁˌudwˈigɨʃ kˈoɛʎʊ
manuel é um nome portuguesíssimo	mɐnwˈɛl ɛ ũŋ nˈomɨ pˌuɾətuɣˌezizimˌu
manuela	manuɛla
manuela carneiro da cunha	mɐnuˈɛlɐ kˌɐɾnˈeɪɾʊ dɐ kˈuɲɐ
manuela moura guedes	manuela muɾaɣ̞uet̪s
manuella lyrio	mãnwˈɛlɐ ʎˈiɹjʊ
manuenses	manuels
manufactura	mˌɐnufatˈuɾɐ
manufacturar	mˌɐnufatˈuɾˈaɹ
manufahi	mˈanofˌaj
manufatura	mʊnˈufatˈwɾɐ
manufaturado	mˌɐnufatuɾˈadʊ
manufaturar	mˌɐ̃nʊfɐtuɾˈa
manuscrito	mˌɐnuskɹˈitʊ
manusear	mænzˈɛˈɛbˈ
manuseavam	mˌɐnuzˌeɐvɐ̃ʊ̃
manuseio	mˌɐnuzˈeɪʊ
manutenção	mɛnwtnsɐ̃w
manutenção de instalações	mˌɐnutɨlsˈɐ̃ʊ̃ dɨ ˌiŋʒtɐlɐsˈõjʒ
manzorra	mɐnzɔhɐ
maná	mənˈa
manáos	manˈaʊz
mané	manea
mané garrincha	mɐnˈɛgɐ ʁiˈɲʃɐ
mané-mago	mɐnɛˈmal
manéis	mˈʌndˈeɪz
manétia	manˈeˈtʃˈiɐ
maníaco	manijako
maníacos	manakus
manípulo	manipulo
manômetro	manometro
manúbrio	mãnobrjw
maoismo	malɪsmu
maometismo	mˌaˈometʃˈismʊ
maomé	malme
maon	mau̯an
mapa	mˈapa
mapa da cidade (portugal)	mˈapa dɐ sˌiðˈad
mapa do brasil	mˈapa dʊ bɹɐzˈil
mapa-múndi	mapamundi
mapará	mapaˈra
mapas	makais
mapati	apaaːtʃ
mapeabilidade	mˈapɨɐˌɐbilˌidˈadɨ
mapear	mapeɑh
mapfre	mafˈe
mapfre seguros	mˈafɹɨʒ sˌegˈuɾʊʃ
mapinguari	mˌɐfˌiŋgwˈaɾi
mapoteca	mapotĕk
mappin	maːpɪŋ
maprolitina	mɐpˌɾˌulˈitˈˌiŋɐ
maputo	mapʊtːo
maqueiro	vˈakːˌeɪɾʊ
maqueiros	makejɾuʃ
maqueronte	makkeɾɔntɛ
maquete	maket
maquetes	maketjˈs
maquetista	makɛtːʃistˈa
maquiador	makiadˈoɾ
maquiados	makiˈadʊʒ
maquiagem	mˌakˌiɐʒˈeɪŋ
maquiar	mˌakjˈa
maquiar-se	mˌɐkiˈaɾsɨ
maquiavel	maːkavˈe
maquiavélica	mɐkɛɐvˈɛljkɐ
maquilagem	mˌakilˈaʒeɪŋ
maquilar	mækjlæɢ
maquilhagem	mˈˈaˈtˈsidˈɑlˈ
maquilhar	mau̯kiʎa
maquina photografica	mˈakinɐ fˌutugɾˈafikɐ
maquinalidade	mˌakˌinɐ̃ʃtˈadɨ
maquinalmente	mˌakinˈaʊmiŋtɨ
maquinaria	mˌakinɐɾˈiɐ
maquinação	makˈinaθˈɐ̃ʊ̃
maquinismo	makjˈnizm
maquinista	makinistai
maquinário	mˌɐkinˈaɾjʊ
maquiné	makine
maquir	maˈkez
maquiçaba	mˌakisˈabˌɐ
mar	maaa
mar báltico	max abauʃiko
mar da palha	mˈaɪ dɐ pˈaʎɐ
mar de bering	ax dɛ bæɾiŋgi
mar de espanha	mˈaɹ dɨ ʃpˈɐ̃ɲɐ
mar de mármara	mˈaʁ dɨ mˈaʁmɐɾˈ
mar de timor	mˈaɾədʒɨt mˈaʊɹ
mar do norte	mˈaɹ dʊ nˈɔɾətɨ
mar mediterrâneo	mˈaɹ mˌeditɨɾˈɐ̃ŋnˌiɐ
mar morto	mæˀːmˈuːχ
mar negro	mˈaɾ nˈegɾʊ
mar piscoso	mˌaɾəpˌikˈɔzɐ
mar vermelho	mˈaɾ vˌeɾəmˈeljʊ
mar-de-espanhense	mardʲiʂpajesʲa
mar-vermelhense	mˈaɹvˌeɾəmˌelˈeɪŋsj
mara	mara
mara lúcia	maraluˈsja
mara manzan	maɾla mˈɐɴzɐ
mara maravilha	mˈaɾɐ mˌɐɾɐvˈiʎɐ
mara nascimento	pˌɐɾɐ nˌɐɪsimˈeɪŋtʊ
mara rosa	mˈaɾɐ ʁˈɔzɐ
mara rúbia	maːraːħubiːɐ
mara-rosense	mˌɐɾɐʁˌuzˈeɪŋʃ
marabaense	mˌɐɾɐbˈaiɐ̃s
marabunta	mˌɐɾɐbˈũŋtɐ
marabuto	marabouto
marabá paulista	maːraˈbɛtai
maracaense	mˌɑɹɐkˈaɪn
maracajaense	mˌɐɾˈakɐʒaˈeɪŋsj
maracajaú	maːɾakazsew
maracaju	mˌɐɾɐkˈaʒˌu
maracajuense	mˌɐɾɐkˌɐʒˈuˈeɪŋsj
maracajá	maɾakaja
maracanaense	mˌɐɾɐkˈaɪŋɐˈˌeɪŋsjɐ
maracanauense	mˌɐɾɐkˈaɛnˈɐ̃ʊ̃ˈeɪŋsɨ
maracanazo	mˌɐɾɐkˈɐ̃ŋɐ̃
maracanaú	maːrakanau
maracanã	mˌɐɾɐkˈɐ̃nˌɐ̃
maracanãzinho	mˌɐɾɐkˈɐ̃ŋnɐzˈiɲʊ
maracatu	maɾakatu
maracaçumeense	maɾɐsˌɐsumˈeɪŋsɨ
maracaçumé	mˌɐɾɐkɐsu
maracaí	mˌɑrakˈaɪi
maracha	mˈɾˈaʃˈa
maracujazeiro	mˌɐɾɐkˈuʒɐzˈeɪɾʊ
maracujá	mɐɾəkʃaː
maracutaia	maɾakutajɐ
maracá	mˌɐɾɐkˈɐ
maracás	mˌɐɾakˈaʒ
marado	mˌɐɾˈadʊ
marafa	mˌɐɾɐfˈa
marafona	mˌɐɾafˈonɐ
maragato	mˌɐɾɐgˈatʊ
maragogi	mˌɐɾɐgˈɔʒɨ
maragogiense	mˌɐɾɐgˈoʒˈɛisɨ
maragogipano	mˌɐɾɐgˈoʒɨplˈɐ̃ŋw
maragogipe	maɾaɣ̞otʃipi
maragogype	malagozipi
maragojiense	mˌɐɾˈagˌuɐʒˈˌiˈeɪŋ
maraial	mˌɐɾɐjˈɑl
maraialense	mˌɐɾˈaɪɐlˈeɪŋsɨ
marajaense	mˌɐɾɐʒaˈiŋsj
marajoara	mˌɐɾɐʒˈˌuaɾa
marajá	maɾaa
marajá do sena	mˌɐɾɐʒˈadʊ sˈɛ
marajó	mˌaɾamˈaɾɐ
marambaia	mˈaɾˈɛmbaj
maranata	mˌɐɾɐnˈatɐ
maranatha	maɾɐnˈatˈa
marangos	mˌɐɾˈɐ̃ŋgʊʒ
maranguape	mˌɐɾɐ̃ŋgwˈap
maranguapense	mˌɐɾˈɐ̃ŋgwɐpˈeɪŋʃɨ
maranhense	mˌaɾaɲˈˌeɪŋsi
maranhenses	taraɲːenˈsiz
maranhão	mˌɐɾɐ̃ɲˈɐ̃ʊ
maranhãozinense	mˌɐɾɐ̃ɲˈɐ̃ʊ̃vˌinˈeɪŋsj
maranhãozinho	mara
marani	maɾaɲːeɾ
marapaniense	mˌɐɾɐpˌɐnˈiˈeɪŋsj
marapanim	maːrɐpːanim
marapoama	maːrfoːrɔmhɑmˈ
marapé	mˌaɾapˈe
marasmo	maraajsmu
marasquino	maraskino
marataizense	mˌɐɾɐtˈaɪzˈeɪŋsˌi
marataízes	marɛtɑisus
maratona	marəona
maratonista	maɾatˈonˈistˈɐ
maratá	mˌɐɾɐtˈa
marau	mɐɾˈaʊ
marauense	mˌaɾˈaʊɐŋ
maravalhas	mˌaɾɐvˈaʎɐʒ
maravilha	mˌɐɾɐvˈiʎɐ
maravilhada	mˌɐɾɐviʎˈadɐ
maravilhadas	maɾˌɐviʎˈadɨʒ
maravilhado	mˌɐɾɐviʎˈadʊ
maravilhas	maɾɐvˈiʎɐʒ
maravilhava	mˌaɾɐvˌiliˈavˌa
maravilhense	mˌɐɾˌavilˈeɪŋsj
maravilhosa	mˌɐɾɐvilˈɔzɐ
maravilhosamente	mæˈɾædiːlmæne̞mjæʃ
maravilhosas	maɾaβ̞iʎɔsas
maravilhoso	mˌɛɾɐviʎˈozʊ
maravilhosos	mˌɐɾɐviʎˈɔzʊʒ
maraviroc	mˌɐɾɐviɾˈɔkɨ
maraã	mɐɾɐ̃
maraãense	maɾɐɐɾəbˈeɪnˌɨ
maraú	ɾau̯
marc bartra	maɾkj partɾa
marc jabobs	mˈaɹtʒ ʒˈa bˈoɾeʒ
marca	maɾka
marca de nascença	mˈaɾəkɐ dɨ nˌɐsˈeɪŋsɐ
marca negra	maɾka neʒɾɐ
marcada	maɾkˈadɐ
marcadamente	maɾəkˈadɐmˈeɪŋtɨ
marcado	maɾəkˈadʊ
marcador	mˌɐɾəkɐdˈoɹ
marcador de texto	maɾəkˈadˌoɾ dɨ tˈeʃtʊ
marcando	maɾəkˈɐ̃ŋdʊ
marcante	mˌɐɾəkˈɐ̃ŋtɨ
marcantes	maɾsˈɛkɐ̃ŋtˈɛs
marcapasso cardíaco.	mˈaɾəkɐ pˈasʊ kˌɐɾədˈikʊ
marcar	məɾkaːɾ
marcar touca	maɾkatɔvka
marcara	maɾkaɾa
marcaram	maɾkaɾɔm
marcaria	mˌɐʁkɐɾˈiɐ
marcas	maɾkɛs
marcassem	maʃkasim
marcava	maɾkˈavɐ
marcavam	maɾsˈavˈo
marcação	mɐɾəkɐsˈɐ̃ʊ̃
marcaçãoense	mˌɐɾəkɐsˈɐ̃ʊ̃ˌeɪŋsˌɨ
marcel herrmann telles	matsˈel ɹˌeɾəmˈɐ̃ʊ̃ tˈeʎəs
marcel souto maior	mɐɾəsˈɛʊ sˈowtʊ maɪˈɔɹ
marcel stürmer	ˌɑrsˈɛʊ e ʃtˈoɾmɛɹ
marcela	mɐɾsˈɛlɐ
marcela barrozo	mˌɐɾəsˈɛlɐ bˌɐʁˈozʊ
marcela mangabeira	mˌɐɾəsˈɛlɐ mˌɐ̃ŋgɐdˈeɪɾɐ
marcela menezes	mˌɐʃtˈɛlɐ mɨ dˈiɹ
marcelandense	maɾəsˈɛlˈɐ̃nˈdeɪŋsˈi
marcele	maʁsˈɛle
marcelinense	mˈˈaʁˈsɛlinˈɛnse
marcelinho	mˌɐɾəsˌelˈiŋʊ
marcelinho huertas	mˌɐɾəsˌɨɐlˈiŋˌˌw ʁˈeɾətɐʒ
marcelino ramos	mˌɐɾəsɨlˈinʊ ʁˈɐ̃mʊʒ
marcelino vieira	mˌɐɾəsɨlˈinʊ vˈiˈeɪɾɐ
marcella valente	maɾsˈelɐ vˌɐlˈeɪŋtɨ
marcello antony	maːrˈsɛlˈlɛ ˈɑntɔ mˈi
marcello nicastro	maɾəsɛlˈɔ nˌikˈaʃtɹʊ
marcelo	m
marcelo "marcelinho" tieppo huertas	mɐʒsˈɛlˌumɐ̃ʒsɨlˌiŋˌˌɐ
marcelo adnet	aɾəθˈelɐ dɨ nˈeɪɐ
marcelo aguiar	mˌɐɾəsˈɛlʊ ɐ gɨˈaɹ
marcelo anthony	mˌaɾθˈɛlo ˌɐntuni
marcelo antonio guedes filho	mˌɐɾəsˈelʊ ˌɐ̃ŋtˈonjw gˈɛdɨʒ fˈiʎʊ
marcelo basílio ferreira	mɐsˈɛlɐ bɐzˈiljʊ fˌeʁˈeɪɾɐ
marcelo bones	maxsalu boˈɲis
marcelo bonfá	mˌɐɾəsˈelʊ bˌɐ̃ʊ̃fˈa
marcelo brou	mˌɐɾəsˈɛlʊ bɹˈow
marcelo buarque	mˌɐɾəsˈelʊ bˌuˈaɾəkɨ
marcelo caetano	mɨɾəsɨlkɨ ɛ t̪anu
marcelo camelo	maʃˈɛl kɐmˈeʎʊ
marcelo capobiango	mˌɐɾəsˈɛlʊ kˌɐpˌubiˈɐ̃ŋʊ
marcelo chierighini	mˌɐɾəsˈɛlˌʊ kɨ ˌelɨgˈiŋnˌi
marcelo costa de andrade	mˌɐɾəsˈelʊ kˈɔʃtɐ dɨ ɐnˈdɹɐdˈe
marcelo coutinho	mˌɐɾəsˈɛlʊ kˌuwtɪˌɲˌɐ̃ʊ
marcelo d2	mˌɐɾəsˈɛɾʊ dɨ dˈoɪʒ
marcelo demoliner	mˌɐɾəsˈɛlʊ dɨ mˌulˌinˈɛɹ
marcelo falcão	mɐɾəsˈɛlʊ fˌɑlkˈɐ̃ʊ̃
marcelo faria	mˌɐɾəsˈɛl fˌɐɾˈiɐ
marcelo freixo	mˌɐɾəsˈɛlʊ fɹˈeɪʃʊ
marcelo gleiser	axsɛlʊ gɛɪzɪħ
marcelo gomes	max sɛlˈu gˈomis
marcelo grohe	mˌɐsˈɛlʊ gɹˈoɪ
marcelo huertas	mɑɹsˈɛl wˈɛɹ ðˈɪs
