"сэ" жызыӏэ	sˈa ʒˈɛzˈa
кӏыкъыр	tʃɔqlɑr
кӏылий-мылий	dʒuɦlæmɪdˈliː
кӏылын	tʃʏ̞sʏ̞n
кӏын	tʃyn
кӏыпхъэ	dʒʊpχa
кӏыпӏий	dʒuːpiː
кӏыпӏэ	tʃʏ̞pːɑ
кӏыр	dʒuɾ
кӏыргъ	dʒuɾq
кӏыргъсыргъ	tʃɪrɯ̞qʊ̞sɯ̞rq
кӏыргъсыргъыу	dʒurχsɪrɣu
кӏыргъын	kʏ̞rʏ̞ʁɯ̞n
кӏыритӏэмыритӏэ	tʃʏrtɑmɛrˈita
кӏырыкъ	dʒyɾyq
кӏырыкъщхьэфӏыцӏэ	kørɑqʃhɑfɑtsɯzɯɾ
кӏырыкӏ	dʒyɾytʃ
кӏысын	dʒɔsim
кӏысэн	dʒɔsæn
кӏытэ	dʒutˈʰ
кӏытэ-пщатэ	dʒɪtpʃɑt
кӏытӏ	dʒɪt
кӏыфӏ	dʒuɟ
кӏыфӏ хъуащ	dʒˈɛf fʁˈaʒ
кӏыфӏзэхэту	dʒfziːxetv
кӏыфӏыгъэ	dʒfuaqa
кӏыфӏыжкъым	tʃəfrˈeʃɪm
кӏыфӏым къыхэшын	tʃefoŋ tɯ̞xæhʲiŋ
кӏыхь	ʃɛħ
кӏыхь зысщӏынкъым	tʃɑħz æzrnɑnˈm
кӏыхь-лӏыхь	ɟʰæhɑzˈhɑ
кӏыхьагъ	kɛ̀xaːɣy
кӏыхьлӏыхь	dʒʊ̞hsɑh
кӏыхьлӏыхь зысщӏынкъым	dʒaħsahs æʃnɑmm
кӏыхьлӏыхь зыщӏын	tʃæxz æzɾin
кӏыхьлӏыхьу	dʒuːħsaħu
кӏыхьсолэ	tʃʰahsawwlɑ
кӏыхьхэр	dʒahʁər
кӏыхьщ	dʒɑħː
кӏыщ	dʒuz
кӏыщвей	dʒuʃbɛ
кӏыщокъуэ алим	dʒoʃawɣa alim
кӏыщтэн	dʒʊ̞stæn
кӏыщхъун	tʃɵsxun
кӏыщӏэ	tʃuˈsɑ
кӏыщӏэн	dʒuzun
кӏыӏэкъу	tʃuʁp
кӏэ	dʒoːn
кӏэ етын	dʒɑjˈɑtˈɪn
кӏэ зимыӏэ	dʒaːsimaʔe
кӏэ игъуэтащ	ʒɑːj ɑːbɑːtɑːʃ
кӏэ кӏыхь	dʒɑdʒɯ
кӏэбгъу	tʃɛbɔ
кӏэбдз	ʃɛms
кӏэбдзауэ	dʒakdzawa
кӏэбдзкхъуэщын	dʒɒbzqwɒˈʃiːn
кӏэбдзыщхьэ	tʃɑbtzɑsħar
кӏэгъу	dʒˈɔ
кӏэгъуасэ	dʒɑɣuæst
кӏэгъуасэмыщӏ	dʒɑːɣːoːsɑmɯz
кӏэгъэпшагъэ	dʒaːbʃaːrə
кӏэдахъуэ	dʒadaːxuː
кӏэдет	dʒɑdˈit
кӏэдж	dʒɛdʒ
кӏэджыгъэ	tʃatʃoɢo
кӏэдыгу	ʃɛrdʒgo
кӏэдыку	dʒɛdk
кӏэдыкъуакъуэ	tʃaːttʰeqoaqqa
кӏэдэвэж	tsʰakdɛvɛʒ
кӏэдэдзэ	tʃadeze
кӏэдэупӏэ	tʃɛdɛwˈuːpɔl
кӏэзызын	dʒɒziˈzin
кӏэзэгуэх	dʒazægwæx
кӏэкуэкуэн	dʒækækʰon
кӏэкъинэ	dʒaqijˈnɑ
кӏэкъуагъ	tʃækwaaɣ
кӏэкъуащӏэ	tʃaqwaaso
кӏэкӏыхь	dʒɑdʒɑ
кӏэкӏэн	dʒɛdʒɛn
кӏэломпӏ	dʒɛlɔmp
кӏэлъегъэжьэн	tʃaseʁadʒɑn
кӏэлъегъэжэхын	tʃˈɛsˈeˈʁɑʒˈɛ
кӏэлъегъэзыхын	tʃæsjæʁɑzixɪ̞n
кӏэлъегъэхын	æ̹læːræɢɛn
кӏэлъегъэхьыжын	tɕæʃjerɑħɑjn
кӏэлъежьэн	dʒɒsʃeˈʒɒn
кӏэлъежэжьэн	tʃaˈsleʁgøzøn
кӏэлъежэхын	tʃæsʲɪrʲɪχɪ̞ŋ
кӏэлъекъун	tʃʰɛ̀ːsʰɛjkwn
кӏэлъелъэн	dʒɒsijsæˈn
кӏэлъелъэфэжьэн	dʒɒsijsɒfɒzɒni
кӏэлъепкӏэн	tʃasjptʃn
кӏэлъесын	dʒɒhɒsiˈnˈ
кӏэлъетӏысэхын	tʃaːsʲetɵsæxɪn
кӏэлъеуэн	dʒæsæwɪ̞n
кӏэлъефэхъуэхын	æ̹læfæχɔ̙χɔ̙n
кӏэлъехужьэн	tʃaseχʉzɛn
кӏэлъехуэхын	æ̹læχɔ̙χɪ̞n
кӏэлъехын	tʃaɪ̞sʲɪχɪ̞ɴ
кӏэлъехьэжьэн	dʒɑsˈeħæzæn
кӏэлъешэжьэн	tʃæsʲii̯ʃæʲːɪŋ
кӏэлъешэхын	tʃɒsijʃɒχiŋˈ
кӏэлъеӏэбыхын	tʃʰæːhɛɛbɪ̞χɪ̞n
кӏэлъеӏэн	dʒɛhlæːæn
кӏэлъидзэжын	tʃaˈtʃitˈsjaʒˈinˈ
кӏэлъидзэн	dʒɛçidzɛn
кӏэлъижын	tʃɛsʲiʒyn
кӏэлъикӏын	dʒassʲiːtkin
кӏэлъилъэдэн	tʃæsʲiʂæsdɛn
кӏэлъипкӏэн	tʃaχiptʃan
кӏэлъитӏысхьэн	tʃaːsˤiːtˤusˈħan
кӏэлъиукӏуриен	tʃæskɔriæn
кӏэлъихуэн	tɕʰɪw˧˥xuːən˥˧
кӏэлъихьэн	tʃæfæn
кӏэлъишын	tɕja˥˩xi˨˩˦ʂɚ˥˩
кӏэлъишэн	tʃæsi̠ʃæ̹n
кӏэлъыбгэн	tʃasʲebʲeranʲ
кӏэлъыбжэн	tʃasjbɛndʒɛn
кӏэлъыбзэхын	tʃɑsjɯbzɑxɯ̞n
кӏэлъыбэкъуэн	ʃæsɪ̞bfæqɑjn
кӏэлъыбэнэн	dʒɛsɪ̞bænæn
кӏэлъыгуоун	tɕæsegɔɵɪn
кӏэлъыгуӏэн	tʃɒsɒˈguˈajn
кӏэлъыгъакӏуэ	tʃʰɑsɑkwɪ̞ɾ
кӏэлъыгъуэгын	tʃˈɒsʃɒgɒhˈinˈ
кӏэлъыгъын	dʒɒsʃɒgin
кӏэлъыгъэджэн	dʒæsagadʒɵn
кӏэлъыгъэжэн	tˈessˈɛʁgʁˈaʒˈɛɲ
кӏэлъыгъэкӏуэн	tʃa�aalkoːnˈ
кӏэлъыгъэплъын	tɕæsʲɑʁɑpʃin
кӏэлъыгъэпхъэрын	tʃæsʲɑʁapχɑrɪ̞n
кӏэлъыгъэсын	dʒɑʃɑʁɑsɪn
кӏэлъыгъэхуабэ	tʃɛʃɛɣɑfɑbɪ
кӏэлъыгъэхьэулеин	tʃɑsɑʁɑħɑwɑleʔɪn
кӏэлъыджэн	dʒasidʒeɱ
кӏэлъыдзыжын	tʃaɮetseɞ̙nɞ̙
кӏэлъыдзын	dʒɒsɒtinˈ
кӏэлъыдыхьэн	tʃasaðədiħæn
кӏэлъыдэжеин	tʃaːsdeʒiːn
кӏэлъыдэжын	tʃæsʲɪdɛʒyn
кӏэлъыдэкӏуеин	tʃæsdɛkwɪn
кӏэлъыдэкӏын	dʒɒsidɒdʒin
кӏэлъыдэлъэдэн	dʒɒsɒdɒˈsɒden
кӏэлъыдэхун	tʃæsɪ̞dːɛtʃʏ̞n
кӏэлъыдэхуэн	tʃaɮtæfɢæn
кӏэлъыдэхьэн	tʃtdaːhæn
кӏэлъыдэшын	tʃɒsidɒˈʃyn
кӏэлъыдэшэн	tʃæsidɛʃɐn
кӏэлъыжыӏэн	tʃaχiʃiænʲ
кӏэлъыжэн	tʃæsʲiʒɛn
кӏэлъызежэн	tʃaˈtɑsjˈɛʒˈɑ̃j
кӏэлъызекӏуэн	dʒɒˈliˈzeˈkwanˈ
кӏэлъызеплъэн	tʃøʃizɛpɪʃɛn
кӏэлъызехьэн	tʃʰæzjæˈhɛn
кӏэлъыкӏиин	dʒəssɑdʒii̯n
кӏэлъыкӏуэ	tʃɛʃɪ̞kwɛ
кӏэлъыкӏуэжын	tʃaʂʲakoʲːaʐɨɲ
кӏэлъыкӏуэн	tʃaːsakwan
кӏэлъыкӏуэтэн	dʒuɛsi˥˩kwan˥˥tʰən˥˥
кӏэлъылъэн	dʒɒsɒsæn
кӏэлъылъэтэн	dʒɒsiˈsætæn
кӏэлъыпкӏэн	dʒɛzzɪbdʒen
кӏэлъыплъакӏуэ	tʃʰɑsipːʃaaɟwɯ̞ɢ
кӏэлъыплъын	tʃaʃiepsɛnˈiː
кӏэлъыпсэлъэн	dʒɒsipsɒsɒn
кӏэлъыпхъуэн	dʒæs̺ɛbɔ̙n
кӏэлъыпхъэрын	tʃʰælʲɪpχɑrɨn
кӏэлъыпщын	tʃəsɛpsɛn
кӏэлъыпыджэн	dʒɛssʰɛpʌdʒɛn
кӏэлъыпыхьэн	dʒæsæphæn
кӏэлъыпӏэщӏэн	tʃasʲepazajm
кӏэлъысын	tʃɛssɛn
кӏэлъытекӏын	dʒɔ̙ɬte̞ːn
кӏэлъытелъэдэн	tɕæɬte̞ʰɒ̙ɬe̞tæ̝ːæn
кӏэлъытеуэн	tɕæ̹lʲɪtæwɪ̞n
кӏэлъытехун	dʒɔsidtʰɛjɛn
кӏэлъытехуэн	tʃaːsit˦teːxwɛːn
кӏэлъытехьэн	dʒæstʰan
кӏэлъытешын	tʃæsliteisɪn
кӏэлъытешэн	dʒʌstɪteˈʃæˌn
кӏэлъытхын	tʃaːsjɛtkʏ̞n
кӏэлъытын	tʃɛɫɪ̞tʰɪl
кӏэлъыукъуэдиин	dʒæsqwɑːdiːn
кӏэлъыутӏыпщын	tʃasjɛɫotopʃɨn
кӏэлъыущын	dʒæsosin
кӏэлъыуэжын	tʃaːsʲivojinː
кӏэлъыуэн	dʒæsjɔn
кӏэлъыфиин	tʃɛstʃɛfˈin
кӏэлъыхун	tʃasixynʲ
кӏэлъыхуэщӏын	tʃaːsjɔfɑzɬm
кӏэлъыхъущӏэн	dʒɑːsxosɑːn
кӏэлъыхъуэхъуэн	tʃaːsxwaːxwan
кӏэлъыхыхьэн	tʃaːsʲiχʲæːn
кӏэлъыхьыжын	tʃɑsħædʒn
кӏэлъыхьыжыншэ	tʃɐsɐχnʃɐ
кӏэлъыхьын	tʃæsæmhæn
кӏэлъыхьэулеин	dʒasħau̯liːn
кӏэлъыхэдзэн	tʃaʃixadzʲanʲ
кӏэлъыхэжын	tʃʰaɬxʉχʉɲ
кӏэлъыхэкӏын	dʒɛsʰɪkʰɑi̯dʒʊn˥˥
кӏэлъыхэлъэдэн	tɕæ̹lʲiχæɮɛdɪ̞n
кӏэлъыхэлъэн	jɔ̙sʲɪxɮsɛn
кӏэлъыхэпкӏэн	tʃaseχɛptʃɛn
кӏэлъыхэпщхьэн	tʃaθiχɛpːʃhæn
кӏэлъыхэпщын	tʃasjxɛpsʲɪn
кӏэлъыхэукӏуриен	tʃaːsʲexaːuːqurjann
кӏэлъыхэуэн	ɑsˈeχæw�in
кӏэлъыхэхьэн	tɕæɬχæeχɛn
кӏэлъышхыдэн	tʃɛsʲɪʃχɪ̞ðɛn
кӏэлъышэн	dʒɒsʃɒni
кӏэлъыщыщын	tʃaʃtʃɪ̞ʃusin
кӏэлъыщӏыхьэн	tʃɑsˤusˤħan
кӏэлъыщӏэжын	tʃaːsɯzɫaʒɪn
кӏэлъыщӏэкӏын	tɕøəsʏjsʰuaɪtɕyn
кӏэлъыщӏэлъэдэн	dʒɒsizɒldɒden
кӏэлъыщӏэпхъуэн	ʒˈʌsɪzwˈɑbxˌaɲ
кӏэлъыщӏэрыӏэн	dʒæsɪ̞swɑrɯ̞ɑn
кӏэлъыщӏэхуэн	tʃaːsɦafaɲ
кӏэлъыщӏэхьэн	tɕɛsɨsuħn
кӏэлъыщӏэцӏывэн	tʃasjɨʂatsɨvɛŋ
кӏэлъыщӏэшын	tsʲasʲizraʂɪn
кӏэлъыщӏэшэн	kæsˈɪsɑˈʃɑˌn
кӏэлъыӏун	dʒɒsɒuˈinˈ
кӏэлъыӏэбэн	dʒɛsʁɛɑːbɛn
кӏэлъэф	dʒɪsˈɛf
кӏэлъэщӏыхьэн	dʒaθzˈħan
кӏэлындор	æɮsɪntɔːr
кӏэлындорымкӏэ	tʃøznitɔɾumtʃø
кӏэлэгъунэ	dʒøzlɑgʊ̞næ
кӏэмажьэ	dʒɑmɑːʔɛzˈvɑ
кӏэмастэ	dʒɑːmɑːstæ
кӏэмпӏрафэ	dʒoːnbraːfɛ
кӏэмуж	dʒaːmˈyʒ
кӏэмыргуей	kendɾˈyguˈˈ
кӏэмыштыкъ	dʒɒmiʃtɒq
кӏэмыщкъий	dʒɑmɪsqiː
кӏэмэлъамэ	dʒmʃm
кӏэн	dʒen
кӏэнауэ	dʒoŋawɔ
кӏэнаф	dʒenf
кӏэнджэгу	tʃaːnˈtʃɐg
кӏэнкӏэ	dʒɑnˈdʒɑ
кӏэнтхъ	dʒɛntæ
кӏэнтӏырашэ	tʃɛntɑraːʃɛ
кӏэнтӏырэуэн	tʃaːntɾɐuɔjn
кӏэнтӏыӏу	tʃɑntɯp
кӏэнтӏыӏушэ	tʃɛntɑʊ̞ʃʲɛ
кӏэнтӏэн	tɕæntæn
кӏэнуанэ	dʒonwanɪ
кӏэнфет	dʒenfˈit
кӏэнцӏикъ	dʒɑːnˈziq
кӏэнцӏыгъу	tʃɛntsɔʁ
кӏэнцӏыкъ	tʃɛnʋsɯq
кӏэнцӏырыкъ	tʃɛnzɯrɯq
кӏэншыгъулъэ	dʒenʃoɣose
кӏэншэ-пэншэ	tɕjɛn˨˩˦ʂɚ˥˩pʰn˥˥ʂɚ˥˩
кӏэнэф	dʒenɛ
кӏэпауэ	tʃəpˌɛtˈvɔr
кӏэпейлъэпей	dʒoːˈpiːdʒoːˈpiː
кӏэпкъ	dʒabq
кӏэпкъжьэпкъ	dʒɑpqdʒɑpq
кӏэплъ	tʃɛps
кӏэплъ-щхьэху	tʃɑpsˈhɑːf
кӏэпс	dʒɒbs
кӏэпсыгъуэ	dʒo̞psäː
кӏэпхъ	kˈapʁ
кӏэпхъдахэ	dʒabqdaːxə
кӏэпхъпащӏэ	dʒɒbqpɒzli
кӏэпхъпщӏащэ	tʃɒpqɒpˈʃɒˈʃiˈ
кӏэпхъщэху	ʒˈabhˈussef
кӏэпхын	dʒapxɨn
кӏэпылъхьэ	tʃaqisˈħa
кӏэпӏейкӏэ	tʃapiadʒɛ
кӏэпӏейкӏэ зымылъытэм кӏэпӏейкӏэ и уасэкъым.	dʒɑbɛidʒe zimɛsɪtɪm dʒɑbɛidʒe wɑsɯtɪm
кӏэпӏейкӏэнэф	dʒɛpˈeitʃtˈɒnˈɒf
кӏэпӏейкӏэнэхъурат	dʒɑbeˈʒenɑxoɾæd
кӏэрахъуалъэ	dʒaroxvɑjse
кӏэрахъуэ	keraːxwɑ
кӏэрахъуэпс	dʒoːrɑːxoːs
кӏэрашэ тембот	dʒoɾhæɾ ʃaɪtʰeːm bɑːd
кӏэридзэн	dʒaːrjdʒen
кӏэрисхьэн	dʒɑːriːsˤħæn
кӏэричын	dʒɚ˨˩˦li˥˩n
кӏэрищӏэн	dʒɛːliːʈʂuan
кӏэртӏоф	tʃɛrtɔv
кӏэртӏоф уэздыгъэ	kʲɑrtof βoztɯʁa
кӏэртӏофуэздыгъэ	tʃɑːtɑfwaːzdɐga
кӏэртӏоффо	tʃʌtɔv�ɔ
кӏэртӏофыпкъэ	tʃɒˈɾtɒˈvɒbfiˈdfuˈqɒˈɾ
кӏэрыбзеикӏын	tʃɛrɪ̞bzɛjʲɪtʃyn
кӏэрыбзэхыкӏын	dʒœrɪ̞bzɛhʲitʃyn
кӏэрыблэн	tʃɛrpɫɛn
кӏэрывэж	dʒɑːrɛvɛʃ
кӏэрывэн	dʒɛrvɛn
кӏэрыгуэн	tɕɛrɪ̞gwæn
кӏэрыгуэшэн	tʃærɣueʃæːn
кӏэрыгъухьын	tʃarˈʁˈʁaħan
кӏэрыгъуэлъхьэн	jɑrɑw̜aɮɑn
кӏэрыгъуэн	dʒɑrɑgɑn
кӏэрыгъуэтыхьын	dʒarɑʁɑtˈhln
кӏэрыгъуэтэн	dʒɑːrɑːgˈvɑːtæn
кӏэрыгъэбыдэн	dʒɑrʁɑbɪ̞dæn
кӏэрыгъэвэн	kɒraħɒˈvɒˈn
кӏэрыгъэгъуэн	tʃɑɾɑɣɑn
кӏэрыгъэгъуэтэн	dʒaːrqahwaːtæe
кӏэрыгъэжьэн	dʒɑrɑʁɑzɑn
кӏэрыгъэкӏуэтын	dʒaːrǎɢakwaːtiːn
кӏэрыгъэкӏуэтэн	dʒaːraːɣaqɑtˈte
кӏэрыгъэкӏын	dʒaɾaagɑdʒɯn
кӏэрыгъэлъын	ʁɑɬʁɑɬˈin
кӏэрыгъэлъэдэн	tɕɑrɑɢɑʃɑdɛn
кӏэрыгъэлъэлъын	dʒaːraːgaʃɛʃen
кӏэрыгъэлӏыхьын	tʃɑrɑxäːtlähɪ̞ŋ
кӏэрыгъэпщӏэн	dʒaːrɑpsɑn
кӏэрыгъэтын	dʒɑrɑqˈtˈin
кӏэрыгъэтӏысхьэн	dʒarɣtˤsˤaħan
кӏэрыгъэтӏэтӏын	tʃɑrɑχätɑtɯ̞ŋ
кӏэрыгъэувэн	dʒarʁɔvɑɲ
кӏэрыгъэукӏуриен	tʃarəχ�awqoɟlɪjæn
кӏэрыгъэхун	tʃaːdaħafoin
кӏэрыгъэхуэн	tʃaːraːħaːfɑj
кӏэрыгъэщэтын	dʒɑːrɑːɣaʃɑtɪl
кӏэрыгъэщэщын	kæræʁäsɑsɯ̞m
кӏэрыгъэщӏэн	dʒœrøzuˈn
кӏэрыдзын	tʃɒɾɒˈizɒŋˈ
кӏэрыдзэн	tʃɛrðɛŋ
кӏэрыдиен	tʃærðiæn
кӏэрыдэн	dʒaldæn
кӏэрыжын	tʃarɨʒyn
кӏэрыжыхьын	tʃarʃhaɲ
кӏэрыжьыхьын	tʃarɛzˈħan
кӏэрыжьэн	dʒaːrʒɒni
кӏэрыз	dʒɒɾiz
кӏэрызын	tʃarizim
кӏэрызэгъэн	dʒrzaxɑn
кӏэрыкухьын	dʒurˈkuhin
кӏэрыкъузэн	tʃarɑqzɛn
кӏэрыкӏ	tʃɛɾɪtʃ
кӏэрыкӏутэн	dʒarkuten
кӏэрыкӏуэдыкӏын	tʃærkwɒtdɒtjɵn
кӏэрыкӏуэтын	dʒaːrəkwaːtiːn
кӏэрыкӏуэтэн	dʒarkwatɛn
кӏэрыкӏын	tʃærˈdʒiˈnˈ
кӏэрыкӏэн	tʃaritʃaɲ
кӏэрылъхьэн	ɐrɪ̞ɮɐ̹n
кӏэрылъын	ærɮin
кӏэрылъэгъуэн	arɪɮɐχɢɔ̙n
кӏэрылъэдэн	ɑrɪsætæn
кӏэрылъэлъын	tɕærʲɪɮæʃɪ̞n
кӏэрылъэтын	ɵrɵɬɵtʰɵn
кӏэрылъэфын	dʒɛræsɛfːɪ̞n
кӏэрылъэфэн	tʃärɪ̞ʃɛfæn
кӏэрылъэщӏыкӏын	tʃæræssæzwtʃɪn
кӏэрылэлын	cərjɬeɮin
кӏэрылӏыхьын	dʒarðˈɕæn
кӏэрымылъ	dʒɛrimiʃ
кӏэрыныкъэн	tʃaːrɪnˈniqan
кӏэрынэ	tʃarɪnˈne
кӏэрынэн	dʒɒrnæn
кӏэрыплъэн	kɛrɪ̞pʃæn
кӏэрыпсэн	dʒɛrɪ̞psæn
кӏэрыпхъэн	dʒərpχɑn
кӏэрыпхэн	dʒarɪpχɛn
кӏэрыпщхьэн	tʃuħn
кӏэрыпщӏат	dʒɑrɯpzɑhɑt
кӏэрыпщӏэн	læripʃɑn
кӏэрыпщӏэурэ	kæˈrɪpʈɑurɑ
кӏэрыпыӏэн	gærpʲanʲ
кӏэрысакӏуэ	kɛrsɑq
кӏэрысын	dʒɒɾˈsɒnˈ
кӏэрысэ	dʒɛɾˈisɑ
кӏэрыткӏун	tʃɛrtqɪ̞n
кӏэрыткӏуэн	ˈɑrtɢuen
кӏэрытхъунщӏыкӏын	ʃɐrtχɵnsɔtʃin
кӏэрытхъын	dʒaːrɑtχin
кӏэрытхьэлыхьын	tʃɐrtæ̹lːiʲhe̞n
кӏэрытхьэщӏыкӏын	dʒɒˈɾˈdħæzuːddin
кӏэрытхэн	dʒʌˈrɛdxaːn
кӏэрытын	dʒɑrɯtɪn
кӏэрытӏысхьэн	tʃɑrtɑsˈħɑn
кӏэрытӏэтыкӏын	tɕrtɑtʰɪtʃyn
кӏэрытӏэтӏын	tʃɑrɯ̞tɑtʊ̞n
кӏэрыубыдэн	dʒɒˈɾɒbden
кӏэрыубэн	tɕarupɛɲ
кӏэрыувэн	dʒʲɛrːɔːn
кӏэрыудын	dʒɑrɯwɯdɪn
кӏэрыукъуэдиен	dʒɑruːalzeɾ
кӏэрыукӏуриен	kærɾɯwkɾiːjɛn
кӏэрыукӏыхьын	dʒɐrɪ̞wðʒɪ̞hɪ̞n
кӏэрыукӏэн	tʃarɛwldʒaːn
кӏэрыулъиихьын	tɕʰɛ̀ːrʊ̞ːsʰiːn
кӏэрыун	dʒɛɾwɪn
кӏэрыупсеен	dʒɒˈɾɒubsejɒˈnˈ
кӏэрыупцӏэн	dʒarɨw̜ptsɫɛn
кӏэрыутхыпщӏыкӏын	tʃɐrɵɵtχɪ̞psʊ̞tɪ̞n
кӏэрыутхэн	dʒerʁuːdxan
кӏэрыутӏыпщ	tɕørɯwɯtɯps
кӏэрыутӏыпщу	tʃarɨvutʂto
кӏэрыутӏыпщхьэн	tʃaːrɯltɯpsɯnˈhɑn
кӏэрыуфэрэкӏэн	dʒɑːɾuːfʲæɾʒænn
кӏэрыуэн	tɕɛrwˈɑn
кӏэрыху	tʃarʊ̞w
кӏэрыхубжьэрыху	dʒarifbdʒarif
кӏэрыхугъэ	tʃarʊ̞xɔʁa
кӏэрыхужын	tʃarχwˈzn
кӏэрыхукӏэрыщ	dʑarw̃w̃tɕarɨ
кӏэрыхун	tʃærχɵn
кӏэрыхуншэу	tarɨxuniʃau̯
кӏэрыхуныгъэ	dʒarχunigɑ
кӏэрыхуфэрыху	dʒɑɾʊfɑrʊf
кӏэрыхуэн	dʒgarˈχuan
кӏэрыхъухьын	dʒarˈxhæn
кӏэрыхъуэн	dʒaːrxwan
кӏэрыхъыжьэн	dʒarˈaxadʒˈɑn
кӏэрыхын	tʃarχɪ̞ɴ
кӏэрыхьэжын	dʒarħædʒiːn
кӏэрыхьэн	dʒarˈħɑn
кӏэрыцӏэлъын	arasaːɑɮiŋ
кӏэрыцӏэлэн	tʃɛrɪtsɑxɛn
кӏэрычын	dʒɒˈɾˈiˈtʃyn
кӏэрышхыкӏын	tʃarʃχɛçin
кӏэрышхыхьын	dʒarɪ̞ʃχʊ̞hɪ̞ɴ
кӏэрышхэн	dʒarʃxæn
кӏэрышын	tʃɒɾeʃɒˈn
кӏэрышытӏэн	tʃɛrɪ̞ʃɪtɑn
кӏэрышэн	tʃarɨʃaːn
кӏэрыщтхьэн	dʒuristɦan
кӏэрыщтын	tʃɒɾˈɒˈstˈiˈm
кӏэрыщтыхьын	dʒɛɾstïihɪ̞ŋ
кӏэрыщэтын	tʃɛrsɛtin
кӏэрыщэщын	tɕærɪ̞ʃæʂɪ̞n
кӏэрыщӏапӏэ	tʃarˈsɑpːa
кӏэрыщӏыхьын	dʒarzħæn
кӏэрыщӏэн	tʃɒɾɒˈswan
кӏэрыӏубэн	dʒɒriˈoˈbɒn
кӏэрыӏулӏэн	dʒɑrɯzɑn
кӏэрыӏун	dʒɑrɯ̞n
кӏэрыӏуэнтӏэн	tʃarɯ̞oːntɑn
кӏэрыӏыгъэн	dʒarʁɑn
кӏэрыӏэбэн	dʒɒˈɾbɒn
кӏэрэпщ	tʃɛrɛps
кӏэрэф	dʒraf
кӏэрэхъ	kˈarɑx
кӏэрэхъуэн	ʃaːraːχoːn
кӏэрэхъыпс	dʒɑrɑχɯ̞ps
кӏэс	dʒʌs
кӏэсахъуэ	dʒzɑxxoɾ
кӏэстум	dʒɑstˈum
кӏэсу	tʃɛstɔ
кӏэсыж	dʒəˈsiː
кӏэсын	dʒɒsijn
кӏэсэгу	kəsɛgu
кӏэтх	dʒɒt
кӏэтӏий	tʃaˈti
кӏэтӏийнэф	dʒɛtʃtejnæff
кӏэудэ	dʒɒˈudde
кӏэух	tʃau̯
кӏэух псалъэ	tʃɒχ psˈɒʃi
кӏэф хъуа нэужь зи адэшхуэр зыгъеижам нэхъей	tʃaf xwanəwz zjadəʃ xor zɣejdʒam naxe
кӏэфий	dʒefi
кӏэщей	dʒose
кӏэщӏ	tʃas
кӏэщӏищӏыхьын	dʒazizˈħan
кӏэщӏищӏэн	tɕiaʊ˨˩˦sui˥˧swan˥˥
кӏэщӏкӏэ	tʃɒzˈtʃɒ
кӏэщӏу	tʃasum
кӏэщӏу жыпӏэмэ	tʃaːsʊ dʒub ɛmɑn
кӏэщӏущ	dʒɑsʊs
кӏэщӏущыгъэ	dʒasɒsɒɢɒ
кӏэщӏыхьэн	dʒuːsˤaħan
кӏэщӏэбжьэхъуэн	dʒǎsapzǎxuən
кӏэщӏэгъуэлъхьэн	tʃɑsɑʁwɑshɑn
кӏэщӏэгъэбзэхыкӏын	tʃoʃɑɢɑbɪ̞zɛχʲɪtʃɪ̞n
кӏэщӏэгъэбыдэн	dʒɒsɒbˈidɒn
кӏэщӏэгъэгъуэлъхьэн	tʃɑsːɑhɑːʁuːælħæn
кӏэщӏэгъэкӏуэсыкӏын	tʃɑswɑhɑʔəkwɑsɯtʃyn
кӏэщӏэгъэкӏын	dʒɒsɒhɒtʃyn
кӏэщӏэгъэтӏысхьэн	tʃaʃarastasˈħæn
кӏэщӏэгъэувэн	tˈɪsˈʁɔvɛ
кӏэщӏэгъэукӏуриен	tʃaˈhɑwkoˈrɪjɛn
кӏэщӏэгъэукӏуриикӏын	ʃʰæːswɑhɑːoːkɾiːn
кӏэщӏэдзын	tʃaːsatʃin
кӏэщӏэдзэжын	tˈɪjˈɛtˈsɑːtseʒˈin
кӏэщӏэдзэн	tʃaˈsatʃen
кӏэщӏэдыгъукӏын	dʒǎsɑdɒɢoin
кӏэщӏэдыгъуэн	tʃaːsrɑtˈdɑgɑn
кӏэщӏэдэн	dʒuzvɒdeːn
кӏэщӏэдэӏухьын	dʒrdˈaːħæn
кӏэщӏэдэӏуэн	dʒɒsɒdiˈnˈ
кӏэщӏэзэрыхьын	dʒɑsˈɑsɑrˈhɯˈn
кӏэщӏэкъузэн	tʃaːʃaquzɛn
кӏэщӏэкъуэн	tʃa˥˧swɔ˨˦an˥˧
кӏэщӏэкӏуэсыкӏын	dʒaːsʁaiːkwaːsɛʁtʁnː
кӏэщӏэкӏуэтын	dʒɒswˈaɪkwˈaɪtˈinˈ
кӏэщӏэкӏуэтэн	dʒɑsrakuetʰan
кӏэщӏэкӏын	tɕa˥˧sʰuaɪ˧˧tɕʰin˥˧
кӏэщӏэкӏэн	tʃaːsatʃen
кӏэщӏэлъ	dʒuːstˈɛ
кӏэщӏэлъадэ-кӏэщӏэжыж	tsʲotʃosʲadʲatsʲotʃoʒyːʃ
кӏэщӏэлъхьэн	tʃɑswtʃan
кӏэщӏэлъын	dʒuzɑsɪ̞n
кӏэщӏэлъэдэн	dʒazvˈɑʃˈvˈldˈan
кӏэщӏэлъэлъын	tʃøzqɑʃæ
кӏэщӏэлъэлъэн	dʒuzuzɛsɛn
