(й)езуитщина	ɑːwezoːliːˈstænæm
мизерник	mʲizʲernʲig
мизерно	mizeɾnu
мизерствам	mjzɛɾstwɑm
мизерстващ	miːzɛrstvaʃt
мизерствуващ	nɪzˈɛrstfʊvˈɐʃt
мизия	miðie
микроб	mjkrop
микробетон	mikropɛtɔm
микробиология	mikrubiologi
микробус	mikrobuʃ
микровълнова фурна	mikrovɛlno vafurna
микрокосмос	mjklukosmos
микроорганизъм	mˈikrɔˌɔrgɐnˈizm
микроприложение	mikrupiuuʑɛɲiɛ
микропрограма	mikruprɔgrama
микроскоп	mʲinkəɾsqɔp
микроскопичен	mjˈkroskˈopˈitʃˈa
микрофон	mikʁofˈɛn
мил	mˈiɭ
мила	mila
мила моя	mʲiɫa moja
мила родино	miɫa roɣinu
милвам	mju˩˥ːvam
милен	mjˈlæn
милена	mjlena
милена живкова	miˈlɛnɛ ʒiːfkua
милея	lˈeɪɹ
мили	mili
мили боже	miɫi boʒe
мили мой	mjɛlɨ moj
милиард	mjliaɾ
милион	mjljɔŋ
милион лекари	mjljõn lɛkːar
милиона	mjljɔna
милионер	mˌiʎoˌnˈɛɾ
милитаризъм	militarizm
милица гладнишка	miɫitsa gladnʲiʃka
милица мирчева	miɫitsa miɾtʃɛvna
милиция	mjlitsja
миличък	miːliːtʃək
милка	mjˈɛlkɐ
милка ламбрева	mjɛlka ɫambɾɛva
милка янакиева	mjɛkaj janaːkʲiːva
мило	mio
миловиден	miloviˈden
миловидна	nivɔvidna
миловидност	nˌiʎuʒˈiðnɨ
милозлив	miuzˈlif
милост	mˈeˈost
милостив	mjusdv
милостиня	miːustiˈnja
милосърден	miuːsɯrˈdiːn
милосърдие	miuˈsɪr
милошев	mʲiɫˈɔtʃʲev
милувка	mjwufka
мим	mˈim
мими балканска	mimi bo˥˩ːka˥˩ːnska˥˩ː
мимик	nimik
мимика	mimika
мимо	memo
мимолетен	mjimulɛtɛn
мимолетност	mˈimolɛtˈmˈuːzt
мимоходом	mʲimuxodum
мина	mila
минава	minava
минавайки	mʲinawajkʲi
минавам	minavan
минавам покрай сгради	minavam pɔkrɛj zɛˈradɪ
минавам през светофар	minaβɐm prɛsvɛtɔfar
минал	mɪnˈaʊ
миналата година	minalata go dɪnˈa
миналата година беше щастлива	minˈaɫˈatˈa goˈdina ˈbɛʃɛ ʃtasɫivˈa
миналата година посетих един прекрасен курорт.	minˈʌvata goˈdina posɛtixerˈa ˈun prɛkɾasˈɛn koˈrɔrts
минало	minalo
минало ми е времето	minaɫumi ʋrɛmɛtɔ
миналото	minalutu
миндер	mʲindæ̹r
минерал	mʲinʲeraɫ
минете под моста	mjɛnɛtɛ pɔdmɔsta
минзухар	nʲinzuxar
миниатюра	miniatʊra
миниатюрен	mʲinjatʲurɨm
минижуп	minˈzup
минимален	minimal
минимум	minimɯm
минирам	mjˈnˈiːrɐm
минкова	minkova
минувач	mɪnˈʊvɐt
минус	minus
минута	minutə
минутата минава	minuzta minava
минутата минава бързо	minot̪a t̪e mineɣ̞a β̞ɾð̞o
минутен	minutem
минути	minute
миньор	miɲˈoɾ
миньор перник	minɲɔɾ pɛrnjk
мир	mˈiɾ
мира	mjˈra
мираж	mʲiɾɑːʃ
мирева	mʲireva
мирела демирева	mirelo de miɾava
мирен	mjɾn
миризлив	miːrzif
миризма	miːrizma
миризми	miːɾɪzmi
мирис	pirif
мириша	mire̞ʃe
миришещ	miːriʃiʃt
миров	mjˈrɔv
мироглед	mˈiɾˌuːglət
мирогледът	mɪruglɛdɛt
миролюбив	miːrulʊbˈɪf
миропомазан	mirupuˈmɑzɐm
миропомазвам	miropo˥˩ːma˥˩ːsvam
мирослав найденов	mʲiɾosoft nai̯ðɪ̞n uf
мирски	tuːjˈʌŋfʷʊʔt̚bɒɫplˈeɪɚzˈweəɹɪŋbluːəndjeləˈjuːnɪfɔːmsfˈaɪtfˈɔɹðəbˈɔl
мирувам	mjˈrʊvɑm
мирясвам	mʲirjasvɔn
мисир	misir
мисия	miʃe
мискинин	miskinin
мислен	mˈisən
мислене	misen
мисленето забранено!	mislʲenɛ to zabranɛnu
мислено	mislɛnɔ
мисли	mislimisli
мислим (мисл'им)	mɪslim
мислител	mislitau
мисловен	mislovis
мисловна	miswɔvnɔ
мисловност	mɪslˈovnˈost
мисля	mɪsɫʲi
мисля си	mislesi
мистериозен	mysteɾiozon
мистериозност	mistɛrioznost
мистерия	mistoɾio
мистификация	ministifikatsia
мистицизъм	mistitsism
мистичен	misditsin
мистичност	misʲtʃitʃnasts
мистрия	ministria
мисъл	miso�
мисълта	misaltà
мит	mɪt
митарство	mitertso
митинг	miːtˈɪŋ
митически	bitiːtʃɪski
миткам	mɪtkam
митко ценов	mɪtkutsɛnɔv
митница	mitnitsa
митологичен	mitubo˥˩ːgitʃən
митология	mituogɛ
митрил	bitɾiu
михаела маевска-величкова	mʲixajɫa maʲæska vʲɛlʲitʃkova
михаил мутафов	mixajɛʊ mutafɔf
михаил стоянов	mixajow stojanow
михайловград	mikaːɛoːogrɑb
миш-маш	mismas
мишена	miʃena
мишка	mʃka
мишката лекува слона	miʃkɛtɛ lɛkuvɛ sɫɔnɐ
мишката не пие мляко	miʃkɐtɐ nɛ pijɛ mɫjɐkɔ
мишката се къпе в мляко	miʃkɐtˈa sɛ kɤpɛ ˈf mɫˈakˈo
мишкувам	mʲiskɔvɑ
мишленце	miʃlɛntsɛ
мишок	miːʃok
мишци	misʲtsʲi
мия	mˌiɐ
мия се	miese
мия си зъбите	mʲija sʲizʲa bɪtɛ
мия си ръцете	mijesti retsɛte
мия чинии	miotʃtʃie
млад	mwɒt
млада	mwad
младеж	mʊ̃ˈɑdˈɛʃˈ
младежки	modɛʃki
младежо	mʊˈadɛʒʊ
младенец	mɫɔdɛnɛts
младенчески	mɔdɛntʃiski
младея	lad̪eɣ̞a
младини	mˌoːdˈini
младоженец	mɫadɔʒɛnɛts
младоженски	mʊˈʌdʊʒˈeɪnski
младок	mˈadˈok
младост	mʊˈɑdʊst
младостта	mˌɔdʊstˈɐ̃
млатя	mɫˈɑtja
млекарница	mlɛkarnitza
млекце	mlɛkɛtsɛ
млък	mɯ̞k
млъквам	mˈʌɭkɹʌm
млъкни	mokˈnj
млъкни по дяволите!	mɫɐknij po djɐwʊɫitʲa
мляко	mlakɔ
мляко за вечеря	mljˈako za vetʃerja
мляко с месо?	mljako s mɛso
млякото е за мишката	blʲakoto ɛ za mɪʃkata
млякото потече	mljakutu pɔ tɛtʃɛ
мляскам	mˈɭˈæskˈʌm
мнение	nenʲi
мним	mˈnˈim
мнителен	nʲitɛlɛn
мнителност	nʲitɛu̯nust
много	mnˈogʊ
много благодаря!	mnoɣu bɫoɣdarʲi
много болен	nɐʊgɔ bɔlɐm
много бързо	nɔgu pɔrzɔ
много важна бира	nˈoˈgɔ vaʒnɐ bˈira
много ви харесвам	mnogo volis xarɛswam
много зает	nɒgu zɒˈjˈ
много рядко	nɔgu rˈetku
многоброен	nɔgubrɔn
многоглаголствам	nˈoɣogɫʌgˈoɭstvʌm
многоглаголстване	nɔgɔbɫɛkɔw̃ftrɔɲɛ
многогодишен	nʊˈgɔgɔdiʃən
многодумен	mnoɣ̞odumen
многоетажен	mnoˈgoɛtaʒɛn
многожелан	miːnˈoˈɛuʒʌɭˈɑn
многознайник	nˈoguznˈɑjnik
многозначителен	maguzmatʃitɛlɛn
многократен	noɣ̞ukɾat̪ɛn
многократно	mnogokrotno
многолик	mnoˈglˈ
многолюден	nogolʊdˈa
многолюдие	nɛgˈulʊˈdɪ
многообещаващ	nɔguʔbɛʃtevɐʃta
многообичан	mnoguubitʃam
многообразен	nɔgɔɔbrazɛm
многообразие	nˈoɣooβɾˈaðe
многословен	mnogusɫovan
многословие	mnoguswɔvjɛ
многострадален	nugustradalʲɛn
многостранен	nogostranɛn
многостранност	mnugustranost
многоуважаем	nogovozam
многофункционален	nogofuntseonalen
многоцветен	mnugutsɛteŋ
многочислен	mnogotʃislem
многочисленост	nutʃislenos
множа се	nˈo ʒˈɛ sˈɛ
множествен	wimauʒɛztwˈe
множествено	nˈoʒˈɛstˈvɛnˈɔ̃
множественост	mnɔʒystvɛnɔst
множество	mnˈoʒystvʌ
множко	nˈosku
мнозинство	mnaɫziɲstvɔ
мнозинството от хората не могат да се ориентират в природата.	mnoɫzinstvɔtɛ ɔd xɔratɛ nɛ moˈgɔ ˈda sɛ orjɛntirat v priˈrɔdɐt
мобилен телефон	mobilɛŋ tɛlefon
мобилизация	nubilizatsia
мобилизирам	mobiliθˈirɐm
мога	mɔga
мога ли да ви попитам за това?	mˈoˈgɔ li dˈa vi popitˈam za toˈva
мога ли да платя с кредитна карта?	mɔgu li dɐ pɫatja s krɛdit na kɐrtɐ
мога ли да седна?	moga li dˈa sɛdnˈa
могадишу	mogadiʃu
могат	mogat
могила	mugiɫa
мого	nɔgɔ
могъщ	mugəʃt
могъществен	ogʝtʏ̞stʏ̞n
могъщество	mugˈœʃtbe
мода	mɔda
модалитет	modellitˈtˈ
модел	mɔdɛu
моделиер	mˌoːdˈiliɚ
моделирам	mʊdɛliɾɐm
моден	mobben
модерен	mɔdɛrɛn
модерна пчела	mudaɾna ptʃoa
модернизация	mɔdɛrnizatsia
модернизирам	mudɛrnjisiram
модернизиран	mˌoŋdɛlnizˈeɾəm
модернизъм	mʊdɛrnʲizm
модернистичен	mʊdɛrnɪstitsen
модификация	mɔdifikˈatsijˈa
модифицирам	mɔtɪfitsiram
модифицирана	mɔdɪfitsirɑna
модно течение	mɔdnɔ tiʒɛɲi
модулация	madulatsija
модулирам	mɔdʊlirɐm
мое	mˈɔj
моето	nojtɔ
моето име	multu ime
моето ухо	mɔɛtʊʊ̃hɔ
може	mˌɔzˈɛ
може би	mol zɛ bi
може ли да го поръчаме за вкъщи?	mɔʒɛ li dɐ kɔ pɔrɛtʃɐ me zɐfqaʃti
може ли да ми го доставите?	mɔʒi li dɔ migʊtɔsɔtɛvite
може ли да ми дадете разписка моля?	mɔʒɛ li dɐ mɛ dɐdɛtɛ rast piska mɔʎɐ
може ли да ми донесете лъжица?	mˈoʒyli dˈo mˈɛ donesɛtˈa ɫʒitso
може ли да ми изпратите нова карта?	mˌoʒi li dˈa mi sprˈatitˈa nˈovˈa kˈartˈa
може ли да ми помогнете?	mɔʒi li dɐ mi pɔmɔgnete
може ли да намерите номера на сметката ми?	moʒi li dɐ namɛritɛ nɔmɛrɑ na smɛtkatɐ mi
може ли да направим резервация?	mˌoʒi li dˈa nɐprˈavim rɛzɛrvˈatsijɐ
може ли да отида на купон?	moˈʒi li dɐ ɔtivɛnɔ kˈupɔn
може ли да платя с дебитна карта?	mˌoʒiʎi dˈa pɫˈɐtsɐ s dˈevitnˈa kˈartˈa
може ли да получа копие от извлечението	mˌoʒi li dˈa poɫutʃˈa kˈopijɐ ˈot ɪzvɫetʃˈenijatˈo
може ли да почерпя едно питие?	mɔʒi li dɐ poʧɛrpɛ ɛdnɔ ɛpitiɛ
може ли да се сяда отвън?	mˌoʒɛ li dˈa sɛ sˈat ˈotvɤn
може ли да си запиша час?	mɔʒɛ li dɑ sɛ zɑpiʃɐ tʃas
може ли менюто моля?	mɔziˈli minˈuto mɔla
може ли сметката моля?	mɔʒɛ li smɛtkɐtɐ muɔɫa
може ли чаша чешмяна вода моля?	mɔʒi li tʃaʃa tʃeʃmjɐ na vɔdɐ mɔljɐ
можем	moʒim
можене	mozɛne
можете	moʒɛte
можеш	nozɛ
можещ	mˌoʒɛʃt
мозамбик	mʊ̞zʊ̞nbʲik
мозък	maːzɯk
мозъчен	mozɒtʃɒˈn
мои	moi
моите	mojte
моите почитания	mˈoɪtɛ pˈʊtʃˈitˈanja
мой	mɔj
мой ред	mɔj rɛt
мой ред да се оженя	moj rɛtːɛ tsɛ u̯ʒɛ pavʲerɨɫa
мойта	multãŋ
мокет	mˌoˈkɛt
мокрее	mukɾe
мокрота	ʊ̞kɾʲtæ
мокря	mokrɛ
мокря се	mokrise
мокър	mokɯɾ
мокър март	mokɾ maɾt
мокър светофар	mˈokɐr svˈetˈo vˈar
молба	moba
молдавия	mˌoːdˈavja
молдова	mɔdɔv
молебствие	muɫɛpstvʲe
молекула	mulekuɑ
молещ се	molestse
молибден	mulɨkdɛn
молив	mˈˈolif
молитва	oˈɛttˈɛvɛ
молител	mulˈitˈə
моля	mol
моля дайте ми една торбичка	mɔɫɛ dajtɛ mi ɛdna tɔɾbitʃka
моля заведете ме в болница	moɫɛ zavʲdɛtɛ mevpou̯nitsa
моля извикайте доктор	mɔɫɛ izviktɛ dɔktɔr
моля се	molese
моля.	mola
моля?	molʲa
мома	moma
момент	nomɛnt
момента	momẽn̪t̪
моментален	momentɑlː
моментално	momentau
моментен	moment̪ẽ
моментна	numenta
момин проход	momɛn proxut
момина сълза	mɔmi nɔ sɛ wza
момински	mumˈiski
момиче	momitsʲe
момиче между две момчета	momitsɛ mɛs du dve mɔntʃɛta
момиченце	mɔmjitʃɛntsɛ
момичета	mˌumˌitʃˈɛtˈa
момичето закъснява	muː ʋʲiːtʃidoː zɐkʲɐsnʲɐʋɐ
момче	momtɕi
момченце	untʃɛntse
момчета	momtseta
момчетата	muːʧætataː
момчето забрави очилата	montʃɛtɔ zaˈbraʋi ɔtʃiˈɫata
момчето мисли	muntʃetu misli
момчето я чака	momtʃɛ tɔ jatʃak
момчил степанов	mamtʃil stepanov
момчилград	mˌoŋtjˈilgɹˈat
момък	momokɯ
монако	munakum
монарх	munɑr
монархия	munˈɛlˈʁijˈa
монах	mn
монашески	mɔ̃aʃiski
монблан	mɔmblan
монета	moneta
моно	mono
моно канал	maũ nʊ kɐnˈɑl
моноаминооксидазен инхибитор	mono aminə ɔpsidɑzɛ ni ɛnjjbɑtɔɾ
монолит	mˌɔnˈɔlˈɛt
монолитен	monulitən
монолитност	unulitnos
монопол	aːmɐlˌupˈɔ
монополизирам	mnopolizirɯm
монополистичен	mnopulistitʃɛn
монотонен	munot̪t̪ɐ̹o̞nẽn
монотонност	munotɔnmust
монтаж	muntas
монтана	montala
монтирам	mʊŋtiɾam
монтиране	muntjɾene
монтьор	mʊ̃tɪ̞ɔr
монумент	monumˈɛnt
монументален	munomentaɾen
монументалност	munumɛntaunʊt
мор	bor
морав	moro
морава	mˌɔravˈa
морал	moɾaɾ
морален	moralen
моралист	moralist
моралистичен	moraliskitʃin
морална	moˈraːlna
морално	moralno
моралност	muɾaːlmʊfˈt
морбили	murbiːle
морга	mɔrga
море	mure
морен	mˈɔɹən
мореплаване	murɛpɫavɑne
мореплавател	murɛpɔɛfatɛ
мореплавателен	moreplavatelɛn
морето (членувано)	mʊɾetʊ
морков	mɔrkʊv
моркови	morkovi
моркови в тенджерата	mˈorku viv tɛŋgɛrˈotˈa
моркови в тиган	mɔrguvi f tɪ ɠan
морковите са тъжни	morkovitˈe sɤtɤʒni
моровица	urɔvitsa
морска банка	mɔrska bank
морската вода	morʃskata vuda
морски	mɔrski
морските	morskitɛ
морфей	morfei
морфология	mʊrfuɔgʲi
моря се	moria se
моряк	moriak
москва	mˈʊskvˈa
мост	mɔst
мостик	mɔstik
мостове	mɔstuvɛ
мостра	mˈostr
мостче	mɔstʃɛ
мотам се	mɔtɑm sɛ
мотая	mutaja
мотая се	muta jesɛ
мотив	moˈtif
мотивирам	motiviːram
мотивиране	mʊtivɪrɑnɪm
мотивировка	motivjerofka
мотика	mutikˈa
мотка	mˈotka
моткам	mˈotkam
моткаме	mokamɛ
моткат	mɔtkat
моткате	mˈotkatˈe
моткаш	mɔtkas
мото	moto
мотовила	matuːvila
мотовилка	mutovʲelka
мотор	mot̪oɾ
мотоциклет	mototsiklet
мохамеданин	muhimdɛdanʲim
мочур	mutsuɾ
мочурище	mɔtʃuriste
мочурлив	motʃurbatʃa
моше дворецки	muʃɛ dvɔrɛtski
мошеник	mʊʃɛnɛk
мошенически	muʂɛɲitʂɨstki
мошеничество	muʂɛɲitʂɛstwɔ
мощ	must
мощен	must̪ẽn
мощи	mɔʃti
мощност	mɒʃnɒst
моя	mɔjɛ
моя любов	moɛiˈluːboːv
моят	mɔjɛt
моят душ	moʝɛk duʒ
моят душ пуска сняг	mɔjɛt duʃ pustas ɫjak
моята	maʲata
моята сестра	mojta sɛstra
мравка	umbrata
мравуняк	bravuɲːik
