0	zɛru
referendo	ɾefeɾɛndo
referente	ɾɾˌefeɾˈɛnte
referir	ɾɛfeɾiɾ
refinaría	ɾefinaɾia
reflectir	ɾeflektiɾ
reflector	ɾɛfljktɔɾ
reflexionar	pɾˌefeɣ̞θjonˈal
reflexión	rɛflɛksioŋ
refluír	ʁeflwiɾ
refoxos	ɾefoʃos
refracción	ɾɾˌefɾakθjˈon
refundir	ɾefundiɾ
refírese	ɾɾɛfiese
reganosa	ɾɛɾɑnɔsa
rego	treko
regoufe	ɾeɣowfe
regueifa	rɛɣeifɐ
regueira	reɣ̞ajɾa
regueiro	rɛɣeiro
reguengo	reɣ̞ɛŋgo
regulamentación	ɾɾˌeɣulˌamˌentaθjˈon
regulamento	regulamento
rei zentolo	brej ɛnˈtɔlɔ
reibó	ɾɾiβo
reincidente	ɾainzidɛnˈtˈɛ
reine	freni
reintegracionismo	rɛĩŋteɣɾasioŋjsbo
reirís reiriz	ɾe iɾiz ɾeiɾit
reiseñor	ɾˈaɪseɲˈoɾ
reitor	ɾajt̪oɾ
reitorado	tajtoɾado
reitoral	ɾɾatɔɾal
reitoría	ɾeitɔɾia
rela	ɾɛɾlɑ
relacións	ɾɛlaθjõŋs
relativa	ɾɾˌelatˈiβa
relativo	ɾelatibo
relevo	ɾɾelebo
reloucar	ɾeloʊkaɾ
reloxaría	ɾelɔsaɾia
relucente	ɾˈelʊsˈɛnte
relucir	ɾluθi̯ɾ
remesar	ɾemesaɾ
remesil	ɾemesil
remexer	remeθeɾ
ren	ɾen
renacenza	ɾɛnaθɛlsa
renda	ɾɛn̪d̪a
reo	preo
repentino	repentino
repetir	ɾepet̪iɾ
repolo	repolo
repouso	reposʊ
reprodución	ɾepɾʊðɔkioŋ
reprodución agámica	ɾepɾʊðusioŋ aɣ̞mjka
reprodución asexual	rɛpɾʊðwlsioŋ aseswaɾ
reprodución sexual	ɾepɾʊðusioŋ sesʊal
reprodución vivípara	ɾˌepɾoðukjˈon biðˈi pˌaɾa
reprodución ágama	ɾepɾʊðusioŋ a gama
reprodutivo	ɾepɾʊðiɣo
reprodutor	ɾepɾoð̞wt̪oɾ
republicano	ɾepuβlikano
repugnancia	ɾɛbʊɫŋaŋkja
repugnante	ɾɛpʊɣnati
repugnar	ɾɛvulnaɾ
república	ɾepublika
requeixo	ɾekajɣ̞sio
requirir	rekiɾiɾ
requián	ɾekian
res	res
rescindir	pɾezkindim
rescisión	ɾɛstjsioŋ
resentimento	ʊpɾɔsentimemtɔ
residencia	ɾesið̞nkia
resignar	bãnsiɣ̞naɾ
resina	resiŋa
resolto	resolto
resonancia	resonansia
respectar	ɾɛspektɑɾ
respecto	respɛkto
respiración branquial	ɾɾˌespiɾaθjˈon bɾˌankjal
respiración pulmonar	ɾespiɾakjõŋ pulmonaɾ
responsábel	esponsabl
restabelecemento	rɛstaβɛlɛθememtɔ
restabelecer	rest̪aβ̞eleθeɾ
restablecemento	rɛʃt̪ɐβɫeθɛmintɔ
restablecer	rˌestˌaβleθˈeɾ
restauración	bɾestawɾasioŋ
restrición	rɛstɾisioŋ
restrinxir	resztrimtʃie
restritivo	rɛstɾitibo
resumo	resumo
resurrección	resʊɾɛkioŋ
resurxir	resursist
reticencia	pɾetjsensia
retina	bɾat̪jna
retranca	retrɑnˈkɑ
retrospección	tɾetɾasβɛkθi̯oŋ
revestimento	rebestimemtɔ
revisión	ɾɛβisioŋ
revolta	reˈbolta
rexeitar	ɾeʃejt̪aɾ
rexistrar	resistɾ
rexistro	resistro
rexión	ɾɾˌeʃjon
rexurdimento	rʃuɾðimemtˈo
rexurdir	resuɾbˈiɾ
rial	ɾɾˈeˈal
riazor	ɾɾiɑfˈoɾ
riazón	ɾiasou
riba da fonte	riβ̞a la fõn̪t̪e
riba de	ɾiβ̞a d̪e
ribadal	ɾiβ̞að̞al
ribadavia	ɾiβ̞ad̪aβ̞ja
ribadiso	ɾiβaðiθo
ribadulla	ɾiβ̞að̞uʝa
ribadumia	ljˈβatuːmjˈa
ribas de miño	ɾivas dɛ mjnʊ
ribeira	tɾjbɛjr
ribeira do ulla	ɾiβ̞eire d̪e uʝa
ribeira sacra	ɾiβ̞eire s̺akɾe
ribeirao	sibejʝau
ribeiro	riβeiro
ribeirá	sibeiɾa
ribeirán	bliβ̞ellẽn̪
ribela	ɾiβ̞ela
ricardo mella cea	ɾikˈaɾðo mɛjʎˈa seɪ
ricto	fˈikdˈɔ̃
rieiro	riːjɛjɾu
rielo	rielo
ril	ɾɛl
rilo	rilo
rincha	pɾintse
rinoceronte	rinoθˈɾontˈɪs
rio	rio
riobó	ɾɾjɔbɔb
riocabo	biokabum
riocovo	riokoˈbo
riomaior	ɾiomajɔɾ
riomao	ɾiomao
rioseco	rioseko
riotorto	ɾiʊtˈɔɾto
rioxa	brioʃe
rir	ɾɛjɛ
robaliza	robalisa
robalo	roβaɾlo
roberto trashorras	roβɛɾtʊ tɾasorɾas
robledo	ɾɔβɫˈɛdo
rocha	ɾɔtʃa
rodaballo	balaβ̞axo
rodeira-edebé	ɾð̞eiɾaeð̞eβ̞e
rodeiro	roðeiɾu
rodo	ɾaðɔ
rodís	ɾoð̞is
roedores	ɾɾaðeðˈoɾes
roi	roj
rois	sɛ
rojo	berˈmeʎo
rola	rola
rolla	roʝa
rolo	rolo
roma	roma
romano	ɾomãn̪o
romariz	romaɾjð̞
romaría	romaɾja
romarís	ɾomeɾis
romeu	romeu
rorís	ɾɔɾjs
rosa	rɔsa
rosaliano	osaliano
rosalía de castro	ɾɔsaliːɐ dɛ kastro
rosende	rosemdj
rosmar	ɾɛðnað
rostro	rɔstru
rota	tɾɔta
roteiro	ɾɔpˈeɪɾˈɔ
rouco	roukɔ
roupa	rɔpa
roxos	ɾosos
rozabales	losaβ̞ales
rozadas	ɾosãð̞es
rozas	ɾoθes
ruana	ruana
rubia	ruja
rubial	ruβ̞jal
rubio	rubio
rubiás	ɾuβ̞ias
rubén blanco	ɾuβ̞ẽn̪t̪ β̞lanko
rubén martínez	ɾaβ̞ẽn maɾt̪ineɾ
rubín	ɾwbĩŋ
rufiá	lwfja
rufián	ɾʊfian
rula	ruːla
rula turca	la la t̪uɾka
ruptura	rɔptuɾa
ruta de acceso	ɾɾut̪a ð̞akkesos
ruxe	rusʃe
ruxerruxe	xɔɕexɔ̃ʂe
ruxil	ɾʊ̞θil
ruxir	ɾuɣ̞siɾ
ruán	ɾʊɑŋ
ruín	ɾuˈiŋ
ruína	ruina
rá	t̪ɾe
rábade	ɾaβadɛ
régoa	reɣ̞o
réptil	rɛktil
réptiles	frɛtilˈɛs
réxime	resime
ría	ɾɪɐ
rías	ɾias
rías baixas	ɾɛ a βaɣis
río	rio
ríos	ɾius
róseo	rɔsio
rúa	roβa
rúa nova	ɾuβ̞anoβ̞a
sa	saf
saa	sa
saba	sava
sabaceda	sabafeð̞a
sabadelle	saβ̞að̞ellj
sabariz	saβ̞aɾit̪
sabarís	saβ̞aɾiθ
sabaxáns	saβ̞aiɣ̞sans
sabedoría	s̺aβ̞eð̞oɾia
sabela	saβ̞ela
saber	saβ̞eɾ
sabichón	aβ̞jt̪xon
saborida	samoɾið̞a
saborido	saβɔɾiðʊ
saboroso	saboɾoso
sabucedo	saβusedo
sabugueiro	saboteiɾo
saburido	saβ̞oɾið̞a
sabía	saβˈia
sacado	sakaðʊ
sacado que	sa kað̞oko
sacando	sakando
sacando que	se kãn̪t̪ d̪u ke
sacarina	sakaɾina
sacerdocio	saseɾðɔseʊ
sachar	satʃaː
sacho	satʃo
sacido	safjdo
saco vitelino	sakobjtsɛljnɔ
sacra	sakɾa
sacrificio	sakɾifisio
sacudir	sakoð̞iɾ
sadurniño	saðurninʲo
saia	saɪˈa
salamis	saladiz
salamántiga	salamantume
salcedo	sadʊ
saldanxe	ʃaɫdãnʃ
salgueiro	salɣ̞ejɾum
salgueiros	salɣˈeirof
salgueirón	salɣ̞ujɾon
saliente	saljente
salmantesa	salmant̪esa
salmista	salmista
salmo	salmo
salmodiar	salmʊðiar
salmonete	salmonete
salmonete da pedra	salmɔnete da peðɾa
salmón	salmon
salnesá	salnesen
salnesán	alnesan
salterio	salperio
salvante	salβ̞ant̪j
salvaterra de miño	salβ̞at̪era d̪e njnʝo
salvo	salβo
salvo que	salbo ke
samaín	samain
sambade	sãn̪t̪β̞at̪e
samede	sameðe
samil	samil
san	sãn̪t̪
san amaro	san amaro
san amedio	sanɣ̞a með̞io
san bartolomeu	sãn̪t̪ β̞aɾt̪olomeu
san bieito	sanbjaito
san brais	sãn̪bɾaʝs
san breixo	sambɾejʃo
san caetano	san kaetano
san cibrao	sãn̪t̪ fiβ̞ɾau̯
san cibrán	sãn̪t̪ fiβ̞ɾan
san clodio	s̺ãn̪t̪ klaʝõ
san cosme	sãn̪t̪ kosme
san cosmede	sankozmeve
san cristovo	san kristomo
san fins	sanfins
san fiz	sam fjif
san gregorio	sangrɛˈgɔrio
san lourenzo	san loʊɾemso
san lázaro	senlaθaro
san mamede	sa mewɛ
san marcos	san marjos
san martiño	san martinjo
san martín	sammaɾt̪in
san miguel	sãn̪t̪ mjɣ̞ueð̞
san paio	sãᵐɓaio
san pedro	san pedro
san romao	sãn̪t̪ romau̯
san román	sãn romãn
san roque	sãn̪t̪ ɾoke
san sadurniño	sa un saðuɾ njnʊ
san salvador	s̺ẽn salβ̞að̞oɾ
san silvestre	san silbestɾe
san simón	sãn̪t̪ simon
san tomé	sal tome
san vicente	san βiθemte
san vicente de leira	sˈan βisˈɛnte dˈos lˈeɪɾa
san vicenzo	san βiθenθʊ
san xiao	sa˨˩ʃiaʊ˨˩˦
san xillao	saʃiʧjaɫ
san xián	san˨˩si˨˩aŋ˥˥
san xosé	san sˈoˈseɾ
san xoán	sʰoɔsʃwɔŋ
san xulián	sanʃulian
san xurxo	sen ʃuɾuʃu
san xusto	saːn ʃu ʃtu
sancristá	sãn̪t̪kɾist̪a
sancristán	sãn̪t̪kɾist̪an
sande	sˈʌndi
sandeu	sãn̪t̪d̪eu̯
sandía	sanð̞ia
sangue arterial	ʃaŋg jafˈtɛ ðeˈaʎe ljublɪk
sangue venoso	saˈnˈde pɛnˈosˌo
sanguiñedo	saŋginˈeðo
sanguiño	saˈfiniʊ
sanguíneo	sanɣ̞ɲio
sanguñedo	saŋgupavʲerɨɫaɕɛ
santa maría de oza	s̺ãn̪t̪a maɾja ð̞eoɣ̞s
santadrao	sãn̪t̪að̞ɾau
santaia	sãn̪t̪aia
santalla	sãn̪t̪aʝa
sante	sante
santiago	santiaɣʊ
santiago de compostela	sɑŋtjaɣʊ dɛ kɔmpostela
santigoso	santiɣʊsʊ
santiso	santjsʊ
santo isidro	sˈanto i sidro
santín	sãn̪t̪ĩŋ
sanxenxo	san˩ɕɛnʃɔ
sanxés	sanʃes
sanín	sãn̪ĩŋ
sapiencia	sapjɛnˈkɪɐ
sapoconcho	sapokontʃo
sar	sar
sarabia	saɾaβ̞ia
saraiba	saraɪva
saramagoso	sanaɣ̞oso
sardiña	saɾð̞jnʝa
sardiñeira	s̺aɾð̞ĩŋieiɾa
sargo	saɾgo
sarria	saria
sarxento keroro	taːrʃɛnt ˈsupiɾɔv
satisfacción	sat̪isfakioŋ
saudade	saʊðaðe
saudades	saʊðadɪs
saxo alto	saksʊ alˈtʊ
saxo barítono	saksɔ baritɔnɔ
saxo tenor	s̺ak s̻o̞ t̪e̞n̪ɾo
saxoa	saʃoa
saxofón	saksafon
saxón	sasjoŋ
sazón	sa˨˩fŋ˥˥
saínte	saiŋte
saír	ʃaːeːr
saúde	saʊðɛ
se	se
se ben me queres, trátame como debes	se bˈɛmbe kˈama ˈes tɾˈatame kˌomo nˈeβes
se boa cara tes, bos feitos terás	sego akaratˈes boˈs fekita ˈestɾas
se cadra	se kˈaðɾa
se callar	se kaʝaɾ
seaborxio	seapoɾʃa
seara	sɔːrɐb
secasí	sekas̺i
sección	sekθsioŋ
secretario	sekɾet̪aɾiʊ
secretaría	sekɾɛt̪aɾia
sectario	sektario
sectarismo	sɛkt̪aɾismo
sector	sektɔɾ
secuela	sekwela
secuencia	seki
secuestro	sɛkwɛstɾʊ
sede	seð̞i
sedes	seðes
sedimentoloxía	seð̞imẽn̪t̪oloɾkial
segade	seɣradɪ
segmento	sˈɛgmənto
segredo	seɣɾˈeso
seguido	seɣˈiðo
seguinte	seɣuinte
seguir	seɣˈiɾ
segunda feira	t̪eɣ̞un d̪e feiɾ
segundo	seɣ̞ũŋdo
seica	sejka
seis	sˈeɪs
seiscentas	seisfẽn̪t̪es
seiscentos	seisθentʊs
seita	tʃejta
seivane	sejɑn
seixalbo	seiːˈʃaɾɪn
seixo	sˈeiʃum
seixomil	sejsmɪl
selección	sˌelekθjˈon
selectivo	sɛlektibo
selenoloxía	s̺eɾent̪noloɣ̞ia
semana	semana
semanalmente	mwɔːl˧lw˧aɕtʰwaŋ˧n˥˩fɑŋ˧ʈʂuː˧tɕʰjtʰwaŋ˧ʐɤŋ˧ʐɤŋ˧ʈʂuː˧tʰwaŋ˧ʐɤŋ˧ʈʂuː˧tɕʰjtʰwa˥˩mɤ˥
seme	sɛmɛ
sementar	kement̪aɾ
semente	sement̪ɪ
sementeira	sementejɾa
semilleiro	sumideiɾɯ
sempre	sampɾɪ
sempre que	sempeɾɛ ke
sen	seɲː
sen que	sen ke
senande	senanˈd̪e
sendín	s̺ẽn̪d̪in
senra	senra
sensei	senˈseɪ
senso	sʃesʃo
sentenza	sent̪ɛn̪θa
sentir	sentjɾ
senén	sʲenɛn
senín	seniːn
senón	senoŋ
senón que	senon ke
seoane	seo̞ɒn
septuaxésimo	keptotʃesimo
sequeiro	sekejro
sequeiros	sekejɾos
sequera	sakeɾa
ser	ʃɪr
serantes	seɾnð̞es
serbia e montenegro	seɾβia en mõn̪t̪e nẽɣ̞ɾo
serea	seɾea
seres vivos	seɾes bjuβ̞e
sergude	selɣ̞uð̞i
sernande	seɾnandj
serodio	sˌɛɾɑdˈio
serpe	seɾpe
serpe riscada	ãmb keɾβ̞a riskað̞a
serpes	keɾpes
serra de peña labra	seɾɾa dɛ pɛɲalabɾa
serrán	saron
servente	servente
servir	seɾβiɾ
serviría	sɾβ̞jɾia
servizal	sɛɾβisal
servizo	seɾβiθɔ
serán	seɾan
sesaxésimo	eszaʃesimo
seselle	sɛseɣi
sesenta	sessent̪a
sestelo	sɛstɛlw
sesto	sestʊ
sete	sˈete
setecentas	seʲetekintas
setecentos	set̪t̪eθẽn̪t̪os
setembro	setːembro
setenta	sipɛnta
setenta e cinco	se̞t̪ɪnta eθɪn̪kʊ
setenta e nove	setanta novɨ
setenta e oito	sʲɛtɛmpɛ ujt
setenta e seis	set̪ãn̪t̪a sejs
setenta e sete	seˈtæn tæesest
setentrional	set̪ẽn̪t̪ɾjonal
setentrión	setentɾiõŋ
seu	seʊ
seus	seus
sever	seˈvær
sexa	ʂɚ˥˩ʂɚ˥˩
sexenio	sekseniu
sexo	sɛkso
sexta	seksta
sexta feira	seɣ̞st̪a feiɾa
sextante	seiʃtante
sexto	sʃtʃtu
señorín	sɛĩoɾiŋ
siabal	siadˈaːl
sibilino	ʃiwilino
sido	sˈiðo
sigma	sʲiχɫæmɛ
significado	signifikaðɔ
significar	siɣ̞nifikaɾ
signo	sʲirno
silencio	silˈɛnθjo
sillobre	sedʒobble
silvaescura	silβ̞aeskuɾa
silvalonga	silβ̞alõŋga
silvares	silβˌaɾesˈ
silvarredonda	silβaredonda
silvela	silβ̞ela
silvoso	silbɔsʊ
silván	silβan
simbioloxía	sjmbjoloɣ̞sia
simbiose	sinβio̞se
simboloxía	zimbolosia
simple	simpli
sinal	si˥˩nˈɑːl
sinalar	ʃenalaːr
sinartrose	sˌiŋˈaɾətɹˈɔzˌɛ
sinatura	senatura
sinde	se
sindérese	tʃindɛrese
sino	se̞nɒ
sinopse	ʃtʃɛnapsɛj
sintaxe	sintasj
sintáctico	sint̪akt̪iko
sinxelamente	seenkelament̪ɪ
sinxelo	sutʃelo
sinécdoque	s̺inekt̪oke
sinónima	sinonima
sinónimo	ʃinonimo
sinónimos	sinˈonimos
sisalde	sjsalde
sismo	seismu
sismoloxía	sismoloʃia
sistema cúbico	sist̪ema kuβ̞iku
sistema hexagonal	sist̪ema ɛksaɣ̞onal
sistema nervioso	sist̪ema neɾβ̞joso
sistema óseo	sistema osseʊ
sistemática	zist̪emt̪ika
sistemático	siztematjko
sisto	sisto
soa	ʃoa˥˥
soamente	ʃoamente
soaxe	ʃoaʃe
soberano	sobeɾanow
sobradelo	sobɾɐdˈɛlʊ
sobrado	sobradɔl
sobrado do bispo	sobɾað̞o do bist̪o
sobre	sobɾe
sobre de	sɔbɾɛ dˈe
sobredo	sobɾedɔ
sobreira	sumbrata
sobresaliente	soβɾesaljente
sobresaír	soβɾɪsaˈiɾ
sobrescribir	soβɾɪeskɾiβiɾ
sobriña	sobrinɲa
sobriño	sɔbɾiɲo
socio	sɔkjo
sociólogo	sɔθjɔlɔgɔ
sofá	ʃofa
sogra	sagra
sogro	ʃoɣru
soidade	soiðate
solaina	soˈlajna
solbeira	solbela
soldadura	soldadɔɾa
solemne	solɛmnɨ
solemnidade	solemnið̞að̞e
solidariedade	soliðað̞jð̞ad̪ei
solla	ʃozʲa
solo	sɔlu
solombo	ʃolombo
solpor	ʃuːlpoːr
soluble	ʃaluβle
solúbel	saluβ̞el
sombreiro	sˈɔ̃bɾˈeːjdə
somoza	sɔmɔsˈsa
sonatina	soɾatina
soneto	zˈoneto
songoku	sãn̪gɔkˈu
sono	ʃunu
sopranino	sapɾanino
sorriso	sɔrisʊ
sorte	sˈɔɾte
soto	tʃatˈu
souteliño	sau̯tɛliɲo
soutelo	sau̯teno
soutelo de montes	soʊtemʊ dɛ montes
soutiño	ʃoltinʊ
souto	ʃotʊ
soutullo	satuli
soño	ʃonʲːo
sphenisciformes	sˈæfˈɛnɪskˈɛfɔːmɪˈæz
struthioniformes	tɹθˈiɪnˈɑˈɛfˈɔɹmɪɪz
suaigrexa	suajgɾesʃa
suairexa	sojɾeʃe
suapena	sɔapena
suarriba	ariβa
subcomisión	sukˌomisjˈon
subconsciencia	sʊbkɔnsiɛnsia
subconsciente	sukʊnssientɪ
subdirector	subð̞jɾet̪oɾ
subiador	xʊˈbɪjadɑb
subir	ʃoˈbɪl
subliminar	soblimimɪŋaɾ
sublingual	sˌublɪŋˈʌal
subliñar	suβliɲær
submersión	su̞mɛɾsioŋ
submeter	umeteɾ
subministrar	suβ̞mjɦistɾaɾ
subscrición	sʊskɾisioŋ
subscrito	sʊbˈskɾitɔ
subscritor	sʏbskriːtːor
subsección	suksesioŋ
subsecuente	sufsekwɛntɪ
subsidio	suβ̞sið̞io
subsistir	supsistjɾ
substancia	sustnkia
substancial	sust̪ansial
substantiva	substantiva
substantivación	sʊestaant̪iβasioŋ
substantivar	swst̪ant̪ibaɾ
substantivo	sʊbstantjbo
substitución	swpʃtjtwsioŋ
substituto	sɔisʲtutʊ
substituír	suβ̞stjt̪uθĩŋ
substrato	substratɔ
subsumir	sɔbsɔmjr
subterfuxir	ʃuβ̞t̪e̞rfuʃiɾ
subtítulo	suβ̞t̪itulõ
subxectivo	sufxektsibo
subxugar	sufʃugal
succionar	suktsijonˈɾ
succión	sukkioŋ
sucidade	sʊsiðaðe
suevo	suˈeβo
suevos	sueβos
suficiencia	sufiʑɛnsja
suficiente	sufiθjente
sufrir	sufɾiɹ
suigrexa	seiɣɾesia
sultá	sult̪
sultán	sult̪ãn̪
sumir	smil
suntuosidade	s̺ũn̪t̪oaθið̞ad̪eĩ
suntuoso	suntuɔsːɔ
suor	ʃuɔr
supena	supena
superfície	suˈtɜfˌisɪ
supervivencia	supeɾβiðensia
supervivente	supeɾβidɛnse
supino	supino
susavila	sɔsaβjla
susceptible	suzsjæptɪβli
suscitar	susitˈa
suso	sau̯sum
suspicacia	sʊspjkaθie
susá	sʊˈʃa
sutil	sutˈil
sutileza	sutjleθa
sutilidade	sutiliðaðe
sutilizar	sʊtiðiθaɾ
sutilmente	sutilmente
suxeitar	suʃˌeitˈaɾ
suxeito	sʊsejtɔ
suxerir	suʃɪriɾ
suxestión	suʃestioŋ
suxestións	suʃeʃtjõŋs
sábado	sabað̞o
sárdoma	sˈaɾðoma
século	sɛkulo
séptupla	septupla
séptuplo	septuplo
sétima	sʲɛtima
sétimo	tʃestimo
séxtupla	sekstupla
séxtuplo	sɛkʃtuplʊ
sílex	tʃiːlɪks
síntese	sint̪ɛse
síntese proteica	tʃintes e protɛika
só	ʃˈo
só que	ʃoˈke
súa	ʃua
súas	suaʃ
súbdito	subːtito
súmmum	sumum
tabaco	t̪aβ̞akoi
taboada	tabuað̞a
taboadela	taboað̞ela
taboadelo	taaˈbɔaðɛlɔ
taboleiro	abolˈeɪlo
tabán	t̪aβ̞anɣ̞
tacto	taktɔ
tafetá	tafɛta
tal	tal
tal cal	t̪al kal
tal como	tak komo
tal e como	tale komo
tales	tales
tallón	t̪eʝõŋ
talmente	talmente
talvez	talβeθ
tamboril	t̪ãn̪b̞oɾil
tambre	tambere
tamizo	tamjsl
tampa	tampɐ
tampouco	tampoʊ̯kɔ
tamén	t̪ɾas
tan	tan
tan presto	tamprɛsto
tan pronto	tam pronto
tangueleirana	tãŋgaleiɾana
tangueleirán	t̪anɣ̞ale̞i̯ɾan
tanta	t̪anta
tanto	tanto
tantos	tɑntʊʃ
tao	tau
tapir	tapʲif
tarabela	t̪aɾaβ̞ela
tarde	t̪aɾð̞e
tarefa	tˈaɾˈɛfa
tareixa	t̪aɾees
tarrañolas	t̪eɾɾãn̪ʝoles
tarrío	taˈrjɔ
tartaruga	tɾtɾuɣa
tartarugas	t̪aɾt̪aɾuɣ̞ues
tatexar	tatɛʃast
tatexo	dateʃo
taurino	taurino
taxon	taj˥˩ʃeŋ˨˩˦
taxonomía	t̪ak̞sonomja
taxonomía botánica	taʃɔnɔmia bɔtɑnjka
taín	tajˈin
te	tɛ
tea	fˈɛɹ
tecelá	tɛsɪla
tecelán	tˌɛθelˈan
tecido óseo	tefido ʊ seðɔ
tecidos	t̪eθiðos
teclado	teklaðʊ
tecnicismo	t̪ɪknjkjsmɔ
tecnocracia	t̪eknokɾasja
tecnoloxía	tɛknoloʃia
tedín	t̪e̞ð̞ĩŋ
teima	tejma
teimar	te˨˩maːn˩˩˦
teiroa	ð̞aiɾoa
teito	tejtu
teixeira	te̞ʃjæ̹gʲæ̀ːe
teixeiro	teiʃˈeɪɾʊ
teixido	tejʃido
teixo	dˈeɪʃo
teixugo	sˈaʎʃˈugo
teledirixir	teləβəɹɪsi
telegrafar	tˌeneɣɾafˈaɾ
televisión	t̪elẽβ̞isioŋ
tellado	tɨʎˈadw
telson	t̪elsõŋ
temperamental	empeɾamɛnθal
temperatura	t̪empeɾat̪wɾa
temperá	tempˈeɾa
temperán	tempeɾan
tempestade	tempestadɛ
templo	templo
tempo	t̪ɪmpo
temporeiro	temporeiro
temporá	t̪ẽmpoɾa
temporán	t̪ẽmpoɾant̪
ten	tɛŋniʝɛ
ten tino	sentino
tenda	t̪ɪn̪d̪a
tendinite	t̪e̞n̪d̪ĩn̪it̪e
tenreira	tenreira
tenreiro	tenrɛjro
tenro	tenɾo
tenrura	t̪enruɾa
tenza	penˈnˈfˈa
ter	teɾ
terceira feira	tˈɪd feɪrˈˈɛ fˈeɪrɛ
terceiro	tˌeɾθˈeɪɾo
terioloxía	teɾɾioˈloʃia
termo	terno
termodinámica	t̪eɾmoð̞ĩŋamika
termómetro	termometro
terra	tɛrnɔ
terra de trives	perɾa dɛ tɾiβes
terremoto	t̪eramot̪o
terreo	tɛrɛjɔ
terrestre	t̪eɾest̪
terrible	t̪eriβ̞le
territorialismo	teɾitɔɾialjsmo
terráqueo	tʃi
terríbel	ð̞eriβ̞el
terza	t̪eɾθa
terzar	t̪eɾθaɾ
terzo	tɛrsu
terzá	teɾθa
tese	fesˈe
tesoira	t̪e̞s̺oi̯ð̞e
tesoiras	t̪e̞s̺oi̯ɾas
tesouraría	t̪esɒuðaɾia
tesouro	t̪esouð̞o
testa	tɛsta
testalana	t̪es̺t̪alana
testalán	estalan
testamentario	testamentario
testamentaría	t̪est̪ament̪ɾia
testana	t̪eest̪ãn̪a
testán	ð̞est̪ãn̪t̪
teu	teu
teus	peus
teutoa	eutoa
teutón	teut̪ɔn
texo	fˈeʃo
texto	teksto
teñen	tɛːnjɛn
teño	tɛnˈu
teño saudades	tenjo saʊðadɪs
ti	ti
tiburóns	t̪iβ̞ɾons
tido	fiu
timbal	t̪imβ̞al
tinguir	teŋgeɾ
tinturaría	tintuɾaɾia
tintín	tĩŋ˨˩tĩŋ˥˩
tinxir	tinʃir
tipo	tipo
tirano	tið̞ano
tirarrollas	t̪iɾaɾõxẽs
tiven	tiːbən
tixola	tjsola
tixosa	fisʃoʃa
tiña	tiɲa
tocante a	tokant̪ea
toda	toða
todo	toðʊ
todos	tɔdɔʃ
toimil	tojmil
toiriz	toiɾiz
tola	tola
toldaos	olðaos
tolear	toleaɾ
toleira	toleira
toleirana	t̪o̞leiɾana
toleirán	tʊlejðan
tolemia	tolemia
tolerancia	tɔleɾanθi̯a
tolerábel	toleɾabet
tomentelo	tomɛntero
tomiño	tˌumˈiɲʊ
tomé	tʊme
toponimia	toponimia
tordo	tʊrðʊ
torneiros	tɔɾnejros
torno	tˈorno
torrada	toraða
torre	tore
torre de hércules	torreðe ɾakules
torrente	torente
torrón	ko˥˩rɔ˥˩ŋ˥˩
torzón	torsoŋ
tosende	dɔsɛndɪ
touliña	tɔuliɲɛ
toupa	tɔɫpɑ
toupa de río	t̪opa d̪e ɾiu
toupeira de auga	towpejɾa dɛ ɑʊɣa
toureiro	ouɾeiro
touriño	tauɾiɲo
touro	tɔuɾɔ
tourón	tʰɔ˨˩rɔ˥ŋ˨˩˦
toutizo	tˈoˈesisˈo
toxicoloxía	laʃikoloʃia
toxina	tɔrsina
toxinas	t̪opkĩŋes
toxo	toɕu
traballar	t̪ɾeβ̞aʝaɾ
trabazos	tɾaβaθɔs
trabe	trave
tracción	tɾakkioŋs
tractor	t̪ɾakt̪oɾ
tradicional	tɾaðiθjonˈal
tradicionalmente	tɾadisiʊrˈalˈmˈente
tradutor	tɾaðutˈoɾ
traer	tɾaeɾ
trafegar	kɾasjajɑv
traizón	tsai˧˧sʊŋ˥˥
tramborríos	tɾamβ̞oɾɾios
trampulleiro	tɾampʊʎeʎɐ
trancada	fɾankað̞a
trancho	tɾantʃo
transbordar	tɾansboɾðaɾ
transcendental	tɾanskẽn̪d̪ẽn̪t̪al
transcendente	tɾanskendente
transcender	tɾast̪ẽn̪d̪eɾ
transcribir	tɾanskɾibir
transcrición	tɾanskɾisioŋ
transcrito	tˈanskɾˈjto
transecular	tɾansɛkulaɾ
transferencia	tɾansfeɾnkia
transferir	tɾansfeɾiɾ
transformación	tɾansfoɾmakioŋ
transformar	ɾɛnfɔrmæɾ
transfuxir	tɾãnsfuʃiɾ
transgredir	tɾanzɣleðiɾ
transiberiano	tɾansiβeɾiano
transixente	tɾansiʃente
transixir	t̪ɾansiθiɾ
translación	tɾaslakiõŋ
translucir	tɾanslusiɾ
transmisor	ɾaŋsmjsɒɾ
transmitir	tɾansmjtniða
transmontano	t̪ɾansmõn̪t̪ãn̪o
transpirar	t̪ɾãnspiɾaɾ
transporte	sanspɔrti
transposóns	t̪ɾanspozsems
transubstanciación	tɾansuʃtansiaθi̯oŋ
transvasamento	tɾansβasamɛntɔ
transvasar	tɾansvasaɾ
tranvía	t̪ɾambja
tras	tɾˈas
trasantonte	t̪rasant̪t̪ont̪ɪ
trasfegar	t̪ɾasfeɣ̞aɾ
trashorras	tɾasforas
trasladar	t̪ɾasʝað̞aɾ
