't	tʰtʰtʰtʰ
kutschwagen	kˈʊtˈʃlˈoːɾkiːn
kuum	kʊ̃
kuunhahn	kuːnhɑːm
kuur	kua
kuus	kʊz
kälvermelk	kɛlˈfˈərmeːllk
kämp	kemp
kääs	kejs
kääskoken	kˈɪskˈyːpən
köh	kʰeː
köhl	tɔ
köhlpump	kˌøːlpˈomp
köhlschapp	kœ̃lˈʃˈap
kökenschapp	kœ̃kʏ̞nˈʃap
kölig	kˈyːlɪç
köll	kˈœl
kölle	kœ̃lˈɛ
könen	koːnˈ
königriek	koːnˈiːkreːk
königsbarg	puːn˧iːspəːxˈ
köpen	tˈɪkən
köppel	kapɛ
körf	kɜːf
körter	kɔda
kösdörp	kʌstˈɑp
köst	kˈɛst
köst geven	kʃtˈgˈævən
kösten	kɑːstɯm
köster	kˈʌstɑ
kösters kamp	kʊstɛɾʃ kˈamp
köök	kæˈk
kööksch	kakʃ
köölk	kølk
köölkbloom	kɔjˈʊlgblˈoːm
kööm	kəˈm
köömboddel	køjmporoɾ
köömbuddel	koimboɾɯ
kükenblomen	kˈʏpənblˌaʊn
kükenbloom	kˈyːkənblˌɑːʊm
küll	køː
külp	køːp
künnen	kʏ̞n̥ˌ
künnig	kˈyːndɪç
künnig maken	kˈœnnɪç mˈoːvən
künnig warrn	kˈʏnɪç vˈɑːɾm
künst	kʏnst
künstenmaker	kʏnstənlˌɔkɜ
küper	kypˈa
küsel	kɔuzɛl
küselig	jˈʏseːlˌɪç
küseln	byzˈɔn
küselt	jʏzəlˈlt
küst	kˈʏst
küterhuus	tyːtˈɜʊs
kütt	kˈʊt
küven	kyːvən
küülken	kʏlkən
küüt	kʏt
küütbüten	kyttytˈmˈ
laag	lɒːkh
laat	lɒːt
laat den tüünkraam.	loːdˈiːn tʃyːn kloːmˈ
labberig	lˈapɜɪk
lachmööv	lˈˈahmˈøːf
lackmeiern	lakmajan
ladekamer	lɑːdkɑːmɑ
laden	lˈɑːdən
laff	lˈa
lagerhall	lægeːkhæl
lahm	lɒːm
lahm warrn	læmˈvɑːl
lamp	lˈamp
land	lˈant
landdag	plˈantˌa
landesregeren	ʃtˤjˈeɪˈaɪlˈaʊtlˈaɪ
landfredensbruch	lˈandfrˈədɛnsbˈrʊx
landkoort	lˈandkˌoːɾt
landkrais	lˈantkɾˌaɪs
landraat	lˈantɾˌat
landraatsch	lˈandɾˌaʊtʃ
landschop	lˈandshˈoːp
landstraat	lˈanˌdstrat
landstraten	lˈandstraɾtˌbɛn
landweert	lˈantvˌeːɾt
landweertschap	lˈaŋvˈɜtʃˌɑp
landwirtschop	lˈantvˌeːɾtʃɔp
lang	lank
langen	lange
langloop	lãŋlɔp
langop	lˈɑːmˈɔp
langs	læŋgz
langsaam	l
langsläper	lˈɑːnsˈlˈɑpɜ
langtöögsch	lɛntɔøʃ
langwielig	lˈaŋvˈeːlɪç
lank	lank
lank gahn	lˈanˈkˈɔnˈɛ
lankkamen	lankkom
lankkieken	lˈaŋkkˈiːsən
lannebahn	lˈɛnəpˌɔn
lannsgrenz	lanzgɾənz
lannsmann	lˈantzmˈan
lannsstraat	lˈanˈdˈstˈraʊt
lantern	ðænˈtɪən
lantücht	lˈanttˌʏkt
lantüchtenpahl	lˈɑːntˈʏktənpˈɑːl
larm	laam
lass	lˈas
last	lˈast
lastig	lˈasdɪç
laten	lˈɔɹtən
latern	lattˈɛn
latienamerikaansch	lˈætˌinəmˈɛriːkˌɑn
latiensch	latˈiːnʃ
latt	lˈat
lattentuun	lˈatəntˈuːn
latücht	lˈɑtʊkt
laven	lˈɑːvən
lebber	lɛba
lebberplacken	lɛppɑplˈakˌeːn
lebennig	ləbˈɛnək
leckaasch	lˈɛkˈaʃ
leckeree	lækaɣˈəai
leckerfritzig	lˈɛkɜfˈrˈɪtˌtsˈɪg
leckersnuten	lˈɛgɜsnˈuːtən
leckersnuut	lˈɛkɜsnˈuːt
leckerteev	lˈɛkɚtˌeːf
leckertehn	lekatˈeɪn
leckerteven	lˈɛkɜtˈɛvən
leckertiff	ləkatʲi
leckertung	lˈɛkətˌɔn
leckertähn	lˈɛkɚtˌeːɪn
ledd	lˈɛt
ledden	lˈɛtən
ledder	leɾa
ledderbüx	leɾdæɾbˈɔɪks
ledderdook	lɛdadɛlk
ledderdöker	lɛddɔdøːkˈa
leddern	lɛɾɑn
ledderreem	ledarim
leddig	lˈɛdɪç
leddig maken	lˈɛnɪç mˈɔɔbən
leddiglopen	lˈeːɾdɪçlˈoːpən
leden	lˈeɪdən
lederbook	lˈeɪdəpˈoːk
lederkeerl	laɪtəkeːl
ledermaker	lajtəmˈˈauːkɜ
leed	lˈeɪt
leed doon	lˈaɪt tˈum
leedgoot	lˈeːtgˈɛlt
leedweek	lˈeːtʋˈeːk
leef	leːv
leefdaag	lɪvdˈax
leefste	lˈɛvstl
leefsten	lˈɛçvstˈn
leeftallig	lˈaɪftˈaɪlɪç
leeg	lɛç
leegheit	plˈɪçhˌaɪt
leegspreker	lekspreka
leesbook	lˈæstˌoːk
leesböker	ləsbˈɔɾkˈɛɾ
leest	plˈeɪst
leesteken	lˈeɪstˈeːkən
leev	lˈeɪf
leevdaag	lˈaɪfdɑːx
leevde	lˈeːftə
leevesromaan	lajlfɛsulɾɛman
leevlich	lˈeːflˌɪç
leevslüüd	lefɛslʏd
leevste	lˈaɪfstə
lege	leːgə
leggels	ləgˈɛls
leggen	lˈɛgən
lehnen	lˈeɪn
lehrbook	lɛpɔvk
lehren	ljˈan
lehrmeester	lˈɛɹməstˈɚ
lehrt	ljˈeːt
lehrtiet	lˈeːɾthˈiːɾ
leiden	lˈaɪdən
leidig	lˈaɪdɪç
leien	lˈaɪən
leifig	lˈaɪfɪç
leilaken	lajlˈˌɑkən
leipzig	frˈaɪktɪn
leisten	lˈaɪstən
lelk	lɛk
leng	lɛŋ
lengd	lˈɪŋkt
lengen	lˈɛŋən
lenk	lˈɛŋk
lenn	lɛn
lent	lˈɛnt
lepel	lˈeɪbəl
lepelkost	ləpʊɛkˌɔst
lepen	lˈeːpən
leppern	læpæm
lesen	lˈeːzən
leserbreef	lizˈɛprˈˈaɪv
leserbreven	laɪsapɾo
leten	lˈaɪtən
letten	lˈɛtən
lettst	lˈɛtst
leven	lˈeːvən
levensloop	lˈɛvənzlˌoːp
levensruum	lajˈvənsuɾˈum
levenstiet	lɪvɛnʃtˈiːt
levensümstänn	lˈeːvənzɪmstən
levern	lɛjvɛn
leverworst	lˈɑvɚvˈɔst
lex	lˈɛks
libberig	lɛbːɛʁrɛg
lichen	lˈɪçən
licht	lˈɪçt
lichtathletik	lˈɪçtatlˌeːtiːk
lichtbiller	lˈɪçtpɪlɜ
lichtblau	lˈɪçtblauː
lichtbruun	lˈɪçtɾˈuːn
lichten	lˈɪçtən
lichtfardig	lˈɪçtfɜdˌɪç
lichtforig	lˈɪçtfˌɔɾrɪç
lichtglöövsch	lˈɪçtlˌœfʃ
lichtjohr	lˈɪçtlˌuːɾ
lichtschien	lˈɪçtʃiːn
lichtsinnig	lˈɪçtzˈɪntnˈɪçt
lichttuut	lˈɪçttˈuːt
lick	lˈɪk
licken	lˈɪkən
lidd	lˈɪt
liddmaat	lˈɪtmɑːt
liechtensteen	lˈɪçtənstˈɛːnˈ
lieden	lˈiːdən
liedensgeern	lətʊnsklˈiːrˈn
liedsam	litsɔm
lief	liːf
liefegen	ləʊ̃eː
liefgericht	lˈiːfgɜɪç
liefkniepen	liːfknˈɪpən
liefpien	lˈiθpˈin
liefreem	ljˈfɾˌeɪm
liefremen	lˈiːfrˌɛːɪmˌɛn
liek	lˈiːk
liek maken	lˈiːk maʊtˈnˈ
liek över	ləˈk ˈoːvɚ
liekan	lˈiːkan
liekdör	lɛktˈœː
liekdörch	lˈiːktdʊɐç
lieken	lˈiːkn
liekendook	liːkndelk
liekenhuus	lˈiːkɛngˌoːs
liekenlaken	glˈiːkənlˈɑːtən
liekenwagen	lˈɪkənvˈɑːɾgən
liekerlei	lˈiːkɜlˈaɪ
liekermaten	lˈɪkɜmˈaʊɾtən
liekers	lˈigas
liekerveel	lˈigˈafˈaiːl
liekeveel	lˈiːkfˈal
liekgewicht	glˈɪkgəvˌɪçt
lieklaken	lˈiːklˌɑkɛn
liekmödig	lˈiːkmˈøːdəx
lieknis	lˈiːgnɪs
lieknissen	lˈiːknɪsən
lieksterwelt	lˈiːkstsuːvˈɛlt
liekto	lˈiːktˌeːo
liekut	lˈiːkˈuːt
liekveel	lˈiːkfˌeːɛ
liekweg	lˈiːkvˈɛç
liem	lɪn
lien	lin
lienwand	linvent
lies	plˈiz
liesen	lˈeːzən
liet	lˈiːt
liev	lˈiːv
liggen	lˈiːgən
liköör	lˈiːtˌyːɾ
link	lɪŋk
linkpoot	lɪngpoːt
linkspoot	lɪŋspəg
linksrüm	lĩŋsuɾim
linnen	lʲɪnən
linnenboom	lɪmbɔŋ
linnenbööm	limbølm
linnentüüg	lˈɪndʒyː
lipp	lˈɛp
lock	nɔ̃k
lodderfent	lorasent
lodderig	lodˈarˈɪç
lodderkeerl	lætˈæɪkˈiːl
loen	lwˈjn
logis	loʒˈi
loh	lɔ̃gˈ
lohnen	ləun
lohnstüer	lʊnˈstˈyːɾ
lohnstüerkoort	lˈoːnstbˈɪstˌʊntɜʃtˈʏtstkˈɔɾt
lohnstüerkorten	lˈoːvənstyːˈɛɾkˈuːɾtən
loi	lɔø
lokföhrer	loːkføːrˌɜ
loof	lɛuf
look	ləʊk
loonborg	lˈoːnbˈɔɪ
loop	ləʊp
loopband	lɔpbˈand
looperee	lauːpeɾej
loopjung	ləʊpjˈɔ̃
loopstegg	lˈoːpstˈɛç
loorbeer	loapɾɛɜ
loos	leus
loosbinnen	ləʊspɪn
loosfahren	lˈoːsfˈoːɾn
loosfohren	ləuzfɔn
loosgahn	lugk
looskoopgeld	ləʊskoʊpkˈæld
looslaten	lˈoːslˌoːrtən
loosleggen	lˈoːslˌeːkən
looslopen	laʊslɔpˈɛn
loosmaken	losmɔɾbɛn
loosmoker	lɔsmɔgkɛr
loot	lˈoːt
lootrecht	lˈaŋtrˈɛçt
loov	lˈoːf
loovleed	loːflˈeɪt
lopen	lautem
lork	lɔg
losfohren	lˈoʊwˈsfɔːn
losgahn	lɛuzkɔn
loskoopgeld	lˈoːskuːpgˈɛlt
losleggen	ləʊslˌeːkən
losmaken	laʊsmˈoːpən
losrieten	lˈeːusrɪθɛn
loss	lˈɔs
lostehn	lˈoʊstˈæˈ
lostrecken	lˈoːstɾˈɛkən
lott	lɔt
lotteree	nˈoːtˈaɾɾˈaɪ
lotusbloom	lˈoːtɔstlaʊm
lucas	lˈɵkɑs
lucht	lˈuxt
luddern	lodɑm
luern	luan
luftbrüch	lʊftbrʏk
luftschipp	lʊftʃɪp
luftwaff	lˈʊftwˌaf
lukenfreter	lˈʊkənfɾətɜ
lumpenbagaasch	lʊmpˈnbˈɑgˈagˈ
lung	lˈɔ̃
lunk	lˈɔ̃g
lupien	plˈupˌɪn
lupp	lˈɔp
luppvull	lˈʊpfʊl
luren	lwan
lurig	lˈoːrɛk
lusig	lˈuːzˌɪç
luter	lutɜ
luuk	lˈuːk
luukohrig	lˈʊkˈɔɾɛj
luun	lum
luunsch	lʊnʃ
luur	lwˈa
luus	lˈoːs
luuspadd	lˈoːspat
luustern	luzdɑːn
luut	lˈɔːt
luutboor	lˈʊdbˌaʊɾ
luuthals	lˈʊthˈaltz
luutspreker	lʊdʃbˈɾˈɑkˌɛɾ
lähnstohl	lˈɛndstˈoːl
lämmerhüppen	læmæhøːpːɪn
längde	lɛŋkˈtɛ
längskamen	lɪŋsˌkɔːm
lätstavenns	lˈɛtstˈɑːvəns
lätstdags	lˈɛtstdˈɑːks
lätsttieds	lˈɛtsttˈiːts
läufig	lˈɔøfɪç
läägwater	lˈeːxfˈoːldɜ
läärk	lɛʁ
löch	lœç
lögen	lˈœ̃gən
lögenbuck	lœgənˈbʊk
lögenfatt	løgənfˈat
lögenhaft	lˈœgənhˌaft
lögenmuul	lœkɛnˈmˌɔl
löpel	lˈɔøpəl
löpelwies	lˈɔøbəlvˈiːs
löppst	lˈɛpst
löppt	lˈœpt
löschtog	lˈaʃtaʊx
löschwater	laʃvˈoːdɜ
lösig	lˈʏsɪk
löven	lˈœvʁ
löög	lɔːk
lööpsch	lœbʒ
lööt	lˈœt
lööv	lˈɔøf
lööw	lˈœf
lübeek	lˈʌbə
lücht	lˈɪçt
lüchten	flˈʏçtən
lüchtfüür	lˈɪçtfyːɾ
lüchttoorn	lˈʏksttˈɔɾn
lüchttorn	lˈɪçtɔn
lücken	ləpˈɔ̃
lüftungsanlaag	lʏftʊŋsanlˈˈax
lümborg	lɪmbɔʃ
lümborger heid	lʏmbˌɔɾgɜ hˈaɪd
lümbörger	lˌɵndˌɵɾga
lümmel	lə-mˈɛ̃
lümp	lə
lünborg	lˈʏnbˌaʊx
lünk	lək
lüns	lyns
lüpp	lˈit
lüsborg	lˈɛstbˌaʊɐç
lüshusen	lˈɛshˈuːzən
lüsten	lˈʌstˈnˈ
lütt	løt
lütt matten de has	lˈɪtmat dˈɛɾ hˈɔɾs
lütt matten gev pot.	ləpmˌatˈnˈ gˈɛl fpˈauːtˈ
lütt un lütt	ltˈ mˈɛt lˈɛt
lüttbahn	lutton
lüttbuur	ləpwˈa
lüttes	lˈɛtəs
lüttgeld	lˈœtkˈɛlt
lüttheit	lˈeːtəlt
lüttkind	lʏtkɪnt
lüttkraam	nˈʌtklˈaɾ
lüttschool	lˈʏtstʃaʊl
lüttsnacken	lʏtsʲnˈapɛl
lüüd	lˈyt
lüüdsnack	plʲitsnʲek
lüün	lˈyːn
lüüntje	nɨnɕɛ
lüürlütt	liɛlət
maach	mˈɑːk
maak	mˈoːk
maakst	mˈoːkst
maakt	lˈoːkt
maakwark	mˈoːkvˈarˈk
maal	mˈɑːl
maalbook	malpou̯
maand	mɒnt
maandag	mændæx
maandagavend	moːndˌɑːxˈɑːvənt
maandagavends	mˈoːndɜˈɑːvənz
maandagfröh	mˈɔ̃dˈaxtfrˈɔø
maandagmiddag	mɔndɑːˈaʊfmɪdə
maandagmiddags	mˈɔ̃dɜmˈədˈaʁs
maandagmorgen	mˈɔɾndɑːxmˈɔɾgən
maandagmorgens	mˈɔndɑːxmˈoːɾgəns
maandagnacht	mɔ̃dˈaxtnˈaxt
maandagnachts	mˈɔndɜnˈaxts
maandagnamiddag	mɔ̃dˈɑːçnˈɔɾmədˌa
maandagnamiddags	mɔ̃dˈaxnˈɔ̃mɛdˈaxz
maandagvörmiddag	moːndˈaʁfˈœʁmədˌaʁ
maandagvörmiddags	mɔ̃dˈaʁtfˈɔʁmɛdˈaʁs
maandschien	mænʃˈiːn
maanschien	mɑːnʃɪən
maat	mɑːt
maatschop	mˈaɾtʃoːp
maatschoppen	mˈɑtʃˈoːppˌn
machandel	maxanl
machangel	maxangɛl
machangelboom	maxaŋgalpɔŋ
macholler	maxɑlæm
machollerbeer	maːxɔlbiːjæ
machollerbusch	maxˈhɑlɑbaʃ
mack	mˈak
mackelich	makkeˈlˈɪç
mackelig	mˈakəlˌɪç
macker	maka
mackheit	mˈakhˈaɪd
macklich	mˈaklɪç
maddelig	mˈandəldˌɪç
maddik	malak
madeborg	mˈɑdebˌaʃ
magdebörg	maxtəbˈɜɪç
magermelk	maɾgænbeɪk
magneet	mˈɑɣnˌeɪt
magneetbahn	mˈɑgnˈɑtˈebˈɑŋ
magnetsch	mugnə
mahltieden	mˈɔltɪdˈɛn
mahltiet	mɑːltʃiːd
mahnbloom	maːnɣlaoːm
mahnen	maːn
mahnmaal	mɑnmɑːr
mahnwacht	manvalʲt
mai	mˈaɪ
maiaap	majˈap
maiapen	laoːpən
maiboom	maːi˧˥bɔːŋ˨
maibööm	maɪˈbɯːm
maiendal	majnðɔl
maihdörscher	maɪdˈɔɾʃa
maikever	majkˈeɪfɚ
mairaan	mjɾɑːn
maisebber	maiseb̞a
maiworm	majˈbɔ
majenees	majˈɛnˈejs
makelig	mˈɑkeːlˌɪç
makelk	mˈaɾkˈæk
maken	mˈaʊtm
makreel	makɾɛjɛl
mal	mɔːl
malesch	malɛʃ
maleschen	mˈɑlɛʃn
malins	mˈɔlˈɪnz
mall	al
mallbüdel	malbyːdəl
mallerig	malarjk
mallheit	mˈalhaɪt
malligkeit	mˈaltɪçkˌaɪt
malljürn	maljoŋ
mallören	maløɾn
mallöör	malyːa
mallöören	malˈœʁn
maltreteren	maltrɛtɛan
malöör	malœa
man	man
mandarien	mandɐɾiːn
maneern	mˈaman
maneren	manˈeːən
mangdör	manktœʁ
mangeleert	mangɛlˈeːɾt
mangmoos	mˈaŋmˌaʊz
mank	mank
mann	man
mannschop	mˈanʃˈɔp
mannskledaasch	mˈanʃklɛdɑːʃ
mannslüüd	mˈanˈtslʏt
mannsminsch	mˈanˌtsmˈənʃ
mannsputz	mʊ̃tspʊlt
mannstüüg	mˈanʃtʃˌaɪx
manschetten	manʃˈɛtən
marachen	mˈaɾˈaxm
mardelblomen	mau̯tɛlblˈɔ̂
mardelbloom	maːdˈtəlbləʊm
marienbettstroh	maːrˈiniənpˈæːtʃtɾɔv
marinesuldaat	mˈɑriːnəzɔldˈɑːt
marken	maɾkɔn
markmol	mˌaɾkmˈoːl
marlblomen	malblom
marlbloom	maʁlblom
marmelaad	mˈaməlˌɑt
marmorplaat	maːmwˈɔ̃plˈɑːt
marmorplaten	mæmˈuːrplˈɑːtən
masch	mˈaʃ
maschin	mˈɑʃiːn
maschinenruum	maʃinɾum
masthehn	mˈʌsthˈeɪn
masthöhner	mastˈɔønˈɑ
mastig	mˈasdˈiː
maten	mˈɑɹtən
matroos	matros
matsch	mˈatʃ
mau	mau̯
mechsen	mˈɛksən
meckerbüdel	mikapʊro
meckeree	məkɾə
meckerie	mɛkɛri
meckerpott	mˌɛkɚpˈɔt
meden	mˈeɪdən
medervereen	majdafˈaˈɪmˈ
meed	meɪd
meedsgeld	mˌaɪtˈsgˌaɪlt
meedverdrag	mˈeːtvɐtrˈax
meeken	mˈeɪkən
meeldau	maːloːdaːw
meen	mejˈn
meenheit	mˈeɪnˈeɪt
meerschuum	miːˌɾˌʃˌuːn
meerschuumpiep	miːɾʃuːnp�iːp˨
megeleert	mˈɪkəlˈeːɾt
mehrstendeels	mˈɪɹstdˈɛðəˈandərə
mehrsttieds	mˌeːɾstˈiːtz
mehrtall	mˈeːɾtaɪl
meideborch	rmxt̚˥˩sian�ɕqliːvɤ
meideborg	mˈaɪdˈɛɾbɔːk
meieree	majɛɾeʝ
meihdöscher	mˈajdˈiʁʃˈa
meihen	majn
meist	majst
meisttiets	mˌaɪsttˈiːts
mekelborg	mˈeːgəlbˈɔø
mekelnborg	mikːɛnbɔːʃ
mekelnborg-vörpommern	mˈeːgəlbˈɔøçfyːɾpˈɔmɜ
melk	mɛlk
melkbedrief	mˈeɪkpˈætɹiːθ
melkbuer	meɣ̞pua
melkmaschien	mˈɛkməʃˈin
melkwertschap	mˈɛlkvˈɜtʃˌap
mellen	mɛɬn
meloon	mɛlɔn
menen	meɪn
mengeleren	mˌeŋgəlˈeɪən
mengels	mɛŋgəls
mennig	mˈɛnɪç
mennigmaal	mˈɛnɪgmˌuːl
mennigwat	mˈɛnˈɪçvˈat
mentje	mɪnˈʃæ
menung	maneɔŋ
merinoschaap	beriːnʃɑːb
merrn	maː
mess	mˈɪs
messen	mˈɪsən
messnatt	mɛsnɛt
mestbarg	mˌɪstbaɾg
meten	mɛjpɛn
mettenmohrs	mˈeɪtənmˌʊɹθ
mettensommer	metənsɔmɜ
mettworst	mˈeːtvɜst
metz	mɛts
metzangrieper	mɛtsgrandkɾipa
metzensteker	mˈɪtsənstˈeːkɚ
mi	mi
middag	mɪɾˈax
middageten	mɪdˈaxˈeːɪtən
middags	mˌeɾa
middagspaus	mˈɪtɜzpˈaʊz
middel	mˈɪdəl
middeleuropa	mˈɪdəlɔøˈoʊpɑː
middelfeld	mˈɪdəlfˌɛld
middelfinger	mˈɪtəlfˌɪŋɜ
middelklass	mˈɪtəlklˌas
middelmeer	mˈɪtəlmˌeːɾ
middelplank	mˈɪtəlplˌaŋ
middelpunkt	mˈɪtəlpˌʊŋkt
middelschicht	mˈɪtəlʃˌɪçt
middelschool	mˈɪtəlʃˈɛːʊl
middelöller	mˈɪdəlˈœlɜ
midden	mˈɪtən
middenmank	mɪtnmang
middernacht	mˈɪdɜnˌaxt
middeweekavend	miːdɛveːgɑːvɛnd
middeweekavends	midˈɛdbægɔːlˈvɛnəs
middeweekfröh	mˌɪtɜpɛkfrˈɔø
middeweekmiddag	mˈɪdənʋˈeːkmˈɪdəx
middeweekmiddags	mˌɪdəlˌvɛkmˈɪdəɾz
middeweekmorgen	mˈɪtəvˈɛlkmɔɾgən
middeweekmorgens	mˈɪdəlˌvɛːkmˈɔɾgəns
middeweeknacht	mˌɪdɜvˈɛlnˈaxt
middeweeknachts	mˈɪdəlˌeːknˈaxt
middeweeknamiddag	mɪdɛvˈɛːknˈɔɾmbədˈaç
middeweeknamiddags	miːdˈɛveːgnˈoːrmɛdˈas
middeweekvörmiddag	mˈɪtəlvˈɛlkfˈœɾmbˈɪnənˌˈaç
middeweekvörmiddags	mˈɪdɜvˌeːkfˈœɾmˌɪdɑːx
middeweken	mɪlˈɛvɛkˌn
middewiel	mˌiːdəvˈiːl
middlere riep	mʲit læʁr ɪ̞ɾɪ̞p
mieg	miː
miegaamke	mˌɪçˈɛlˈmˈkˌə
miegeem	mˌɪçˌeːˌɪmˈ
miegeemk	mˌɪçˈeːm
miegeleem	mˈeːgəlˈeːm
miegen	mˈeːgən
mielensteen	mjˈunsteɪn
mielenwiet	mjˈɛlviːt
mien	mɛn
mien eersten dusend wöör plattdüütsch	miːn ˈeːɾstən dˈuːzənt vˈʏɾplɜ dʏtˈʃ
mien mann, de fohrt to see	minmandoi for to zˈɛj
mienenhalven	mˈiːnənhˈalvən
mienenthalven	mˌiːnəthˈalˈvən
mienthalven	mjˈɛnthˈalˈvˈɛ
mier	mja
miereem	mjaeam
mies	miz
miesig	mjˈzɪç
miesten	mʲista
mildgevern	mildkæi̯ð̞an
militäropmarsch	mˌeːdiːtˈɛːrˈɔpmɑːç
milliard	mˈɛlˈdʒˈart
million	milʒən
milljard	mjliaɾ
milljoon	bˌiʎˈɐ̃ʊ̃
mindestgröttde	mʲinð̞eskɾot̪e
mineraal	mæn
ministersch	mjˌnɪztˈɛɾ
minn	mɪn
minn maken	minmˈaʊtən
minnachten	mɪnˈnˈaxtən
minnachtig	mɪnˈnˈaxtəgˌ
minnerhait	mˈɪnɜhˌaɪt
minnerheit	mˈɪndɜhˌaɪt
minnerheitenspraak	mˈɪnɜhˌaɪtənzbˌɾˈɑːk
minsch	mɛnʃ
minsch sien mutt de minsch	mʏnʃ zˈiːn beːtˈt dˈeːm mˈɛnʃ
minschen	mˈɛnʃən
minschenfehler	mjˌɛnʃənfˌˈeːlɜ
minschenrecht	mˈɪnʃənrˌɛçt
minschenroof	mˈɪnʃtdʁˈoːf
minschhait	mˈɪnʃhaɪt
minschlich	mˈɪnʃlɪç
minuut	minut
mirrweek	mɛlvɛk
mirrweekavend	mˈɪlvɛːkˈɑːvənd
mirrweekavends	mɛɾvˈeːgɔɾvˈɛns
mirrweekfröh	mˈɛɾvəgfrˈɔø
mirrweekmiddag	miːɾvˈɛltmˈɪdɜ
mirrweekmiddags	mɛlvɛkmɛðˈaː
mirrweekmorgen	mˈeːɾveːkmˌɑːɾgən
mirrweekmorgens	mɛɾbægmæn
mirrweeknacht	mˈeːɾveːgnˌaxt
mirrweeknachts	mˈeːɾveːknˈaxts
mirrweeknamiddag	miːɾvˈɛːknˈɔɾmɛdˌah
mirrweeknamiddags	miːɾignoːlˈmˈɛdˈas
mirrweekvörmiddag	mˈeːɾvɛːkfˈœɾmɛnˌaç
mirrweekvörmiddags	miːɾvɪkfərmɛnes
mischmasch	mˈɪʃmɜʃ
mischt	mˈɪst
miss	mˈɪs
missbruken	mɪsproːpˈoː
missbruuk	mɪsbrug
missen	mˈɪsən
missendöör	mɪsəndɔɾ
misshanneln	mɪshanɛn
misshupen	mˌɪsˈhʊbən
missslag	mˈɪs
missslääg	mɪsɛ
mistig	mɪsdɪç
mit afsicht	mɪt ˈaɪnfˌax
mit de tiet gahn	mˌeɾidˈit gˈɔn
mit mi köönt se ok platt snacken.	mɪt ˈiːkəlˈtˌzˈaʊ platˈsnˈakən
mit stump un steel	mɪt stˈuːmp oːnˈzdˈeːɛ
mit'n anner	mˈɪtən ˈɑlɑː
mit'nannner	mˈɪtənˈɑlɑː
miteens	bˈɪtˈeɪns
mitenanner	mˈɪtənˈɑnɑː
mitgahn	mʲit̪koŋ
mitgeven	mˈɪtkˈˌeːvər
mitkamen	mˈɪtkˈoːm
mitlopen	mˈɪtlˌoːbən
mitlöper	mˈɪtlɔøpɜ
mitmaal	mɪtmɔnl
mitmaken	mɪtmˈaʊkən
mitmoken	mɪtmˈɔpən
mitsnacken	mɪtsnˈakən
mitspelen	mitsˈpeːn
mitt	mɪt
mittewiel	mɪtdˈɛɾvˈiːl
mitto	mˈitˈtˈeuˈ
mittweken	mɪtvˈɛltən
mitünner	mˈɪtfˌɪlnɜ
moddermelk	mɔɾtɛnmɛɫ
moden	mˈaʊtɛn
moderbroder	mowd̪epɾowd̪e
moderdag	boːɫdɜdɑː
moderspraak	mau̯dɐsprak
modersproake	mˈowtɜzpɾˈɑkə
modersüster	mˈaʊdɜzˌɛstɜ
moi	moi
moin tosamen!	mˌoɪntʊzˈoɐ̃ʊ̃
moje	moje
molkeree	mælkæɾiː
moll	mˈɔl
monarkie	munˈˈnˈɑki
mongolee	mʊŋgulˈˈɛ
mongolsch	mɔngɔʊlʃ
mongool	mɒnkuːw˧l
mood	lɔːd
moord	mwat
moorden	mˈuɾtən
moordsch	mwatʃ
moorliek	mˈɔɾlɪç
moors	mwˈas
moot	məʊ̯t
moot maken	nˈoʊtnˈoʊtnə
mootlos	mˈaʊtlˌoʊz
mootwillig	nˈɔtvɪlˌlɪç
mors	mwas
muchen	moxˌen
muck	mok
mucksch	moks
mudd	mut
muddelig	mˈʊdəlˌɪç
mudder	mˈuða
mudder griep	mˌoːdakɾˈiːb
mudder griepsch	moɾa gɾiβ̞s
mudder griepsch het op hochdütsch hebamme.	mˌoːdak gɾˈiːpt ʃˈeːdə bɾˈuːxt dˈʏtʃ ˈaɪv
mudder mews	mˌuɾˈɐmɪvˈə
mudderkoorn	muːɾqæˈvɑːn
mudderlief	moɾaːliːv
mudderspraak	murassprak
muddig	mˈuːdɪç
muer	mˈuːa
muffig	mufɛ
muiker	mˈuɪkə
mulen	mul̪t̪
mull	mˈʊl
mullammer	mulˈama
mullbarg	mˌʊlbaɾʃ
mullsock	mˌʊlsoːkk
mullsöcken	multzɛpɔ
mullwarp	mˌʊlvɑːb
mulmig	mˈʊlɛɪç
mulsch	mˈʊlʃ
mulsterig	mˌʊlˈtstɜɪç
mulstrig	mˈʊlstrɛk
munddook	mˈutdiːlk
munddöker	mˈʊntdˈˌɔøkˌɛː
mundgau	mult̪kal
mundwarktüüch	mʊntvˈɑːgtˈʏç
munjement	munɣ̞ɛnment̪
munkelee	mˌɔ̃kɜlˈeɪ
munkelie	mˌɔ̃kaalˈi
munkelig	mˈʊkəlˌɪç
munkeln	mˈuːnkjɛn
murer	mura
murks	morks
murksen	moksɛn
muschaat	mˈusxˈɑːt
muschatennööt	mˈʊsɾˈɑːtənnøːt
muschelee	mˌoʃɛleɪ
muschelie	mˌuːzˈlˈɪv
musenstill	mˈuːsənstˈɪl
museumsdörp	muziːonsˈtoɾp
museumshuus	muzˈeʊmshoːʊz
musiek	muzˈik
