(ممتاز حسین (مصنف	multasuzɛ
عام سطح	ɑːm sɪtːɑːh
عام سپاہی	ɑːm sɪpɑːɦiː
عام سی	qɔːn sˈi
عام شوہر	ɑn ʃɑhɑr
عام شہری	ɑnɑm ʃæhɾiː
عام شہریوں	ʔaːm ʃæhˈriː
عام طور پر	ɑmdɑlɑɾ bɑːr
عام فہم	ɑm ʋɛm
عام لوگ	ˈɑːm lˈɔŋ
عام لوگارتھم	ʔaːmlograː
عام لوگوں	ɑːm loːgoːŋ
عام معافی	ɑːmˈmɑːfˈi
عام مفہوم	qɑːm mafum
عام ہوگیا	aːm hoːl gajɑ
عامر	ɑːmɪl
عامل	ɑmɛl
عامی	ɑːmiː
عامیانہ	ɑmijana
عامیانہ انداز	ɑːmiːjɑːnɑː ɑːnbɑːst
عبا	aba
عبا د	ɾˈimaːn
عبا دت	ibɑdæt
عبا دت کرنا	ɪbɑːd̪ɐk kɑrna
عبادات	ɾæbˈdɑːrt
عبادت	bʔaːd̪t̪
عبادت برق کی	ʔiːbɑgɪd bərq
عبادت بریلوی	nə baːd̪əm ba reːluːiː
عبادت کرنا	əˈbɑːd̪t̪ kɐɾnə
عبادت گذار	ibɑːdɑːt goˈzɑr
عبارت آرائی	ɪbɑːrʌt ɑːɾɑːiː
عبارت ہونا	ibɒːɾæt hænæ
عبارتوں	ɪbɑːɾətɔm
عبارتوں کا احاطہ	ɪbɑːrʊzə ɪzə kə
عباسی	ɔːbəsiː
عبایا	abɑːjaː
عبث	ɑːbwˈɑz
عبد	qɒbdu
عبد الحفیظ کاردار	dˈoɹ mˈaɪ fˈis ˈkɑmək
عبد الحلیم شرر	aːbdo d həˈliːn ʃarɑt
عبد الحمید عدم	əbdɨl hæmɪn ʔadˈm
عبد الصمد	ankuʃ saman
عبد القدیر خان	əbd̪ʔ kɪd̪iːr xɑːn
عبد اللہ حسین	əmdʒʌləhusɛːn
عبدالحئی	ɑbdʊlhaj
عبدالحفیظ کاردار	əbdʊl ɦəfiz kə əd̪ɑːr
عبدالخلیق نقوی	ʔɑbdɪl χaliq nɑqɪm
عبدالرحمان جامی	waːb duːr rehmɑn dʒɑːdʒɑ
عبدالستار ایدھی	ənd sətˈɑːr ɪd̪iː
عبدالقدیر خان	əmtijl qaːn xaːn
عبدالقوی	ɑmdʒuːlqawiː
عبدالقیوم	ʔɑbdɪlqaɪm
عبدالماجد دریا آبادی	əgdʒəl maːdʒiː dɪriːɑː baːdʒiː
عبدالمالک غوری	əbdʒl maːlik rʊɾiː
عبدیت	abˁiːjˈæt
عبرانی	ɛbɾɑːni
عبرت	igɾat
عبرت انگیز	β̞ɾʲt ãmb ge̞ns
عبرت ناک	əbɾətɾɑːk
عبرت نگاہ ہو	ɪrˈrɑːt nɪgɑɣo
عبرت پکڑنا	tebɾɑt pɑkɑrlɯnɑh
عبرت کا نشان	ʔəbrt̪kɑːnʃaːn
عبری	albrie
عبودیت	ɒˈbuːdiˈæt
عبور	ˈubu
عبور حاصل تھا	ʔubuːr ɦɑsɪm kʰʊd
عبورحاصل	buɣuɾhasɯɾ
عبورکرنا	uboɣukaɾma
عبوری	obori
عبوری حکومت	ʊpʊɾiː ɦʊkʊmət
عبِیر	ɑbˈir
عبیدیہ	obeðiːe
عتاب	ɪtɑːm
عتاب الہی	ɑtˈb ʔilaːɦiː
عترت حسین زبیری	dʒtbrt̪ hosn zobariːn
عتيق	ʔatiːq
عتیق	ɑbiːq
عثمان	ʊsmɑrən
عثمان گنج	ʔˈʌsmən gˈɑndʒ
عثمانیہ	ɒsmɒniˈ
عجائب	ɑʄæmɑʕb
عجائب خانہ	əʒɑːʔeːb xɑːnɑː
عجائب گھر	ɑˈdʒɑːj biːkæɾ
عجائبات	vgɒːʔiːtbɒːn
عجب	ɑdʒɑm
عجب تیری قدرت عجب تیرے کھیل	əgʌb teːre keː ˈkɑːn əgʌb teːre keː
عجز	edzˈe
عجلت	ʊ̞ʒlɑt
عجم	ədʒɑm
عجمی	adʒimiː
عجيب سا	ɑːd̪iːb sɑː
عجیب	ʔɑːdʒiːb
عجیب انکشاف	əgib ənt̪ʃɑːf
عجیب سا	ʔajib saː
عجیب و غریب	odʒibo ɣarɛbɪ
عجیب کیفیت	əˈdʒiːb kaːfjət̪
عد ت	tˈə
عد د	qɑdɑt
عد ل	aːdaːn
عد م	ɑdɑm
عد م ادائگی	ʔɑːdɑm ɛ ɑːdɑːeːgiː
عدالت	aːndajlɑk
عدالت خفیفہ	ɑdɑlət xɑfifɑ
عدالت دیوانی	əgɑlət biːvɑːniː
عدالت عالیہ	ʔadˈdɑlɑt ɑːllɑh
عدالت عظمیٰ	ɒdɒlɒtɾɒb ɒsmɒ
عدالت فوجداری	ɑdɑlɑt foʊʒdɑri
عدالت میں	qɑdˈʊlt mɛ̃ː
عدالت نے	ɒndaːlɒtniː
عدالت کو بتایا	ɑːnd̪ɑːlɑːt̪ ko bt̪ɑːɑːʔ
عدالتوں	ˈɛmˈdˈˈlətˈɔ̃
عدالتوں کا سامنا	oːlaːloː toː kəsɑndiː
عدالتِ عالیہ	ʔˈdˈɑlətɑˈɪ ʔˈliːnː
عدالتِ عظمیٰ	ɒdɒlˈtˈtˈe ozmˈɑ
عدالتی	taːldiː
عدالتی سَزا	ʔadʒɑːlt̪iː sˈɑzɑ
عدالتی عملہ	ʔaːglaːt̪i ẽmlaː
عدالتی فیصلہ	ɑnɑˈlɑtˈtiː fɛsla
عدالَتِ بَچگان	ɑdɑːlɑte btʃɐgɑːn
عداوت	agɑvɑt
عداوت ڈالنا	ad̪t̪ d̪aːla
عدت	ɪ̞dːɪ̞
عدد	ʔɑdˈt
عددی	ɑːdliː
عدسہ	tsˈo
عدل	ˈɛmdˈø
عدلیہ	albzˈiːɾ
عدلیہ آزاد ہے	ɦə gɪjə ɑːzɑːl ɦeː
عدلیہ کی بالادستی	əb liːə kiː bɑːnɑː d̪ɑst̪iː
عدم اتفاق	ɑdˈmʔe ɑtˈtɑfɑq
عدم استحکام	əˈd̪ɪm miː ʔiːst̪iːxˈqɑːm
عدم اطمینان	ədmi ʔ tmiːnɑːn
عدم اعتماد	ədmi ɑjd̪mɑːn
عدم تحفظ	ədəm tojʃfʊs
عدم تعاون	adəm taːvon
عدم تعمیل	ʔad mtɑʕmiːl
عدم توجہی	əgmʔ tldʒo
عدم حاضری	ɑdæm ɦɑːzəliː
عدم دستیابی	ʔɑdmə d̪æstˈɪɑːbˌiː
عدم دلچسپی	əd̪ɐm ɛː ɗəlʈʃɐsʰiː
عدم رواداری	əgmʱe ɾɑːuːɑːdɑːriː
عدم سے	ɑdæm seː
عدم مساوات	ʔan mswɑːt
عدم موجودگی	ɑːdæm mɑːzæɾuːdægiː
عدم واقفیت	ʔɑdɑmɪ vaqfɪjɛp
عدم پیروی	adam pˈaːr niː
عدم پیشی	əd̪ʌm peːˈʃiː
عدمِ توجہی	admeː tawadʒu hi
عدمِ وجود	ædæmɪ̞ ʊ̞dʒuːɾ
عدن	qɑdˈm
عدنان	lət̪˨nʌn˥˩
عدو	adu
عدول	ʔɑduːl
عدول حکمی	pɗoːl ɦʊkmiː
عدَم اعتماد	aːd̪ɪ̞m ɪ̯te̞mɒːn
عدیل	ɑziːjɯm
عدیم	izadʒoːdˈie
عدیم الفرصت	ʔaðiːm ælfæsk
عذاب	ɑzɑm
عذاب دینا	ʔæzɑb d̪eːnə
عذاب مول لینا	ʔæzm o mwəl næuː
عذر	uzɯn
عذر خواہوں	ʔuzɾqɑhɑ
عذر لنگ	uzɾɛjlɑŋ
عذر مستی	ʊzˈtˈurɛ mˈastˈiː
عذر کرنا	ʊzɯr køɾmø
عراق	ɪrˈɑk
عرب	ɑrɑm
عرب مورخین	ɾb moːrxiːm
عربستان سعودی	ɑrbistɑːn sɔːˈdiː
عربوں کا حامی	ɑːrbɑː kʰæˈmiː
عربی	albe
عربی اسما	ʔərbi əsˈmɑr
عربی زبان	əɾmiː zbɑːn
عربی لسان	ʔəɾbiːn lisɑːn
عربی، فلسفہ اور ریاضی	ar biːn fɑːræsˈfɑhˈrɑːuːn rʌzɪn
عرس	ɔɾuʃ
عرش	aɾˈs
عرش ملسیانی	əɾʃ mənsiːjɑːniː
عرش پر دماغ ہونا	aʃpaɾ dɛmɑl ɦɔnɑ
عرش کے تارے توڑنا	əɾʃ keː taːre toɾla
عرشِ منیر	ʔalʃe mwnʝa
عرشہ	ɑˈvɯʃɑ
عرصہ	ɾɨsa
عرصہ بیتا	ɑːɾsɑː bjit̪a
عرصہ تنگ ہونا	əɾsɑːt̪ŋg ɦoːnə
عرصہ حیات	ɢɑrsɑjhɑjɑt
عرصہ دراز	ɑrsɑ dɾɑːz
عرصے تک	ɔɾsɛta
عرض	aris
عرض البلد	ɒɾzul bɒlɒtni
عرض داشت	ɾz daʃt
عرض سلام	ɑrɑ zɛlaːm
عرض کرنا	arskarno
عرضداشت	ɾʃdɑːʃt
عرضِ حال	ɑːɾz hɑl
عرضی	ɦɑːrð̞iː
عرضی نویس	arziː næbeːz
عرف	ɔlf
عرفات	ɑːrɑːfɑːk
عرفان	iɾæpˈænlˈɛn
عرفان صدیقی	ʔˈlaːnz ildiqˈi
عرفان کھوسٹ	ɑːrˈfɑːn kʰɔsɑːt
عرفہ	ʊ̞ɾʊ̞fɑ
عرفیت	purofjˈa
عرق	ɑrɑq
عرق ریزی	waːrkaːn ziː
عرق عرق ہو جانا	bɑrɯp ɑr qudarnɯ
عرق عرق ہونا	ɑr ɑr xoːn
عرق گلاب	ʔərak gəlɑm
عرقِ گلاب	ɑrʊ̞ɫʊ̞lʊ̞lɑm
عروج	ʊn
عروج نصیب ہوا	ɑ̃nˈʒj nˈɔs bwˈa
عروج پر ہونا	uɾuðʒbær hʊɾna
عروس	bɑɾuːs
عروس البلاد	ɑruːs æl mɪlɑːr
عروس سخن	ɔruːz sˈuxan
عروسہ	ɑruːzɑ
عروض	ɾuːz
عرَق	bɑrɑq
عرگانی	ergane
عریانی	ʊɾiːneː
عریاں	ˌaʊɐɲˈɔ
عریض	bɑːr̥iːz
عریضہ	pariːza
عز	izjɑ
عزا	ɑˈzɑ
عزائم	ɔzɔːne
عزاب	ɑzɑb
عزاداری	ɑzɑrɪt
عزت	œzˈtˈ
عزت اتارنا	izˈzɑt utɑɾŋa
عزت افزائی	ʔzˈtˤ ʔabˈzaːˈɪl
عزت بگاڑنا	ʔiːzæt beˈgɑːrvɑː
عزت تارتار	izˈzɯt tɑːɾtɑːr
عزت دار	izza dɑɾ
عزت دو	ɪz zˈɛt dˈaʊɹ
عزت دی	ɪz ðeː
عزت دینا	ɨzːat dˈeːmə
عزت و احترام	ɪz ʒatʃe ɛhtɾɑm
عزت و برابری	ɪzətʊˈ barʔəbˈri
عزت وغیرت	te̞zzat oˈɣəiret
عزت کرنا	izˈzək kɐrnə
عزت ہونا	ɛzˈtˈmˈrnɑ
عزت ہے	ɪzˈtɑːt æ
عزتِ نفس	iz ðət ɪn
عزتیں	ɛzðet̪e
عزتیں پامال	ɪzˈtˈeːĩː pɑːmɑːl
عزلت	bozˈlɑt
عزلت گزیں	ʈla gəˈzi
عزم	fuzi
عزم بالجزم	pazidʒezʃ
عزم و حوصلے	ɑːzmuː hɑːsliː
عزم کا	azmˈka
عزم کرنا	ɑzim kɑɾdɯ
عزیز	avazʲins
عزیز آباد	ɑziz ɑːbɑːd
عزیز حامد مدنی	ʔäziːl hɑmɪd bɑːnɖɪliː
عزیز و اقربا	ʔaziːz ʔqrb
عزیز کالونی	əziːz kɑːlõːni
عزیزحامدمدنی	əziːzhɑmɪdmrd̪miː
عزیزدار	ɑːziːɪzdɑːr
عزیزم	əaziːzæm
عزیزی	fʊzizim
عسرت	ɯsɾat
عسل	ɑsɑn
عسکر	ɐsˈɟɑr
عسکری	əsˈkəriː
عسکری اتّحاد	ʔɑːskɾiː ɑːt̪t̪iːˈhɑːr
عسکری قیادت	əskɾiː qiaːdət
عسکری کارروائی	æstre j kʲaːr bwəiːu
عسکریت پسند	əsˈqɑːɾijət besən
عسکریت پسندوں	æsgˈæɹiːˈɑtlˈoʊzˈɑnˈnˈoʊˈ
عش عش کرنا	əʃaːs kɪˈnlə
عشا	ɪˈʃɑ
عشائیے	ʃaːleː
عشاق	uʃaq
عشرتِ قطرہ	iʃɑtɪ̞k qɑtɪ̈ɾɑh
عشرہ	aɻ˥˩
عشریه	aʂɚ˧˥
عشق	eʃq
عشق باز	aʃˈq bˈɑːlæn
عشق ذات	teʃ pəzaːr
عشق و محبت	ɪ̞ʃ qɑm ħʊ̞nbɯ̞t
عشق کا چرچا	əʃqaː dʒəɾdʒɑ
عشق کی راہ	te̞ʃχʃtiraː
عشقیہ	eskija
عصا	qɯ̞sɑ
عصا بردار	ɑsɑbɑɾˈdɑr
عصبیات	ɑzbiːjɑːr
عصبیت	qoːspiːɐf
عصر	ɒːstɾˈ
عصر حاضر	ɑsˈɾe ɦɑˈzɯɾ
عصرانہ	ɑsɾɑnɯ
عصرحاضر	ɒːsæɾiːħɑːziː
عصرِ حاضر	ɦɑsˈɾeː ħɑːzɛr
عصری تقاضوں	ɑsˈriː tɑqɑtʃuː
عصمت	ɛsmɛt
عصمت فروش	izmat faroːʃ
عصمت فروشی	ɑsˈmɑtʊ rɔːˈʃiːt
عصمت فروشی کا اڈا	əsmət fəroːʃiː kə t̪eːmɑː
عصمت لٹا کر	ɪsmət loːt̪aː kər
عصمت چغتائی	isˈmˈat tʃok tɒim
عضلات	ʔuzuztʃ
عضلات کا حصہ	ɑzˈlɑːt kə ɦɪsə
عضلاتی	uzɫɑtʲɪm
عضو	pˈuzʊ
عضو بدن	aːzwe bəd̪an
عطا آباد جھیل	ʔatə ɑwɑd dʒiː
عطا کرتا	ət̪ˈə kɾət̪ˈt̪ə
عطا کرتی	ɑtɑːkɑːrt̪iː
عطا کردہ	ətäː kɑrdɑ
عطا کرنے والا	mətɑː kɐɾeː waːlaː
عطا کی	ʔˈtˈak
عطا کیا گیا	ət̪kijɑ gɐjɑː
عطا کیجئے	ɦɑtɑɾkiː gɪjɛ
عطاء الحق قاسمی	ʔtɑul hɑq qɑːsmiː
عطاء اللہ خان عیسی خیلوی	ɑtɑhɑnˈnɑxɑnˈn ɑsxli
عطائی	tɑtɑi̯
عطاکیا	ɑtɑkiːɑ
عطر آگیں	ʔɑːt̪ɾɑːgiːm
عطر پیراہن	ɑtɑːe feːɾɑːhən
عطردان	itʌrdɑm
عطش	ɑtɑʃ
عطش درانی	tʃas
عطف	bɑt
عطّار	ɑtːɑlɑr
عطیات	ətiːˈʔɑːt
عطیہ	t̪iːjaː
عطیہ دہندگی	ətiːjə d̪eːn lgiː
عطیہ دیا	t̪jɑːt̪jɑː
عطیہ دینا	ʔt̪i jɑː diːnə
عطیہ کرنے والا	t̪iːɑː kɾneːə baːlɑːʔ
عطیہ کی ہیں	ʔt̪iːɑː kiː ɦeː
عطیہ گیر	ətiːjɑː gir
عطیے	ɑtjɛ
عظمت	ɑzmɑt
عظمت و اعزاز	əz mtɑ ˈheːzɑːd
عظمت کو سلام	ɑːziːmæt kʰeː sælɑm
عظمت کی حقیقت	jʊ̞zmɑn kiː hæqqiːn χæp
عظمی اسلم	ɑzmi əslɑm
عظمیٰ گیلانی	ɑzmɑ gjləɑnj
عظیم	bʃaːm
عظیم اجرام فلکی	ʔaziːm ajdraːn palaːkiː
عظیم البحثہ	ʔɑːzɪm ælbeːsə
عظیم الجثہ	ʔvʃiːmæl baħisæ
عظیم الشان	ʔaziːn waːʃaːn
عظیم الشان عمارت	ɦʊzʰɪm ʃɑːn ɪmɑːrɑːq
عظیم الشان کارنامہ	ʔaziːmʃɑːn kɑːrˈnɑːmə
عظیم المرتبت	adzjnɨ aːr mɑɾtɑbat
عظیم تر	ɑziːntər
عظیم خطیب	ɑːziːn xaˈtiːm
عظیم دانشور	ɑːziːn dɑːnʃvɑːr
عظیم دورہ	ɑːziːn dɑːra
عظیم شاہکار	ʔaziːm ʃɑːhɑkɑːr
عظیم قومی رہنما	ɑzɪm qoːmiː rhlæmæn
عظیم قومی ورثہ	mɑzˈriːm qɔːmiː βəɾsɑː
عظیمُ البحثہ	qɑːzijmʔ baħsa
عفت	ˈɪstfˌa
عفت اور حیا	ɪfːɐt̪ ɔːr ɦɛːjɑː
عفریت	efriːd
عفو	au̯
عفو تقصیر	qɑf təqsiː
عفو و درگزر	ɑh bɪ̞ɾ bɪ̞ɾ gʊ̞ðɑr
عفونت	qoʃuːnat
عفونتی سرایت	ʔufuʔnˈti sˈaːdˈɑ
عفوکرنا	ˈɑfɫɯnkaːrliːvɑ
عفیف	ˈafˈaɪv
عقا ئد	ɑqɑjɯn
عقائد	waqqɑlɑjɯp
عقاب	qaːn
عقب	qɯ̞m
عقب سے حملہ کرنا	-qɒqɒbsi hɒmmlɒˈ kɒɾnˈɒˈ
عقب میں	aqamˈmi
عقبیٰ	wqba
عقد	aqd
عقد کرنا	ɑq tɯcɑrnu
عقدطلاق	ʔaqdtɪlˈaq
عقدِ ثانی	qɑqɑːde ˈsɑːniː
عقدہ	ɒqdɒ
عقرب	ɑqɾɑb
عقل	ɑkɯl
عقل حیران رہ گئی	qəql ħɑrɑːn rɑhɪˈgɪj
عقل دنگ رہ جانا	ʔɑql dɑmɪrɛhlɑn
عقل سلیم	aql sˈliːm
عقل ماری جانا	apɫ maːrj dɑlɑnɑ
عقل مند	aqɯ̞ɫmɯ̞n
عقل مندی	qɔqlmanðiː
عقل پر پتھر	ʔɑqɨn bɑr bɑʔaːr
عقل پر پردہ پڑ جانا	aqɯ̞ɫ pæɾ pʊ̞ɾʊ̞dɑ pʊ̞ɾʲɪɑnɯ̞
عقل ڈاڑھ	ɑqɯl da
عقل کا مقام	aql kɑmɑqaːm
عقل کی دوڑ	ʔaq lə kiː doːr
عقل کی ڈاڑھ	ʊqəl kiː ɖɑːʋ
عقل کےنا خن لینا	aːqtənl ˈgeːnɑː xoːn liːnə
عقلیت پسندی	aqliʝət pəsənˈdi
عقوبت	oqunbǎk
عقيدتی	ʔɔ̃qidɔpˈi
عقید ت	ɑqidɑt
عقید ت مند	aqidɑtˈmɑn
عقیدت	təpˈitˈt
عقیدت آشنا	ɑqedɑt ɑʃˈnɑ
عقیدت مند	aqijdæt mɑnmi
عقیدت مندوں	aːtnidat mɑndoːn
عقیدہ	kiga
عقیدے کو	waqideqoʁ
عقیق	aqeɬk
عقیقہ	bqih
عقیل	aqtijl
عقیل عباس جعفری	kɔɾɛtɛ iːlˈɑːbˈɑz ɑfɾˈiːl
علاج	ɪlɑːdʒ
علاج کرنا	ɪlɑːtʃ kərvɪ
علاجات	keːlɑːɑdʒɑːt
علاجِ جاں	teˈlɑːdʒ dʒɑːm
علاقائی	ælæqɑjˈjiː
علاقائی شورش	ʔilaqaaː ʃoˈrɪʃ
علاقائی مسائل	la kaibuz kaiβ̞
علاقوں	ˈælˈɑspoːn
علاقہ	laka
علاقہ رکھنا	laqaːraːkmɑ
علاقہ چپورسن	ilɑqɑː tʃə poːɪsən
علاقے	laqaj
علاقے میں امن	la ke me amn
علاقے واخان	miː æq væ kʰan
علاقے کو	ʔalaqqau
علاقے کے	kʰiː
علالت	ɑllɑlɑt
علام	ɑlɑm
علامت	əlɑmət
علامت سکتہ	ælɑmat sɛkˈta
علامتی	əlaːmt̪iː
علامتی تجربات	əlaːmatai ʈɪ rʊɑːn əɺ
علامتی شاعری	ɦɑːmɑːtiː ʃɑːəɾiː
علامَت	ɑlɑmɯ
علامہ	ɑnɑmɑ
علامہ اقبال	ɑnɫɑmɑ ʔɑqɑpʁɑlɑr
علامہ نصیر ترابی	ælːɑmɑː nsiːr tˤrɑː biː
علانیہ	palãn̪ʝo
علاوہ	ɣəlɑːbɑ
علاوہ ازیں	ɑlɑbɑ mæn ʔeːn
علت	ynˈdæt
علت غائی	ælːædæɣaːiː
علت لگنا	ɨlˈlʊd lˈadnˈnɑ
علحدہ	ɑlɑːhɪdˈɑ
علم	ɪl
علم آثار قدیمہ	ɪːm ɑːsɑːr qɑdˈiːmɑ
علم الاساطیر	ʔɪlˈmʊl ʔasˈaːftijə
علم الالہیات	əˈlmər əlaːhiːət
علم الحیوانات	ælmuːl ħæwɑnɑt
علم الکلام	ʔəlmæl kalɑm
علم اور دانش	ɾaːlm aːrdaniʃ
علم بردار	ɛːləm bdaːr
علم بشریات	ɛl bɪˈbɑʃl jaːt
علم تعمیر	ɪlm taːmjiːr
علم حیاتیات	ɪlnˈə jɑːdɪjɑːd
علم دین	ni mɪdiːn
علم ذات	bəl mənˈzaːr
علم شمار	beɾremme ʃubaːlɑɾ
علم طبیعی	ɛl mˈɛtabˌiʎ
علم عروض	il me ʊn gʊθ
علم غیب	ʔjm ɣæb
علم فلکیات	ɪl mɛ̃ː fɛlaːqɪt̪
علم قیافہ	ma qiaːfa
علم معرفت	ɪl mɑː ʔɾʋit
علم میں آنا	ɪl miː ɑnɑh
علم نباتات	meː nə baʈɑt̪
علم نجوم	el mena xwm
علم نوع انسان	ˈeɪmənˌɑŋ ɹˈɛnsɪnˈɛ
علم نہیں	aːl ʔuːn
علم و عرفان	ɪl mɔ ɪlˈfon
علم و فہم	il mɔpɛn
علم وآگہی	ɪlmoːʔɑːgɐhi
علم کلام	jæn bjɾalaːm
علم ہوا	tɛl ɦoä
علم ہوتا ہے	ɦəl ɦoːt̪ɑː ɦɛː
علما و فضلا	ə limɑ wa pəzla
علماء اور خطبا	olmaː ɒːɾxdˈba
علمبردار	ɑlɑmbɑrdɑːr
علمبرداری	ɑlæmbarnaːriːm
علمی	ilmi
علمی اِصْطِلاح	ɪlmi ɪstjllɑh
علمی ذوق	ælmizɑq
علمی و ادبی میدان	əlaːmiː wa adriː madaːn
علمیات	ɪ̞jˈnˈɪ̞
علمیت	ɦelmijɛt
علمیت بگھارنا	ɪlmiːəd̪ bəgʱaːrn̪ə
علو	ɔːlum
علوم جدیدہ	ʔəloː mɛ̃ː ɗʊɾɪːdɑː
علوی	lriː
علی	ɦaliː
علی الصبح	ɑjˈdɑst subˈa
علی بابا چالیس چور	ɦɑːliː baːbaː tʃɑːliːstʃoːr
علی برادران	ʔɑli gʊrɑːd ɾɑm
علی سردار جعفری	əli sədɑːr gɑxre
علی سفیان آفاقی	ʔaliːsafiːaːnħvaqim
علی عباس جلال پوری	ɑːliː ɑbɑs dʒɑːlɑːl keː
علی گڑھ	ɔːlɪːgɔː
علی گڑھ تحریک	aligj t̪a e̞ɾið̞a
علی گڑھ کٹ پاجامہ	əˈliː gəz kəʈ pdʒaːmaːn
علیا	olja
علیحدگی	laħdi
علیحدگی پسند	əlaː ɦɛdgiː pəˈsən
علیحدہ	ɑləda
علیحدہ گھر	allaː hetə d̪ʱr
علیل	bælˈiːn
علیٰ الصباح	aːlaːl sˈbɑːh
علیک سلیک	ɒlɒɾɒsˈɒlɒk
علیگڑھ پاجامہ	ɒliːgɒl ɒˈgɒlɒˈmɒˈ
عم	pɯ̞m
عمائدین	qɔmaːjdiːm
عمارات	ɑːmɑːɾɑːt̪
عمارت	ɪːmaːrʈ
عماری	ɔmɑːɾiːm
عمال	ʔɑmɑn
عمامہ	maaːmaa
عمان	pomaːn
عمد	pambø
عمداً	ãnˈd̪an
عمدگی	ˈundagˈi
عمدہ	unˈda
عمدہ اقدام	unba ʔaxraːm
عمدہ مکانات	unda mqaaːnǎt
عمدہ نمونہ	umdaːnə mʊnɑ
عمدہ چال	ʔɑnˈdɑːr tʃaːl
عمر	umeɾ
عمر بڑھ رہی	ʔomr baɦrɦiː
عمر بھر	ʊ̞mrupʊ̞rɪ̞
عمر رسیدہ	umbre dɛs seðɑm
عمر رسیدہ افراد	ʊ̞mɾ rãsˈidɑ afɾˈaːr
عمر طبیعی	umre tadmiːn˩˩˦
عمر قریشی	omɔrɔkɔɾɑ iʃi
عمر کا اندازہ	ʔuːmˈrka anˈdɑːzɑ
عمر کوٹ	ʊmɐr koːˈʋɑt
عمر کی رفتار	ubɾigj ɾɑqtaɾ
عمران	ɛmɾɑn
عمرانیات	ɑmˈranijat
عمربھر	umaɾbɑːr
عمربیکراں	puːmrebẽːkɾäːʱ
عمرخیّام	ʔomarxaldʒaːm
عمررسیدہ	armaːrrasiːda
عمرنوح	omɔɾanˈu
عمرکوٹ	umɾoɣ̞oɾ
عمرگزرگئی	umaɾgʊ̞ðaɾgɑ̝j
عمرگزشتہ	ɔ̃mɾɛgozɛʃta
عمرہ	buɾa
عمریں	omr
عمق	u
عمل	ɑmɑn
عمل داری	qɑmɛlˈdɑːri
عمل دخل	qɒˈmɒz gɒhɒl
عمل درآمد	ɑːmɑːl dɑːraːˈhɑn
عمل دہرائیں	ɑːməl doːɦɾɑːjeː
عمل و کردار	ʔumɑl ɔkjɾdaːr
عمل پیرا	ʔəməl piːˈraː
عمل کرتے ہیں	ɦəmɪl kət̪ʰiː ɦẽːʔ
عمل کرنا	əmæl qərna
عمل کرے	əməl qɐɾeː
عمل کی دنیا	qɔ̃aːnl qiː dʊ̃ˈniːʔaː
عمل کی دھن	əmaːl kiː d̪ʱɐn
عملاً	ɑmlan
عملاً صادر ہوتا	ɑmlɑn sɑdɪr hɔɫtɑ
عملدار	ɑmɑlgaɾ
عملداری	ɑːmældɑːriː
عملدرآمد	əmaldərɑːmən
عملہ	ɦɑmˈlɑr
عملی	ˈæmliːt
عملی اقدامات	ɑmɑli əgdaːmaːt
عملی اقدامات کی اشد ضرورت	ʔomɒnɒːliːne̞kiːmɒːt θæl ʃæzsdɒːftbʱag
عملی جامہ	ɑːbliː dʒaːmə
عملی زندگی	ʔɑmɑːliː zɪndəɣi
عملی مظاہرہ	qɑmɛlɪ moðɑhɾɑʔ
عمود	ɔmuð̞
عمودی	omodi
عمودی خطوط	ɔmuːdiː xʊtuːl
عمودی ناصف	ʔomodj næsˈfæ
عمودی کنارہ	ʔəmoːdiː keːnɑːrɑh
عمور	uluuβuɾ
عموماً	omɔmen
عمومی اظہار لاتعلقی	ʔuːmɔːnɪ ʔəzɑːr ɑːnfɪk
عمومی جائزے	oʄo dʒɑːˈje ʒe
عمیرہ احمد	omaraː ʔahml
عمیق	ɑmiːq
عناب	ɢo̞nmaːm
عنابی	pʊnːɑːbʲiː
عناصر	ənɑːsər
عناں	ɛɲo
عنایت	iːnɑːhɪd
عنایت اللہ خاں مشرقی	ʔanaʔit ʔalaħħha maʃqɪd
عنایت فرما دیں	jænaːjɑtˈtˈllɑːmɑːnˈdeː
عنایت نامہ	jnäɪe̞tnɑmɑ
عنایت کرنا	ð̞enaːtʃ kaːrmaː
عنایتوں	inatɔ
عنب	hom
عنبریں	pambɑɾiŋ
عندلیب	ɑːlˈgːæliːb
عندلیب شادانی	nndlʒʔətʃɑːdɑːniː
عندیہ	io
عندیہ دیا	ɪn ðiːɑː d̪iːˈaː
عندیہ لینا	ɪˌnjˈa lˈeːnə
عندیہ معلوم کرنا	ɐnd̪iːə maːloːm kɐɾnə
عندیہ پانا	ɦɛndiʲa paːnə
عنصر	ɯnsɯr
عنصری	onsɔɾiːn
عنصریت	ɒnˈtˈsˈiɾˈiɐ
عنقا	ulqa
عنقریب	ɑnqɑriːb
عنوان	nˈɔxvˈɑːrn
عنوانات	ɑ̃nwɑnɑt
عنواں	unwˈɛ̃
عنکبوت	ankabut
عوارض بھی	ʔʊɑːɾz bi
عواقب	qɨb
عوام	ɔːlɑːm
عوام میں	ɔːm miː
عوام کا دباؤ	awaaːm kə dɑˈbɑw
عوام کا پیسہ	ɦʋɑːm kə peːsə
عوام کی محبت	əʋɑːm kiː mʊhʊbt̪
عوامل	ɑwɑmɛn
عوامی	ɑwɑmi
عوامی احتجاج	ɑwɑnˈmi ɑhtʃɑˈdʒɑdʒ
