'arif	uʔib
sizlär	sʲizɫær
sizlät	sizlˈɛt
sizlätmäk	sizlɛtmɛk
sizni	sʲiznʲi
siči	siti
sičγaq	sɯ̞tʃɢɑq
siŋ	sˈiŋ
siŋdürmäk	sʲiŋzʏ̞rmæk
siŋi	seɪˌŋˌiː
siŋil	sɛnˈgil
siŋillänmäk	sˈiŋillɛnmæk
siŋir	siːr
siŋirlämäk	siŋgjɪlːɛmæk
siŋirlänmäk	ziŋjirlənmɑk
siŋirmäk	sɪ̞ɴjɪlmæk
siŋišmäk	sʲiŋʲɪʃmæk
siŋmäk	sʲiŋmæk
siŋäk	sæŋæk
siŋürmäk	sˈiŋvˈˈrmˈɛk
siŋüt	sfɛɦvˈɛːuttˈ
siš	sʲiʃ
siδük	sʲizʲʊk
slok	sɫɔk
smutri	smutri
so	sø
soj	sɔiː
sojan	fɔˈɪˈɑːn
sojan tutuq	suian tʊ tʊq
sojar	sɔjjɔɾ
sojmaq	soimˈɐk
sojsuq	sɔisˈulq
sojsuqmaq	sɯ̞jsɫqmäq
sojul	fˈɚjuː
sojulmaq	sʊ̞jʊ̞ɫmɑq
sojuq	ʃuˈjok
sojuqmaq	sɯˈjuqmɑq
sojurqa	sʊ̞jʊ̞rqæ
sojušmaq	sʊjʊʃmɑq
sol	sɔl
sol ẹligintä	sɔɫ eːɫ eːgintɑ
sola	sɯ̞ɫɑ
solamamaq	sɯ̞ɫɑmɑmɑq
solamamaq bẹklämämäk	sʊ̞ɫɑmɑq bʲekɫɛmɛmɛk
solamuq	sɯ̞ɫɑmʊ̞q
solat	zɫɑt
solda	sɔɫdaː
solušmaq	sʊ̞uʂmɑq
soma	soma
somakitü	samakitˈtø
son	sˈɔn
soq	sɒq
soqaq	sɑkɑk
soqar	sɑqɑɾ
soqlan	ʃɯ̞qɫɑn
soqlanïrmẹn	sʊ̞qvɑŋɯ̞ɾmɪ̞n
soqlun	ʃɯ̞qɫun
soqlunmaq	sɑqlunmäɾq
soqluq	sɯ̞kɫɯ̞q
soqlušmaq	sɯ̞qɫwʃmɑq
soqmaq	sakmaq
soqqu	squ
soqru	sʊ̞kɾʊ̞
soqta	sɯ̞qtæ
soqtu	sɯ̞qtʊ̞
soqtur	sɑkˈtuɾ
soqturmaq	sɑqturmɑq
soqu	sɒqˈɒh
soqul	sɯ̞qɯ̞w
soqulmaq	sɑqulmɑq
soqušmaq	sʊ̞kʊ̞ʂmɑːq
soqïm	sɑqəm
sormaq	sɔrmaq
sortur	sɔɾtuɾ
sorturmaq	sɯrtuɾmɑq
sorul	sʊ̞rʊ̞ɫ
soruq	sɤrq
soruqmaq	sɔrɨqmɑq
sorušmaq	sʊ̞rʊ̞ʂmɑq
soruγ	tsuɾuh
soruγčï	sɒɾiˈqtʃe
sorïtmaq	sʊ̞rʊ̞tmɑq
sorïšmaq	sʊ̞rʊ̞ʂmɑq
sorγu	sʊ̞rgʊ̞u
sot	sot
sovašurmẹn	suɐʃuːrmɪn
sovuq	sɒvuq
sovušγan	sʊ̞wʊ̞ʂχʊ̞n
sozaq	sɒzɒq
soŋ	sʊ̃ʁ
soŋdamaq	sɑmdaːmɑq
soŋqur	tʃiŋˈqur
soŋramaq	sɯ̞ŋrɑmɑq
soŋuq	sɯ̞ŋoq
soŋïnda	sɔŋɨŋdɑ
soγan	sɔɾan
soγan jïlan	suʁɑn jʊɫɑn
soγlïmaq	sɑɣɫɯ̞mɑq
soγlïtmaq	sɔʁlɨtɨmɑq
soγmaq	sʊ̞rmɑq
soγratmaq	θʊ̞ʁrɑtmɑq
soγrašmaq	sʊ̞ɢɾʊ̞ʂmɑq
soγulmaq	sʊ̞ʁʊ̞ɫmɑq
soγulčan	sʊ̞ʁwtʃjɑn
soγulγan	sʊ̞ʁurʁɑn
soγumaq	sʊ̞gumɑq
soγun	sʊ̞gʊ̞n
soγunluγ	sʊ̞ʁunloq
soγunmaq	sʊ̞ʁunmɑrq
soγuq	sʊ̞ʁʊ̞q
soγuqlanmaq	suʁuqɫænmɑq
soγuqluq	sʊ̞ʁʊ̞qĩq
soγur	sʊ̞gʊ̞r
soγurluγ	sɔʁuɾluːq
soγurmaq	sʊ̞jʊ̞rmɑq
soγut	sˈʌgˈʌt
soγutmaq	sɤgudmɑq
soγušmaq	sʊjʊ̞ʃmɑq
soγïmaq	sʊ̞rmʊ̞q
soγïq	suɢɯ̞q
sparir	spariɾ
stup	p
su	sˈo
su ẹsän	tʃuʃen
sub	sup
subaq	ʃɔbɑq
subarmi	suparma
subsuz	supsus
suburγan	sʊ̞bʊ̞rʁän
subuzγan	sʊbʊzgɑŋ
subï	suba
subïlamaq	sobɫämɑq
subïmaq	sʊbmak
subïtmaq	sʊbətmɑq
subča	sʊ̃pˈtʃˈa
sud	ʃud
sudasumi	tʃiːzisɔmi
sudmaq	sumak
sudturmaq	sutˁuɾmɑq
suduq	sɔdˈq
sudur	ʃudur
suf	suf
sufsa	ʃufˈsɑ
sufsamaq	supsamak
sufšamaq	tʃufʃamɑq
suj	sˈuɪ
suj jazuq	sˌuɪɐzˈuɐq
sujaγu	sʊjɐɾoː
sujran	sʊiɾɑn
sujurqa	sujurqa
sujurqap	sujurqɑp
sujurqap kẹčürgil jazuqïn qamuγ. [йосыф баласагуни]	sujurqap kɛtʃir gel jɑzqɑnɯp qɑmuq
sukrisni	ʃukrʲiznʲi
suksumur	soksomoɾ
sulaq	sʊ̞ɫɑq
suluq	ʃuɫuɟ
sulïndï	sʏvˈɑndˈɑ
suma	ʃˈuma
sumaq	sumɑq
sumaqïtu	samakito
sumir	sʊmɪr
sumlušmaq	sʊ̞mɫʊ̞ʂmɑq
sumlïm	sʊ̞mɫɯ̞m
sumlïmaq	sʊ̞mɫɑmɑq
sumlït	sʊ̞mɫɯ̞t
sumlïtmaq	sʊ̞mwəzmɑq
sumlïš	sʊ̞mˈvɑːʃ
sumlïšmaq	sʊ̞mɫɑʂmɑq
sun	sʊn
suna	sumˈa
sundurï	sʊ̞ndʊ̞rʊ̞
sundïlač	soŋzoɰɑtɕ
sundïrï	sʊ̃ntʃaɾɾa
sunmaq	sunmaq
sunu	sˈuno
sunul	ʃunu
sunušmaq	sɵnɵʃmɑq
sunzï	sʊ̃dʒɑ
sunï	sʊ̞nɑ
supravi	supravʲi
supsat	sʊ̞bˈsɑːt
suq	sok
suq ẹrŋäk	sɵqɪ̞rnʲɪɛk
suq ẹŋräk	sˈukɪŋ rˈɛk
suqaq	sɑqɑq
suqaqlïγ	sʊ̞qɑqɫɯ̞ʁ
suqar	sʊ̞qɑr
suqarlač	sqɑrɫɑtʃ
suqlan	suqlɑn
suqluq	ʃuqluɣ
suqmaq	suqmɑq
suqun	suqn
suqunturnaq	sukunturnɑq
suqïmaq	sʊ̞qʊ̞mɑq
suqïnmaq	sʊ̞qɯ̞nmäk
sur	ʃur
sur sur öp	sʊ̞rˈsʊ̞r ʌp
suramaq	sʊ̞rɑmɑq
surja	suljɑ
surqač	sʊ̞rqäːtʃ
surquc	sʊ̞rkʊ̞ʒ
surqucla	sʊ̞rkʊ̞ʃɯ̞ɫɑ
surquč	sʊ̞rkài̯tʃ
surqučla	sʊrkɵtʃɫa
surqučlamaq	surqutʃlɑmɑq
surqučlanmaq	sʊ̞rqʊ̞tʃɫɑnmɑq
suruš	sʊruʃ
surušlamaq	zʊ̞rʊ̞ʂɫämɑq
surušlanmaq	sʊ̞rʊ̞ʂɫänmɑq
surät	sʏrɛt
surčïtmaq	sɵɾtʃɵtmaɫq
sus	sus
susaq	susaq
susïq	sʊ̞sʊ̞q
susγaq	suzʁɑq
sut	sʌt
sutmaq	sʊ̞tmɑq
sutrasan	sʊtrɐsˈɑn
suttur	sʊ̞tːuɾ
sutturmaq	sʊ̞ttuɾmɑq
sutur	pʃˈutuɾ
suv	suv
suv arïqtïn qardï.	sɵɫ ɑrɯ̞qtɪ̞n qɑrðɯ̞
suv ičrä balïq	sɯ̞w ɪ̞tʃɪ̞rɛ bɑɫɯ̞q
suv jolï	sˈuv jɒɫˈɑ
suv julduz	sɔvjɔɫ dos
suv jutturmaq	sʊ̞u jʊ̞t fʊ̞rmɑq
suv sačγïrmaq	suu̯sɑtʃ qɯ̞rmɑq
suv ögän	sʊf əˈgɑːn
suva	ʃuɫä
suval	sʊaɫ
suvalmaq	sʊ̞æɫmɑq
suvarmaq	sʊ̞rmɑq
suvat	sˈuɐt
suvašmaq	sʊɐʃmɑq
suvla	sʊ̞uɫä
suvlamaq	sʊ̞ɫɑmɑq
suvlan	suɫɫɑn
suvlanmaq	suɫlammɑq
suvlaq	sʊ̞ɫɑq
suvlat	sʊ̞uɫɑt
suvlatmaq	suɫbwtmak
suvlaŋ	slˈɑˈŋ
suvlaγ	subɫäx
suvluk	sʊbɫuːq
suvluq	sɔɫuq
suvqa qarmaq	sʊ̞uqɑ qɑrbɑq
suvqa toqïmaq	suqɑtɑqmɑq
suvrarmaq	sʊ̞bɾɑrmɑq
suvsa	sufsah
suvsalaq	sʊ̞vsɑɫɑq
suvsamaq	susɑmɑq
suvsat	sufsat
suvsatmaq	sʊ̞bsɑtmäq
suvsuš	supsˈuʃ
suvsïmaq	sʊ̞bsʊmɑq
suvulmaq	sʊ̞bwlmɑq
suvuq	sʊvˈoːq
suvï	sua
suvïq	sˈuːaq
suvïšmaq	sʊɾʃmak
suvïγlanmaq	sʊ̞uɯ̞qɫänmɑq
suvčï	tsoːˈtjɛ
suvγardačï	sʏbʁʏrdɑtʃi
suvγarišmaq	sʊ̞bʁɑrʊ̞ʂmɑq
suvγarmaq	sʊ̞ʁärmɑq
suvγartmaq	sʊ̞uɢɑrtbɑq
suvγarunmaq	sʏbʁɑrɯ̞nmɑq
suvγarïmsïnmaq	sʊ̞wʊ̞ʁärɯ̞msɯ̞nmɑq
suvγarïγlï	sʊ̞rʊ̞ʁːʊ̞ɫɑ
suvγarïγsaq	sʊ̞uʁärʊ̞qsɑq
suvγarγučï	sʊ̞rʁɑrɢutʃe
suw	sʊ
suwal	suwɑl
suwla	sʊ̞uɫä
suwlan	suɫɫoːn
suwlat	sʊ̞uɫɑt
suwluq	suɫuq
suwsa	soːlsɑ
suwsat	sˈoːsat
suwuq	suɣuq
suz	suz
suzuq	suzuk
suč	sutʃ
sučlunmaq	sutʃlɯnmak
sučlušmaq	sʊ̞tʃɫʊ̞ʂmɑq
sučulmaq	sutʃuɫmaq
sučušmaq	sʊ̞tʃʊ̞ʃmɑq
sučïl	sˈutʃʌɭ
sučïmaq	sutʃəmɐq
sučïtmaq	sˈutʃitmˈɑk
sučγurmaq	sʊtʃhuɾmɑq
suγ	sˈuχ
suγdïč	sɵðɑtʃ
suγratmaq	sʊ̞ɢɾätmäk
suγun	sʊɣən
suγun müŋüzi	sɔgɔn mˈynsyː
suγur	suɣ̞uɾ
suḥbät	sʊ̞χbæt
suḥbät ẹtmäk	sʊ̞hbæt ʲetmæk
säbäb	sɛbˈɛp
säbäb bol	seˈbæp bol
säbäb boldï ẹlig, ačildi qapuγ. [йосыф баласагуни]	sɛbæp bɔl zɑ ɪ̞jɪ̞ɫʲɪʃ ɑtʃɪ̞ɫdɪ̞ qɑpwq
säbäb bolmaq	sæβæp boɫmɑq
säfih	tˈəsˈfˈiʁ
säfih ẹr tili öz bašï dušmanï. [әхмәд йүгнәки]	sæfʲiɦʲiɾ tʲeɾi ʔøz bɑʃɯ̞ duʐmɑnɯ̞
säfär	sæfɛr
sähv	sʲaxʲiw
säjid	ʃæːˈʔit
säkändiz	sakãn̪d̪is
säkäntir	sekænʲːr
sälam	sæɫɑm
sälam ol kišikä sälamät jolï, sälam qïldi ẹrsä, uruldï uiï. [йосыф баласагуни]	sælɛmuːn kɪ̞ʃikæ sæ̹lɛmhɛtq ʏɫʏ̞sæ̹lɛm qɯ̞ɫdɑ ʲirzæ oɾwɫdɯ̞ uqɫɑ
sälamät	zæ̹lämæt
sälim	sæ̹lʲim
säma	sɛmɑ
sämaḥät	smaqət
säma’	sɛmˈɔʁ
säma’ urmaq	θæmɑ urmɑq
säma’ ẹtmäk	sɛmɑ ʔitmæk
säna’	sænˈq
säna’ almaq	senoʁ ɑlmɑq
säpät	sɛpɛt
sära’	sɾɑːq
särätan	sɛrɛtɑn
sävab	pswɛb
säza	sˈɛzɑ
säχavät	sɐχæwˈɛt
säχavät sämaḥät	saxawt smɑːhæt
sï	sɯ̞
sïbuzγu	sbzɣv
sïbïzγu	sabəzɾuːh
sïdrïlmaq	sɯ̞dɯ̞rɯ̞ɫmɑq
sïdrïm	sadrˈɑn
sïdrïm ïšlïγ	sɑdˈrɯmɯˈʃˈlɯˈʁ
sïdrïšmaq	sɯ̞zrʊ̞ʂmɑq
sïdï	sɔda
sïdïrmaq	sɑdɑrmɑq
sïdïrγan	sɯˈdərˈgɑn
sïdïrγaq	sɯ̞ðɯ̞rʁɑq
sïdïγ	sˈɛ̃də
sïjumaq	siumɑq
sïmaq	smɑq
sïmaq buzmaq	smɑq buzmɑq
sïmaŋ	səmɑŋ
sïmaŋlar	sɯmɑŋlar
sïmsïmraq	sɑmsʔæmɾɑq
sïn	sˈɛn
sïn söŋük	sõːsøːnglˈʌk
sïnalmaq	sʊ̞nɑmɑq
sïnamaq	sɯ̞nɑmɑq
sïnatmaq	sɑnɑtmäq
sïndu	sãn̪d̪u
sïnlïγ	fɯ̞mɫɑq
sïnmaq	fɪ̞nmäq
sïnuq	sɐnˈwk
sïnčγan	santʃaːn
sïp	sˈʌp
sïq	sɯ̞q
sïqamaq	sqɑmɑq
sïqlïšmaq	sɯ̞qɫɯ̞ʂmɑq
sïqman	sqɑmən
sïqmaq	θˈqmɑq
sïqrïmaq	sɯ̞qrɯ̞mɑq
sïqrïp	fɑkɾb
sïqrïp üni jurlaju, sïqtap közi örtülür. [мәхмүд кашгарый]	sɯ̞qtɑp ʏnʲi jurɫäjʊ̞ sɯ̞qtɑp kʏ̞ðʲi ɪ̞r tʏgɪ̞r
sïqrïšmaq	sɑqɯ̞rɯ̞ʂmɑq
sïqtadïlar	sɯ̞qtɑdɯ̞ɫɑr
sïqtap	sɑqtɑp
sïqturmaq	sɑqtʊ̞rmɑq
sïqïlmaq	sɯ̞qɯ̞ɫmɑq
sïqïrmaq	sqɯ̞rmɑq
sïqïrqan	sɑqɯ̞rqɑn
sïqïš	sɯˈqɯʃ
sïqïšmaq	sɯ̞qɯ̞ʂmɑq
sïr	θɯ̞r
sïrlamaq	sɯ̞rɫämɑq
sïrlanmaq	sɯ̞rɫɑnmɑq
sïrlatmaq	sɯ̞rɫätmɑq
sïrlïγ	tʃɾɫɦ
sïrmaq	sɯ̞rmɑq
sïrt	θɯ̞rtː
sïrtlamaq	θɯ̞rtɫämɑq
sïrtïγ	sɯ̞rtʊ̞ʁ
sïruq	θrɑq
sïruqluq	θɯ̞rʊ̞qɫʊ̞q
sïrïlmaq	sɯ̞rɯ̞ɫmɑq
sïrïmaq	sɯ̞rɯ̞mɑq
sïrïtmaq	sɯ̞rɯ̞tmäq
sïrïčγa	srtʃɣa
sïrïšmaq	srʃmaːq
sïsar	susɑɾ
sïsmaq	suzmɑq
sïtačï	satˈa
sïtmaq	sɯ̞tmɑq
sïturmaq	sɑtsʊrmɑq
sïtïr	sɯ̞tɯ̞r
sïtγalmaq	sɑtʁɑɑlmɑq
sïtγamaq	satumaiːq
sïtγanmaq	sɯtɢɑnmɑq
sïtγap tutmaq	sɯtɢɑp tutmɑq
sïtγašmaq	sɯzgˈɑʃmɑˈq
sïzlamaq	sɯzɫämɑq
sïzlatmaq	sɯzˈlɑtmɑq
sïzlatsï	sazɫatstso
sïzlaγ	sɯzɫaɣ
sïzmaq	fizmɑq
sïzïtmaq	sɯzɯtbaq
sïzγurmaq	sizʁurmɑq
sïčmaq	sɯtʃmɑq
sïčturmaq	sɪ̞tʃtʊ̞rmɑq
sïčï	satʃa
sïčïlïγ	sɑtʃɑɫɯ̞q
sïčït	satʃet
sïčïtmaq	sɑtʃɯtmɑq
sïčγan	sɑtʃχɑn
sïŋarlamaq	θɯ̞ŋɑrɫɑmɑq
sïŋarsuq	sɯ̞ŋɑrsuːq
sïŋqu	sæŋqu
sïŋqu sẹli tutuŋ	sɐ̃ŋkˈoʃ fɨɾˈitːutuŋ
sïŋuq	fæˈnuːq
sïŋïlamaq	sɯ̞ŋɯ̞ɫɑmɑq
sïš	sɯɾ
sïšïlmaq	sɯ̞ʂɯ̞ɫmɑq
sïγalï	sɯ̞ʁɑɫæ
sïγan	sɢɒn
sïγdatmaq	sɯ̞ʁdʊ̞ätmɑq
sïγmaq	sɯ̞ʁmɑq
sïγra	sˈɣra
sïγrušmaq	sɯ̞ʁrʊ̞ʂmɑq
sïγtamaq	sɯ̞gtämɑq
sïγtatmaq	sɯztɑtmɑq
sïγtašmaq	sɯ̞qtɑʂmɑq
sïγturmaq	sɯ̞qtʊ̞rmɑq
sïγun	sɣoːn
sïγurmaq	sɤʁurmɑq
sïγzalmaq	sɯ̞ʁzɑɫmɑq
sïγzamaq	sɯ̞ʁzɑmäq
sïγzaγ	sɯzɑq
sïγzïγ	sæɢzæɢ
sïγïnmaq	sɯ̞ʁɯ̞nmɑq
sïγïnγu	sɯ̞ʁɯ̞nru
sïγïr	sɐgər
sïγïrlamaq	sɯ̞ʁɯ̞rɫɑmɑq
sïγïrlïγ	sɯ̞ʁɯ̞rɫɯ̞q
sïγïrï	sˈɣˈirˈɑ
sïγïrčuq	sɯˈgɯrtʃoq
sïγïrčïq	sɯˈʁɯrtʃɯk
sïγït	sɣət
sïδïrmaq	fɯ̞ðɯ̞rmɑq
sïχtamaq	sɯ̞qsɑmɑq
sïχtatmaq	sɯ̞qtʃʊ̞tmɑq
sïχtašmaq	sɯ̞qtɑʂmɑq
sïχït	sˈɐxɐt
söbi	səbˈi
sög	søv
sögmäk	fˈʏgme
sögtür	sʊ̞ktʊr
sögtürmäk	sʏ̞ktyrmɛk
sögä	səgˈa
sögük	sʏ̞gʏ̞k
sögüt	sˈɪgɚt
sögütlän	sʏ̞gʏ̞tlæn
sögütlänmäk	sʏgytlænmæk
sögütlüg	kəgˈutluːg
sögütlük	sˈɪtˈagʊdlˈʊk
sögüš	sˈɔ̃gˈuʃ
sögüšmäk	sˈɵgʃmˈɛk
sök	ʃɪ̞k
söki	ɛʃke
sökkül	sekkul
söklün	ʃaklˈɔn
söklünmäk	səklˈilmɛk
söklünüp	syglynyp
söklünčü	səplˈintˈˈ
sökmäk	ʃɪ̞kmæk
sökmämäk	sʲɪkmæmæk
sökmän	ʃɪ̞kɪ̞mɪ̞n
sökmänlän	sʲɪkmænlæn
sökmänlänmäk	sʏ̞kmænɫɛnmæk
sökni	sʲɪkˈniː
sökti	sʌbti
söktüm	sʏ̞ktʏ̞m
söktür	sʲɛktʊ̞r
söktürmäk	sʏ̞ptʏ̞rmæk
sökä	sɛkɛ
sökäl	sʲɛkɛl
sökärmẹn	sʏgɛrmɛn
sökük	ʃˈɛkˈʌkˈ
sökük sök	ʃɯ̞kʏ̞k ʃʏ̞k
sökül	ʃakul
sökülmäk	sə-kɛlˈnmɛk
sökün	sekjøn
sökünmäk	səpˈinbˌɛk
söküt	ʃakut
söküšmäk	səkˈuʃmˈɛk
sömrüšmäk	sʏ̞mˈrʏ̞ʂmæk
sömür	ʃˈɛmmˈʌʁ
sömürgän	sømʉrgæn
sömürmäk	semylmæk
sön	sɪ̞n
söntür	sintœr
sövdüm	sœbˈduːm
sövgül	sˈɛfgˈuʁl
sövlämäk	sœjˈleˈmɛk
sövlän	sɛvlɛn
sövlänmäk	sevɾenmek
sövmäk	sʲivmʲek
sövär ol	sʏ̞vær ɑɫ
sövärmẹn	sʏ̞bærmɛn
sövärsẹn	sʏbærsen
sövünčlärmẹn	sivintʃlɛrmɪn
sövüš	sˈuz
söz	søz
söz aslï	søz ɑfˈlɑr
söz aslï tüpi	tɛuzə flˈɑtˈupˈi
söz ačmaq	sʲɪzʲɑtʃmɑq
söz bašlamaq	sʏ̞z bɑʂɫɑmɑq
söz bẹr	søz bɛr
söz bẹrmäk	søz bɪrmæk
söz jarat	soz jɑˈrɑt
söz jaratmaq	søz jɑrɑtmɑq
söz jasïlamaq	søz jɑˈsɯlɑmɑq
söz jaŋïlmaq	syð jɑŋɯ̞ɫmɑq
söz kẹs	sʊzkˈɪz
söz kẹsil	sœz kisˈil
söz kẹsilmäk	søz kesilmɛk
söz kẹsmäk	søz kɪsmɛk
söz kẹv	søz sɛf
söz kẹvmäk	siz gˈul nˈæk
söz qabart	sʏ̞sqä bɑrt
söz qabartmaq	sʏ̞s qɑbɑrtmɑq
söz qulaqqa čaqmaq	sʲiz qulɑqqɑ tʃɑqmɑq
söz sözlä	sʏ̞z sʏ̞zɫæ
söz sözlämäk	sˈøz sˈøzlɛnmˈɛk
söz tiz	søz tiz
söz tizmäk	kə spismˈak
söz tut	sʲo tɨ ʐa
söz tutmaq	sʲɪs tut mɑq
söz tüpi	sˈə stupˈi
söz ula	søzɯnɫɑ
söz ulamaq	søz uɫɑmɑq
söz uzat	søz ursˈɑt
söz uzatmaq	sʏ̞s ʊ̞zɑtmɑq
söz ïδmaq	ʃiz ʔɔðmɑq
söz ört	siz ɜːɾt
söz örtmäk	sʏ̞z ʏ̞rtmɛk
söz ötäl	sœz etˈɛl
söz ötälmäk	sʃˈ tzˈltalmˈak
söz üz	søz ʔuz
söz üzmäk	sˈøz yzmˈɛk
sözdin jan	sozdiŋijan
sözdin janmaq	søzdiŋ jɑnmaq
sözin	søzɛn
sözin kẹsti, ačtï aγï qaznaqï, ülädi üküš nẹŋ — čïγajlar ḥaqï. [йосыф баласагуни]	sizjɪn kɪsti ʔɑtʃtɑ ʔɑʁʁɑ qɑzmɑqqɯ ʔulɛldi uqyʃnæm tʃiʁɑjlɑr χɑqɯ̞
sözin sözladi sözka ul tüp urup.	søzɯn søzlɛridi søzkæ ʔoltu bɔrup
sözkijä	tʃɨsʲkiːjɛ
sözkä	sʏ̞skæ
sözkä süčinmäk	kə sʌkˈa sˈutˈinmˈɛk
sözkäli	sʊ̃skəliː
sözlä	sʏ̞zlæ
sözlädim	seˈðlɛðim
sözlädimiz	søzlɛɾɑˈmɯmɯz
sözlälmäk	søzlælmæk
sözlämäk	sœzlɛmæk
sözlämäk-mü, jẹgräk azu šük turmaq-mu?	søzlɛmmɛkmu jɪkrɛk ɑzɑ ʃyk turmɑkmu
sözlämäkin tïltaγïnta	sʏ̞zɫæmæk jɪ̞n tʊ̞ɫtɑʁʊ̞ntɑ
sözlämäsig	sʏ̞zɫɛmæʂʲik
sözlämäsig irinčülüg	sœzlɛm æsijkʲiʁiŋtʲylʲik
sözlän	sʏzlæn
sözlänmä	zøzlɛnmɛ
sözlänmäk	zøzlɛnmɛk
sözlät	sʏzlɛt
sözlätmäk	søzlɛtmɛk
sözläš	søzɛɾ
sözläšgülüg	sœzlɛʃgylœk
sözläšmäk	søzlɛrʃmæk
sözlük	sozlk
sözmäk sabmaq	siznæk sɑbmäq
sözägrï kišï	søzɛg ʁekiʃi
sözäŋri	suzˈŋri
sözüg az qïlmaq	ʃizjʊ̞ gɑθ qɑɫmɑq
sözüŋdin özüŋgä ökünč kẹlmäsün. [әхмәд йүгнәки]	søzyŋ diːn øzymgæ ˈœkœntʃ kil mɛsœn
söŋük	sɛʁˈʌk
söŋükiŋä	sɪ̞nʲukːigæ
söŋükiŋä tẹgi ẹti jini söklünüp. [uygurische sprachdenkmäler]	senyˈkɛ̃ʁˈtegˈi etˈi ɑ̃nˈi səklˈynˈyp
söŋüklär ulaγï	ʃi̠mʏ̞kɫær uɫäʁɯ̞
sü	sˈɵ
sü aqmaq	søˈˈamˈɑq
sü sürti	sʲusʲurtʲi
südük	səduk
süglin	sʊgəlɪn
süglün	psʊːglʊn
sügrüg	siwgruk
sügül	səgˈyl
sügülkä	sʏgjɪlkæ
sük	sʲok
süknä	sʊ̞knæ
süknägü	suknagˈu
süksük	sʲukʂuk
sükän	suaːn
sükü	fukˈa
sükül	sˈə-kˈul
sül	sʲul
süllüg	sˈəlˈœg
sülä	pʲsylæ
sülädi	tsyɾ
sülälim	ʃyliʔaliːm
sülälmäk	søjɛtmɛk
sülämäk	zylɛmɑk
süläp	zylˈɛp
sülät	sʏlɛt
sülätmäk	sylˈɛtmɛk
sülätti	sylˈɛtdi
sülüg	tsolˈog
süm	sʏ̞m
sümsüčik	synsytʃik
sünnät	sʏ̞nːæt
sünnät ašï	sʏ̞nne tɑʂɯ̞
sünük	sʏ̞nʏk
süp	ʃˈup
süp süzük	sʏ̞pʂʏ̞zyk
süprük	sʏprʲok
süprülmäk	suprˈolʲmˈak
süpründi	syprenˈdi
süpür	ʃʏpʏr
süpürgü	suːpɛrgoo
süpürmäk	sʏpɾmæk
sür	sʲur
sürdi	sʊrdiː
sürgüči	sʌɾgutʃi
sürilädi	sʏrjɪlɛdi
sürilämäk	syrjɫɛmæk
sürk	sʏrk
sürkilädi	sʏrkiːrɛdi
sürkilämäk	sʏ̞rkʲiɫæmæk
sürkülädi	sirkylɛdɪ
sürkülämäk	sʏ̞rkʏlæmæk
sürmä	sʏrmæ
sürmäk	sʏrmæk
sürmäli	syrmæ̹lig
sürmälär	sʏrmæ̹læɾ
sürsädi	sʏrˈsɛdɪ
sürsämäk	sʏrsæmæk
sürtmäk	ätsʏ̞rtmæk
sürtük	sʏrtʏk
sürtülmäk	sʏ̞rtʏlmæk
sürtünmäk	sʊrtənmak
sürtürmäk	syrtʊrmæk
sürtüšmäk	sʏrtʏ̞ʂmɛk
sürämäk	syrɛmæk
sürär	syrær
sürüg	sʲurʲɛk
sürülgän	sʏɾylgæn
sürülmäk	s̺yrylmæk
süründi	syrindi
sürünmäk	zʏ̞rʏ̞nmæk
sürüšmäk	sʏrˌɛʃmˈɛk
sürčitmäk	sørtʃitmɛk
sürčmäk	surtʃmʃk
sürčäk	sʏrˈtʃɛk
sürčük	sɯɾtʃok
süs	ʃøʃ
süsgirmäk	sʏzgʲiɾmæk
süsgän	suzgan
süsi	səˈsiː
süsi kẹlti, qarasïn jïγdïm, bẹgi qačdï.	sisi kilti kɑːɑsɯn jɯgɯdɯm begi kɑtʃlɑ
süsiläšmäk	kəlkˈilˈɛsmak
süsišmäk	sʏsiʃmˈɛk
süsmäk	sʏ̞smak
süt	ʃˈɛt
süt ötrüm	sʏtɛ drʏm
süt ügrä	sʲɛt tʏgrɛ
sütgärmäk	zʏ̞tgʲɛrmæk
sütü	sytˈto
süvlin	sʏ̞lɪn
süvri	səvˈɾˈe
süvritmäk	tˈəʊrɪtmɛk
süvün	seven
süzdüm	syzdøm
süzgün	sʏ̞zgʏn
süzlünmäk	sʏ̞zʏlʏ̞nmæk
süzlüšmäk	syzdˈysmˈɛk
süzmä	sʏ̞ʒmæ
süzmäk	sʏ̞zmʏ̞k
süztürmäk	sʏ̞stʏ̞rmæk
süzuk	syzˈok
süzärmẹn	sʏzærmen
süzük	ʃyzyk
süzük suv aqïttïŋ, uδïttï otuγ.	sʏ̞zʏ̞k sʊ̞wp ɑʁɯ̞tːɑŋ ujɯ̞tːɯ̞ ʊ̞tʊ̞ɫʁ
süzük turuq	sʏ̞zʏ̞k tʊ̞rʊ̞q
süzülmäk	sˈəylmˈak
süzündi	sʏ̞sʏndʏ̞
süzünmäk	sʏ̞zʏ̞nˈmæk
süčig jaγlïγ aš	sʏtʧik jɑːɫɯ̞ʁɑʂ
süčik	sytjˈkˈ
süčimäk	tsutjmek
süčinmäk	tˈə
süčirmäk	sʊtʃɪɾmɛk
süčitmäk	sətˈitmˈɛk
süčišmäk	sytʃˈiʃˈmɛk
süčüg	sutˈuk
