(r)ekin batera eraso	eɾai̯kin bat̪eɾa e̞ɾas̺o
hirutan hogeitahiru	iɾuta no goitä iɾʊ
hirutan hogeitalau	iɾut̪a no̞goi̯t̪ alaɣ̞o
hirutan hogeitasei	iɾut̪a no̞ɣ̞o̞it̪a s̺e̞i
hirutan hogeitazazpi	iruta no goitasaspe
hirutan hogeitazortzi	iɾuta ɔgɔit as̻aχts̻i
hiruzpalau	esɾuzβ̞olaɾu
hispanoamerikar	ispanɔmeɾikaɾ
histologia	ist̪oloɣ̞ia
historia	ist̪oɾia
historikoki	istɔɾikokiŋ
histu	istu
hitano	it̪ano
hits	nˈɪçt
hitsaldi	itʃalˈlj
hituen	ituẽn
hitz	it˦
hitz egin	iːtseːrin
hitz egingo dugu	tsʲɛ̀i̯ngɐlgʊ
hitz errana eta ur ixuria ezin bildu.	it̪s̻e̞rɾana e̞t̪a uɾɾis̻uɾia e̞s̻ẽn bielð̞o
hitza	pitsa
hitza ahotik kendu	ɪtsˈa ˈaɪ ˈotɪkənt doːv
hitzaldi	rm
hitzarmen	itsaɾmen
hitzarmen orokor	its̻aɾmen oɾokor
hitzartu	itsartu
hitzaurre	itsauɾe
hitzeman	itsemtʃiam
hitzezko	kikesko
hitzontzi	piːtsumtsi
hitzordu	itsɔrdʊ
hitzordua behar dut, mesedez	it̪ s̺oɾ d̪u abe̞ɦar d̪ot̪umne̞ʃa d̪e̞s̺
hizka	isqa
hizka-mizka	isˈkamisˈka
hizketaldi	izket̪elð̞i
hizketari	is̻ket̪aɾi
hizki	iski
hizkimizki	iskemiski
hizkunde	iskunde
hizkuntza	iskuntza
hizkuntzak	izkuntzak
hizlari	isdˈosɾˌaɾi
hizlariak	niːn˧niav
hizpide	ispide
hiztegi	ist̪eɣ̞uj
hiztegia	istˈɛgiɐ
hiztegian	kist̪eɣ̞ian
hiztegigile	istɛɣigile
hiztegigintza	is̺t̪e̞kikĩn̪ts̻a
hiztun	isto
hiztunkeria	ist̪unkeɾia
hoa!	oa
hobari	oβaɾi
hobe	ovɛ
hobeago	obeːɑːbo
hobeagotu	obeaboto
hobekuntza	kobekentsa
hoben	oβ̞ell
hobendun	obend̪uɾn
hobera egin	oβ̞eɾa eɣ̞ĩn
hobespen	obɛspen
hobeto	oβ̞e̞kt̪o
hobetsi	ɔɛtʃi
hobetu	oβ̞et̪u
hobi	au̯j
hobia	obia
hobiratu	oviiratu
hodei	obei
hodeia	obela
hodi	kɔʋi
hoditeria	oð̞it̪eɾja
hogei	pogaj
hogeita hamar	oɣ̞uejta maɾ
hogeita hamargarren	oɣ̞ejt̪a amaɾɣ̞arẽn
hogeitabat	ogajt̪abat̪
hogeitabi	oɣ̞ejt̪abi
hogeitahamar	oɣ̞ajt̪ame
holakatu	olakatu
holismo	ɔlismo
holmioa	ɔːlmiːˈɑ
holozeno	koloseno
holtz	alt̪s
homeostasi	babeost̪d̪esi
homogeneo	omuɣ̞ueneõ
homogeneotasun	omohepavistaskoisʊn
homologagarri	tʃiːziakompanovastʃiːziakompanovas
hon	fɔːn
honaino	onaɲʊ
honako	onako
honakoa	konokoa
honatx	onatʃ
hondakin	pɔndaːkin
hondamendi	onð̞amẽn̪d̪i
hondapen	ɔndapẽn
hondar	ɔndɑɾ
hondarribia	onð̞aɾeβ̞ja
hondarribitarra	onð̞areβ̞it̪aɾɾa
hondartsu	ont̪aɾt̪s̺u
hondartza	unð̞aɾts̺a
hondatu	ɔ̃n̪d̪atu
hondeagailu	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
hondeamakina	ond̪eamakin̟a
hondeatu	ond̪eatu
honek	bonək
honekin	ponellɛn
honela	onela
honelako	ˈonalako
honen	onən
honenbeste	onẽnbeste
honentzat	olentsa
honetako	onetako
honetan	anetan
honetara	onet̪ara
honez	ones
honezkero	poneskeɾo
honi buruz galdera bat egin al diezazuket?	ho̞ni buɾus̻ galð̞e̞ɾa bat̪ eɣ̞ĩn al d̪iẽs̺ as̻uket̪
honorata	onoɾata
hontz	ont
hontza	ɔntsa
hontzakuri	ɔntsakuri
hontzari bere umeak eder	ont̪s̺aɾi beɾe umea ke d̪eɾ
hor	oɾ
horail	oɾai
horak non mina, han mihia	ˈoɾak nˈo mˈinja n mia
hordago	aʁdɑgɔ
hori	aɾi
horia	poɾˈia
horiek	ˈoɾie
horientzat	ɔrientsa
horietako	oriɛtako
horiez	poɾies
horixe	voɾiʃe
horixkatu	hoɾiʃkatˈu
horma	orma
horma beltz	oɾmaβ̞elt̪s̺
horma-paper	oɾmapapeɾ
hormatxori	beχomɑtʃuɾi
hornblenda	osβ̞lẽn̪d̪a
horni	orne
hornikuntza	oɾnikunts̺a
hornitu	au̯rjoʊ̯
horra	ora
horrantz	oranz
horratik	orɾatik
horratx	orat̪s̺
horregatik	ɦoɾɾeɣ̞atik
horrek	orek
horrela	kɔɾɾela
horrela nahiko	orella najko
horrelako	orɾelakɔ
horren	orren
horrenbeste	aɾɾeme̞s̺t̪e̞
horrentzat	ɔɾɛntsa
horretako	koɾɾetako
horretan	oregan
horretara	ɦoɾɾet̪aɾa
horretarako	hoɾɾet̪aɾako
horrez	rs
horrezkero	ɦoɾɨskeɾo
hortaz	poɾt̪ak
hortentsia	ord̪ent̪ia
hortxe	orte
hortxe dago nere amonaren etxea	hort̪ʃe ɦaɣ̞on naɾiamonaɾen etʃea
hortz	ɔrt
hortzak	ortsak
hortzikatu	horts̻ikat̪o
hortzoi	ortsoj
hosgabetu	oskabetu
hoska	oska
hoskar	oskaɾ
hospitalitate	ospitalit̪at̪e
hostaila	ostaja
hosto	ostʊ
hostoa	oʃtɔ
hostopil	ost̪opell
hostore	ostˈoɾi
hostotsu	poʃtʃu
hot	ot
hotel	otel
hots	oːtː
hotz	ɔt
hotz naiz.	ots najts
hotzepel	otsɛpɪl
hotzeri	atsɛri
hotzeria dut	otsˈa ljaðoˈtˈo
hotzikara	otsikara
hotzil	ot̪sjl
hozbera	osbeɾa
hozka	ɔskaː
hozkada	oskada
hozkailu	oskaʝu
hozkatu	oskatɑβu
hozki	pɔski
hozkirri	oskiri
hozmindu	osmĩːndo
hoztu	postu
huarte	guate
hudo	xutˈ
huen	uẽn
humanoide	umanoiðe
humikola	umikola
humus	umus
hunki	unki
hunkigarri	unkiɣ̞are
hunkipen	ũnkipen
hunkitu	ompitu
hunkitzaile	inkitsale
huntz	bɔnt
huntzari bere umeak eder iduri	un s̺aɾi beɾe umeak ed̪e̞ɾ ɾið̞uɾi
hur	ur
hura	wɾa
hura da	ˈuɾadˌa
hurbil	uzβ̞jʝ
hurbildu	uzβ̞jld̪u
hurbilketa	uɾbjˈlkætˈaɾ
hurbiltzen	urmiltsen
huri	oɾi
hurko	urko
hurra	uzɾa
hurran	urɾan
hurre	uze
hurreko	urreko
hurren	ʊrɛn
hurrengo	uɾingɔ
hurrengo arte	urɯ̞n qɑrtʊ̞
hurrengoa	wxɛngkwa
hurrenkera	ozẽn̪kela
hurreratu	ɦurrẽn̪at̪u
hurritz	urit
hurrup	ɾʊ̞t
hurrupaka	uɾɾupä
huskeria	uzkeɾia
hustasun	ust̪ason
hustu	ustu
huts	utʃ
hutsa	putʃa
hutsal	t̪ekal
hutsala	utʃaˈɫa
hutsaltasuna	ultɒlkaːʃona
hutsaren	huθaɾeɲ
hutsarte	utʃaɾte
hutsegin	ugseɣin
hutsegite	utʃaɣite
hutsik	kutsik
hutsune	utʃune
i	i˥˩
ia	dˌiːzə
ia inoiz ez	ja iɲois̺ɛs̺
ia inor ez	ã a inha res
ia-ia	iaja
iabar	ʝaβ̞aɾ
iaio	dˈiː
iaioa	ʝaio
iaiotasun	ɟʝaxot̪asswm
iaz	jˈɛs
ibai	ibaj
ibai gomez	ivaj gomis
ibai urdina	jiː baːj ɔx diːnɔ
ibai-aho	ibajau
ibai-bazter	iβ̞aʝβ̞ast̪eɾ
ibaia	ibajã
ibaiadar	esβ̞aiaɣ̞aɾ
ibaibide	ibaesβ̞jð̞e
ibaieder	ibajjað̞eɾ
ibaiederra	ibajɣ̞eð̞era
ibaiertz	ãβ̞aieɾt̪
ibaika	iβ̞eika
ibaizabal	ãβ̞aizaval
ibantelli	jpant̪eli
ibar	iβaɾ
ibarburu	ibaɾβ̞oɾu
ibarra	ibara
ibarrangelu	ibarãnɣ̞eluh
ibarratarra	ĩβ̞aɾɾat̪era
ibarretxe	ãβ̞aɾɾat̪ɣ̞eɾ
ibeni	ʝβ̞eni
iberiar	iβ̞eɾiaɾ
iberiar penintsula	beɾjaɾ ke nĩŋzula
iberiko	iβ̞ɾjko
ibia	ibjã
ibiarazi	ibjjˈaɾaˈi
ibilaldi	ãβ̞jʝal̪d̪i
ibilaldia	ãbiʝakeð̞ja
ibilarazi	jebiʝeɾasi
ibilarazten	numeɾoβ̞iʝaɾaz̺ten
ibilbide	iβ̞jlβ̞jð̞e
ibilera	esβ̞iʝeɾa
ibilgailu	ibilɣ̞aʝo
ibilgaitz	iβ̞jlkaʝs
ibilgetu	ibiljeto
ibilgona	ibilgoma
ibilgu	iviːlɣ̞o
ibili	ibili
ibilian	ɪvɪljɛ
ibilian-ibilian	ibiʎjˈanibiʎjˈan
ibiliko	iβ̞iljko
ibilkari	ibːɪlkaɾi
ibilkera	ibɦlkeɾa
ibilketa	ibilketa
ibilketari	ibilket̪aɾi
ibilki	ĩβ̞ilki
ibilkunde	iβ̞ilkõn̪d̪e
ibiltaldi	esβ̞jlt̪alð̞i
ibiltari	ibjɦtæɾi
ibiltarte	ibilt̪aɾt̪e
ibiltoki	ibilt̪oki
ibiltzaile	ibjltsaʝeɾ
ibiltzen	ibʎs̺ẽn
ibis	iβ̞is
ibitu	ibjtu
ibitzen	ibʲits̻ẽn
ibon sarasola	ã bon seɾ sola
idatz dezaket	ĩð̞ats d̪esaket̪
idatz iezadazu mesedez	ið̞ats̻i es̺ d̪a s̻um es̻ eð̞es̺
idatz nezakeen	iz̺ d̪at̪s nes̻eɾkeẽn
idatzaldi	ãð̞at̪θelð̞i
idatzarazi	ãð̞at̪θaɾaiɣ̞ĩ
idatzarazten	id̪at̪s̺aɾas̺t̪ẽn
idatzi	idati
idatzi dut	i d̪ats̻i d̪ut̪
idatzi nuen	ið̞ats̻i nuẽn
idatziko dut	iɾat̪s̺i ko̞d̪ut̪
idazgai	ið̞azɣ̞ai
idazgela	ãd̪as̺ɣ̞ẽlla
idazkari	id̪as̺kaɾi
idazkari nagusia	ã ð̞eskaɾj neɣ̞usia
idazkariorde	id̪askaɾjoɾð̞e
idazkaritza	id̪askaɾit̪sa
idazkera	id̪as̺keɾa
idazketa	id̪as̺ket̪a
idazki	idazki
idazkun	ið̞azkun
idazkunde	ð̞az̺kund̪e
idazkuntza	að̞eskõn̪θa
idazlan	ið̞azlãn̪
idazlari	id̪as̻kaɾi
idazle	id̪asle
idazletza	id̪as̺let̪s̺a
idazmahai	ãð̞asmai̯
idazmakina	ĩð̞esmakina
idazmen	ið̞azmẽn
idazpen	ið̞azpen
idazpuru	id̪as̺puɾu
idaztaldi	ið̞aest̪alð̞i
idaztankera	ãd̪et̪ankeɾa
idazten	ið̞az̺t̪e̞n
idazten ari naiz	id̪as̺t̪e̞n aɾinais̺
idazti	idast̪i
idaztoki	ið̞azt̪oki
idaztortz	ið̞ast̪oɾt̪
ideala	ideala
idealismo	ʝð̞eljsmo
idealista	idealist̪a
ideia	iðeia
identifika zaitez	iðentjfika asai̯tes
identifikatu	iðentjfikatu
identifikatzen	ið̞ẽn̪t̪ifikat̪s̺ẽn
identitate	dentitate
ideografiko	iðeoɣɾafiko
ideograma	ˈaɪdˈeɣɾama
ideologia	iðeˌoloɣja
ideologiko	ideɔlɔɣiko
ideologo	ideoloɣʊ
idi	ivin
idi-begi	ĩð̞ibeɣ̞i
idi-bihotz	ið̞jβ̞iot̪
idi-dema	ð̞jð̞em
idiazabal	ãɟʝasaβ̞al
idiki	ið̞iki
idiomatiko	iðiomtiko
idisko	idɪsʃko
idoi	ið̞oi
idoia	id̪oja
idoiaga	idojɑˈɣa
idoitsu	iɾojt̪su
idoki	ið̞oki
idokitzen	irokits̺ẽn
idola	idɔla
idolatra	id̪olat̪ɾa
idolatria	jð̞olat̪ɾia
idolo	tɾˈa
idolozale	ið̞olosali
idolozalekeria	nelɔɦaɾeɣend
idolozaletasun	id̪o̞lo̞s̺alẽt̪as̺un
idor	iðoɾ
idorgiro	nadæɾbjɾo
idorki	iːɾorˈki
idoro	iðoɾo
idorotzen	idɔɾɔtsen
idorraldi	idoɾaldi
idorrarazi	ið̞oraɾas̺i
idorreri	ið̞oɾɾeɾi
idorrik	ið̞ɾk
idortasun	id̪oɾt̪asum
idorte	eðolte
idortu	idɔrtu
idortuko	idɔrtuko
idortzen	idortsen
idulki	idulki
idun	ʝð̞un
iduna	ʝð̞una
iduneko	ið̞uneko
idunekoa	iɾunekoa
iduri	ʝuɾi
idurimen	idurimen
iel	iel
iel jarri	ã ke ʝari
ieldu	ield̪u
ieldu da	iel d̪uð̞a
ielduko	iellukˈo
ieltzen	ielθɛn
ifernu	ifeɾnu
ifrentzu	ifrɛntsʊ
igali	iɣaˈli
igan	iɣ̞an
igande	iranˈde
igandea	iɾandɾeɐ
igandeko	iranneko
igandero	iɣ̞ãn̪d̪eɾo
igandezale	iɣaðd̪esalet
igantzi	igantsi
igara	iːgara
igaraba	ikːaɾaˈβa
igaratza	iɣaɾatsa
igarkizun	jɣaɾkizun
igarle	iɣaɾle
igarmen	iɣaɾmẽn
igaro	iɣaɾo
igaroaldi	iɣ̞aɾawãt̪di
igaroarazi	iɣaɾoaɾaθi
igarobide	iɣaɾobidɪ
igaroko	iɣaɾoko
igarokor	iɣaɾokoɾ
igarondo	iɣaɾõŋdo
igarotzen	iɣaɾot̪s̺ẽn
igarpen	iɣarpen
igarrarazi	iɣ̞arɾaɾasi
igarri	iɣ̞ari
igarriko	iɣaɾɾiko
igarterraz	iɣaɾt̪t̪eɾast̪
igartzabal	ɢɒˈhgsɒbɒl
igartzapen	iɣaɾt̪s̺apẽn
igartzen	iɣaɾt̪s̺ẽn
igaten	iɣatẽn
igaten da	igat̪end̪a
igaz	igas
igboera	igboɛnla
igebelar	iɣ̞eβ̞elaɾ
igel	ɪgəl
igela	iɣela
igeldo	iɣeldo
igeldotarra	iɣ̞ẽlð̞ot̪ara
igeltsari	ig̞ẽl̪t̪s̺aɾi
igeltsaritza	iɣ̞ẽɾt̪ɾaɾit̪θa
igeltsero	igɛltʃɛɾo
igeltserotza	iɣ̞ɾet̪ʃe̞ro̞ts̻a
igeltsu	iːlsu
igeltsuztatu	igɛltʃustatu
igeltsuztatu dut	igau̯ tʃuzta tuɾut
igeltsuztatzen	ig̞e̞lt̪ʃus̺t̪at̪s̺ẽn
igeri	igɾi
igeri egin	igeɾi eɣ̞ĩn
igeri egiten	igeɾi eɣ̞it̪ẽn
igeri egiten dut	igeɾi eɣ̞it̪ẽn d̪ut̪
igeri egon	iɣeɾiegon
igerialdi	ikaɾaked̪iɾ
igerian	ɟʝoɾiãn̪
igerian egin	iɣ̞eɾian eɣ̞ĩn
igerika	igɛlɪk
igerikan	nig̞eɾikan
igerikari	iːgeɾiːkæɾiː
igerikatu	iɣeɾikat̪u
igeriketa	igɛɾikɪ̞t̪a
igerilari	igẽɾilaɾi
igerileku	iːgˈɾilakˈu
igeritako	igɛritakɔ
igerri	iɣ̞ari
igita	igita
igitai	initai
igitaia	igit̪aia
igitaldi	giːˈgitːɑldi
igitari	igit̪aɾi
igitatu	igitˈatu
igitatu du	igitato dʒu
igitatuko	iɣitatuko
igitatzen	igit̪ats̻ẽn
igitatzera joan	igit̪at̪s̺eɾa joãn
iglu	iɣlˈum
iglua	ilua
ignazio	ɪɣnaθjɔ
ignazio loiolakoa	jɣ̞nasio lojo lakoaː
igo	ɛːvɑb
igo da	iɣoða
igo du	iːgo duː
igoaldi	iɣ̞ualð̞i
igoarazi	iɣ̞oaɾãs̺i
igoarazi du	igo eɾɑs iðu
igoarazten	igoalazten
igobide	iɣ̞oβ̞ið̞e
igoera	igoˈeɾa
igogailu	iɣ̞oɣ̞aʝõ
igokari	ionɣ̞o̞kaɾi
igoko	iɣoko
igokunde	igokunˈde
igon	ilgˈɔl
igone	igone
igongailu	iɣ̞õŋgaʝu
igor elortza	iːgɔx ɛ lɔxtsɑh
igor martinez	ioɾn maɾt̪ines
igorbide	iɣoɾbiðe
igorgailu	iɣ̞oɾɣ̞aʝu
igorle	iɣoɾle
igorpen	iɣ̞oɾpen
igorrarazi	iɣoɾɾað̞afj
igorre	iɣoɾɾe
igorri	iɣ̞ori
igorri du	iɣorɾi d̪u
igorriko	iɣoriko
igortzen	iɣoɾtsɛn
igortziri	iɣ̞o̞rs̻iɾi
igotze	iɣoʲtsɛ
igotzen	iːɣotsɛn
igun	ãũn
igurikatu	ixuikatʊ
igurikatzen	iɣ̞uɾikats̻ẽn
iguriki	ɛiɣoɾɛkej
iguriki du	iɣuɾiki d̪u
igurikimen	iɣ̞oɾikimen
igurikitzen	iɣ̞urikits̻ẽn
igurtzaldi	iguɾt̪s̺al̪d̪i
igurtzarazi	ãgust̪saɾaal
igurtzi	igurtsi
igurtzi du	iɣ̞uɾt̪s̺i d̪u
igurtzia eman	ĩɣ̞uts̻ia e̞mãn
igurtzika	iɣuztsika
igurtziko	jɣustsjkɔ
igurtziz	igurtsis
igurzkari	jɣ̞uz̺t̪kaɾi
igurzten	iɣ̞us̻t̪ẽn
iguzki	iguski
iguzkitza	iɣuzkitsa
ihabali	ʝaβ̞ali
ihakin	iakim
ihakindatu	jakĩn̪d̪at̪u
ihalozkatu	jalɔskatu
ihalozkatzen	ɟʝaloskat̪sẽn
ihar	iaɾ
ihardesle	jaɾð̞esle
ihardespen	ʝaɾd̪espem
ihardesten	jaɾd̪espen
ihardetsarazi	jaɾð̞etʃaɾaθi
ihardetsi	ieɾð̞etʃi
ihardetsi du	ʝaɾ d̪e tʃi d̪u
ihardetsiko	ieɾdetʃiko
iharduera	ʝaɾð̞ueɾa
iharduki	jaɾð̞uki
ihardukitzen	iard̪ukit̪s̻ẽn
ihardun	jaɾð̞ũn
ihardun erazi	i arð̞ũn eɾa asi
ihardunaldi	ãaɣ̞ð̞unaalð̞i
ihargarri	jaɾˈgaɾɾˈi
iharrarazi	iaɾɾaɾasi
iharrausi	iesɾau̯si
ihartasun	jaɾt̪as̺um
ihartu	jaɾtu
ihartuko	jaɾtuko
ihartzen	jartsẽn
ihartzen da	jarts̻en d̪a
ihartzen du	jaɾtsen du
ihaurki	ãauɾki
ihaurri	ʝauɾi
ihausi	ãʝausi
ihausika	ãxika
ihauska	jˈɑːvɑsˈkˈa
ihauskatu	ãxkat̪o
ihaute	ãau̯t̪e
ihauteri	jautoɾi
ihaz	jˈɛs
ihes	ies
ihes egin	a seɣ̞wiŋ
ihes egingo	i es eɣ̞iŋgo
ihes egiten	ã keɣ̞uit̪ els
ihes eragin	ies eɾaɣ̞ɲ
ihes-odi	iesoð̞i
ihesaldi	ɟʝesked̪iɾ
ihesarazi	iesaɾasi
ihesari eman	ies seɾie man
ihesari lotu	ies̺aɾi lot̪u
ihesbide	jesbið̞e
ihesi	jaʂtʂɛ
iheska	jeska
iheska joan	ɟʝ eska ʝwan
iheskari	ieskaɾi
iheskor	je̞s̟ko̞s̟
iheskortasun	ãeskoɾt̪aszul
iheslari	ieslaɾj
ihesleku	iɛʃlɛu
ihi	i˥˩
ihia	iːjˈa
ihintz	iːnts
ihintza	kientse
ihinztatu	jˈsˈtˈatˈwˈ
ihinztatzen	i
ihizaldi	ĩʃabad̪iɾ
ihizi	kaisa
ihiztoka	ijisptoka
ihiztokatsu	istokadʐu
ihurtziri	iut̪s̺iɾi
ijezketa	ˈaɪjˈɛskɛtˈa
ijeztu	ijestu
ijito	ixito
ijito-sardina	ixitosˌaɾdiɲˌa
ijitokeria	iɣitʊkeɾia
ika-mika	ikamika
ikara	ikara
ikara egin	kaɾa eɣ̞ĩn
ikara egon	ikaɾa eɣ̞õŋ
ikara eman	ikaɾa e̞mãn
ikara eragin	ikara eɾaɣ̞ĩn
ikara ibili	ɟʝ kaɾa ã β̞ʝʝ
ikara-filme	ikˈɑlˈafˈilmɛ
ikaragaitz	nikaɾagai̯t̪s̺
ikaragarri	kaɾaɣ̞ari
ikaragarrikeria	ikaɾaɣ̞arikeɾia
ikaragarrizko	ikaɾaɣ̞aɾɾjsko
ikaraio	ikaraio
ikarakor	ikaɾakoɾ
ikaraldi	ikaɾaalð̞i
ikararazi	ikaɾad̪esi
ikarati	ikːaɾati
ikaratu	ikaratu
ikaratu du	ikara tuð̞u
ikaratuko	kaɾatuko
ikaratzen	ikarats̺ẽn
ikaraz	iːkɑɾɑs
ikasarazi	ikas̺saɾasi
ikasbide	ikazβ̞ið̞e
ikasgai	ikasɣai
ikasgela	ikasɣ̞uela
ikasi	dʒokasi
ikasia	ãksia
ikasirik ez da inor jaiotzen.	ikaz̻i iɾik es̻ai̯no̞r kai̯o̞s̻ẽn
ikaskaia	ikaskaja
ikasketa	kasket̪a
ikasketaburu	ikas̺ket̪abuɾu
ikaskide	ikazkið̞e
ikaskizun	ikazkisun
ikaskuntza	ikazkunt̪s̺a
ikasle	ikazle
ikaslea	kikazʝa
ikasleak	ikaz̺leak
ikasleburu	kazʲlebuɾu
ikasleria	ikazleɾia
ikasliburu	ikazliβ̞uɾu
ikasliburua	ikazliβ̞uɾua
ikasmahai	numeɾokasmai̯
ikasmen	ĩkasmẽn̪t̪
ikasnahi	ikaznaj
ikaspen	numeɾokaspent̪
ikastalde	ikaztele
ikastaldi	numeɾokest̪alð̞i
ikastaro	ãkast̪eɾo
ikaste	ikaste
ikastegi	ikazteɣ̞uj
ikasten dut	ikast̪ els t̪ot̪
ikastetxe	ikazteetʃe
ikastetxea	kast̪e̞tʃea
ikastola	ikɾast̪ola
ikastolakide	ikast̪o̞lakið̞e
ikastolan	ikaztʃom
ikastordu	ikast̪oɾð̞u
ikastun	ikast̪um
ikasturte	ikazt̪urt̪e
ikatz	etˈakˈat
ikatza	ikassa
ikazketa	kasketa
ikazketari	ikas̺ket̪aɾi
ikazki	ikaski
ikazkin	ikazkin
ikazkintza	ikazkɪntsa
ikaztegi	ikaz̺t̪eɣ̞i
ikaztegieta	ikaztajɛda
ikazten	ikazten
ikaztobi	ikast̪oβ̞i
ikaztu	ikest̪t̪u
ikaztuko	ikastuko
iker	ike
iker muniain	ikɛɾmʊnjain
iker muniain goñi	ikeɾ muniain gɔĩn
ikergai	ikɛrgai
ikergaitz	ikəɾʝaʝts
ikerka	ikɾka
ikerketa	ikɾkeˈta
ikerkuntza	ike˩˥ːrkuntsa˥˩ː
ikerlan	ikeɾlan
ikerlari	ikeɾleɾi
ikerne	kerne
ikerraldi	keɾalð̞i
ikertu	ikɛrtʊ
ikertu du	ik eɾtʊ dʊ
ikertuko	kertuko
ikertzaile	ikeɾts̺ajẽ
ikertze	ikɛrtse
ikertzen	ikɪ̞rθɪ̞n
ikol	ikːol
ikoldu	ʝkold̪u
ikoldu da	ikolð̞uð̞a
ikoldu du	ikɔlɟuɔ
ikolduko	ikolð̞uko
ikoltasun	ikolt̪asũn
ikoltzen	ikolt̪sẽn̪
ikono	ikono
ikonoklasta	ikonoklast̪a
ikonotu	ikonˈotˈu
ikortzirin	ikorts̻iɾiĩŋ
ikosaedro	ikosaeðɾo
ikoti	ikotj
ikotika	ikotika
iktiologia	ikt̪eoloɣ̞ia
ikuilu	ikˈʊʎˈʊ
ikur	ikːuɾ
ikurra	ikorɾa
ikurrin	ikɔrɾin
ikurrina	ikorɾiɲa
ikurriña	ikːuɾiɲˌa
ikus arte	ikusi ari te
ikus-entzule	ikˈuʃˈeˈentsuːle
ikus-entzunezko	ikuʃɛntsunɛsko
ikusarazi	ikus̺aɾas̺i
ikusarazi dio	ikus̺aɾa s̺iko̞ð̞io
ikusaraziko	ikːʊs̺aɾas̻ikɔ
ikusarazten	ikuz̺aɾaz̻t̪ẽ̞n
ikusari	ikus̺aɾi
ikusbera	ikuzbela
ikusbide	ikuzbið̞e
ikusezin	ikˈɔʃasˈɛl
ikusezintasun	ikuseθĩntass̺ũn
ikusgai	ikuzɣaʝ
ikusgailu	ikuzɣ̞aʝu
ikusgaitasun	ikus̺kai̯t̪as̺un
ikusgaitz	ikusgai̯t̪s̺
ikusgarri	ikuzɣ̞ari
ikusgura	ikuzguɾa
ikusi	ikuzi
ikusi arte	ikusi art̪e
ikusi dudan neskarik polittena zara	ikuz̺i d̪u d̪a nes̻kaɾik polikẽn̪a s̺aɾa
ikusi-makusi	ikusimakusi
ikusi-makusika	ikuzimakuzika
ikusiezin	ikːuzˈtjɑðˈin
ikusiezina	ikuzʃiɛsinʝa
ikuska	ikuska
ikuskapen	t̪ikuz̺kapum
ikuskari	ko̞s̺kaɾi
ikuskatu	ikuzkatu
ikuskatu du	ikus̺kat̪u d̪u
ikuskatuko	ikus̺kat̪uko
ikuskatzaile	ikus̺kat̪s̻aʝeɾ
ikuskatzen	ikuskatsɛn
ikuskera	ikus̺keɾa
ikuskizun	ikoskisun
ikuskizuna	ikuskis̺una
ikuskor	ikuskoɾ
ikusle	ikuzle
ikuslea dantzari ona.	ikus̺lea t̪ẽn̪t̪s̺aɾi ona
ikusliar	ikuz̺liaɾ
ikusmen	ikuzmeɾn
ikusmin	ikosnj
ikusmira	kuzmiɾa
ikusmiran ibili	kuz miɾanibili
ikusmiratu	ikuz̺miɾat̪u
ikusmiratzen	ikus̺miɾat̪z̻en
ikusmolde	ikusmol̪t̪e
ikusnahi	ikuz̺naj
ikusnahia	ikuznaxa
ikuspegi	ikuspeɣ̞i
ikuspen	ikuspẽn̪t̪
ikuspena	ikuz̺pẽn̪a
ikuspuntu	ikuspũn̪t̪u
ikustaldi	ãkost̪aald̪iɾ
ikustate	ikus̺t̪at̪e
ikustatu	ãkost̪at̪u
ikuste	ikusʲte
ikusteko	ikus̺t̪e̞kɔ
ikusten	ikustem
ikustezin	ikus̺t̪es̻ĩŋ
ikustoki	ikusdoki
ikutu	ikɔtʊ
ikuzgailu	ikːuzgajɑvnɑ
ikuzgarri	ikːuzɣaɾɾi
ikuzi	ikusi
ikuzkailu	ikuskalʝu
ikuzle	ikːuzɫe
ikuzmakina	ikuzmakina
ikuztegi	kikˈostˈegi
ilagin	ʃtʃɣ̞ĩŋ
ilagintza	tɨʝaɣ̞uinθa
ilaje	ilˈaxe
ilak zelan lurrak jan, alan haztu	iʝakse̞lan lulɾak dʒan alãn as̺t̪o
ilaki	jlʝake
ilar	i˥˩
ilara	iʝaɾa
ilargi	iʝaɾgi
ilargia	ʝˈaɾɾeja
ilargialdi	ɟʝʝaɾɣ̞uialð̞i
ilargiko	ilˈarɾiko
ilargitar	iʝaɾɣ̞uit̪a
ilargite	iʎærkit̪e
ilarka	ˈijˈarkʌ
ilarra	iʝeɾɾa
ilarraka	iʝaɾɾakˈa
ilasi	iʝasi
ilaski	pʲiʲːaski
ilaun	ãʝum
ilaundu	jʝˈaˈeɪŋ
ilazki	iːɫˈɑski
ilbehera	ilbela
ilbeltz	ilbeːlt
ilberri	ilberɾi
ilbete	ilbada
ildaska	ild̪aska
ildaskatu	ʝd̪as̺kat̪u
ildo	ilgo
ildokatu	ilest̪ˈo
ile	ilˈe
ile-apaindegi	ʎe̞apanð̞eɣ̞
ile-apaintzaile	jɛpɐĩːntsaʎe
ilea	i˥˩
ilea urdindu	ɟʝa oɾð̞ĩŋ d̪u
ileapaintzaile	ʁeʝelafaĩŋt̪aʝ
ileberritu	ʝeβ̞eɾɾit̪u
iledun	iʒezum
ilegabe	iʝeɣ̞abe
